group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Blue Buff + Jeweled Gauntlet + Strikers Flail,399,0.02296138573977096,3.228,3.386,-0.181,-0.339,-0.142,0.0042,0.0598,0.2581,0.4361,0.7393,1.979,-3.38,0.00073,True
populaire,Jeweled Gauntlet + Nashors Tooth + Strikers Flail,407,0.023421764401220003,3.317,3.432,-0.135,-0.25,-0.057,0.0032,0.0551,0.2211,0.4349,0.7346,1.958,-2.54,0.011,True
populaire,Jeweled Gauntlet + Spear Of Shojin + Strikers Flail,3271,0.188237325199977,3.43,3.443,-0.124,-0.137,-0.061,0.0233,0.0214,0.2143,0.4087,0.701,2.02,-3.55,0.00038,True
pepite,Blue Buff + Giant Slayer + Jeweled Gauntlet,93,0.005351901939345111,3.086,3.465,-0.101,-0.481,-0.096,0.0005,0.1269,0.2366,0.4731,0.8065,1.887,-2.45,0.01433,True
pepite,Adaptive Helm + Jeweled Gauntlet + Strikers Flail,71,0.004085860620360246,2.972,3.466,-0.101,-0.595,-0.121,0.0004,0.1232,0.3239,0.507,0.8028,2.035,-2.46,0.01394,True
pepite,Adaptive Helm + Jeweled Gauntlet + Spear Of Shojin,139,0.007999079242677102,3.223,3.469,-0.098,-0.344,-0.004,0.0008,0.083,0.2446,0.4317,0.7626,2.036,-1.98,0.04737,False
pepite,Hextech Gunblade + Jeweled Gauntlet + Spear Of Shojin,107,0.006157564596880934,3.196,3.48,-0.087,-0.371,-0.034,0.0005,0.0774,0.215,0.4112,0.757,1.769,-2.16,0.03095,False
pepite,Morellonomicon + Spear Of Shojin + Void Staff,65,0.0037405766242734648,3.062,3.487,-0.08,-0.505,-0.043,0.0003,0.1204,0.2308,0.4615,0.8,1.896,-2.14,0.03208,False
pepite,Blue Buff + Rabadons Deathcap + Spear Of Shojin,40,0.002301893307245209,2.825,3.49,-0.077,-0.742,-0.261,0.0002,0.1454,0.275,0.475,0.825,1.547,-3.03,0.00248,True
,Blue Buff + Jeweled Gauntlet + Rabadons Deathcap,249,0.014329285837601426,3.386,3.491,-0.076,-0.181,0.0,0.0011,0.0232,0.2329,0.4177,0.7028,2.031,-1.4,0.16203,False
populaire,Blue Buff + Jeweled Gauntlet + Nashors Tooth,318,0.018300051792599414,3.415,3.494,-0.072,-0.152,0.0,0.0013,0.0626,0.1792,0.3805,0.7421,1.908,-1.4,0.16045,False
,Emblem Flora Fatalis Augment + Jeweled Gauntlet + Spear Of Shojin,54,0.0031075559647810325,3.204,3.518,-0.049,-0.363,0.0,0.0002,0.0797,0.2593,0.4444,0.7593,2.049,-1.3,0.19359,False
,Adaptive Helm + Jeweled Gauntlet + Nashors Tooth,65,0.0037405766242734648,3.308,3.526,-0.041,-0.259,0.0,0.0002,0.0897,0.1846,0.4154,0.7692,1.953,-1.07,0.28571,False
,Giant Slayer + Rabadons Deathcap + Spear Of Shojin,56,0.0032226506301432927,3.268,3.525,-0.041,-0.299,0.0,0.0001,0.0347,0.2679,0.4107,0.7143,1.968,-1.13,0.25659,False
,Archangels Staff + Blue Buff + Jeweled Gauntlet,101,0.0058122806007941535,3.396,3.528,-0.038,-0.171,0.0,0.0002,0.0234,0.1485,0.4059,0.703,1.764,-0.97,0.33243,False
populaire,Archangels Staff + Jeweled Gauntlet + Spear Of Shojin,336,0.019335903780859757,3.494,3.531,-0.036,-0.073,0.0,0.0007,0.0288,0.1607,0.3423,0.7083,1.806,-0.73,0.46576,False
,Eternal Pact + Jeweled Gauntlet + Spear Of Shojin,49,0.002819819301375381,3.286,3.532,-0.035,-0.281,0.0,0.0001,0.0755,0.2245,0.4286,0.7551,1.959,-1.0,0.31589,False
,Archangels Staff + Rabadons Deathcap + Spear Of Shojin,44,0.00253208263796973,3.273,3.534,-0.033,-0.294,0.0,0.0001,0.025,0.2045,0.4318,0.7045,1.776,-1.1,0.27277,False
,Adaptive Helm + Blue Buff + Jeweled Gauntlet,96,0.005524543937388502,3.427,3.537,-0.03,-0.14,0.0,0.0002,0.0392,0.2292,0.375,0.7188,2.014,-0.68,0.49799,False
,Jeweled Gauntlet + Nashors Tooth + Rabadons Deathcap,205,0.011797203199631697,3.488,3.537,-0.029,-0.079,0.0,0.0003,-0.0113,0.2439,0.4,0.6683,2.09,-0.54,0.59047,False
populaire,Jeweled Gauntlet + Nashors Tooth + Nashors Tooth,467,0.026874604362087818,3.518,3.539,-0.028,-0.049,0.0,0.0007,0.0206,0.1734,0.3619,0.7002,1.919,-0.54,0.58993,False
,Jeweled Gauntlet + Morellonomicon + Void Staff,41,0.0023594406399263393,3.317,3.54,-0.026,-0.25,0.0,0.0001,0.0277,0.1463,0.4634,0.7073,1.773,-0.9,0.36788,False
populaire,Jeweled Gauntlet + Rabadons Deathcap + Spear Of Shojin,874,0.05029636876330782,3.538,3.546,-0.021,-0.029,0.0,0.001,-0.0034,0.2105,0.3822,0.6762,2.072,-0.4,0.68579,False
,Archangels Staff + Archangels Staff + Jeweled Gauntlet,62,0.0035679346262300743,3.452,3.549,-0.017,-0.115,0.0,0.0001,0.0462,0.1452,0.371,0.7258,1.748,-0.52,0.60469,False
,Rabadons Deathcap + Rabadons Deathcap + Spear Of Shojin,47,0.002704724636013121,3.468,3.555,-0.012,-0.099,0.0,0.0,0.0013,0.1277,0.3404,0.6809,1.699,-0.4,0.69104,False
,Jeweled Gauntlet + Rabadons Deathcap + Void Staff,41,0.0023594406399263393,3.488,3.558,-0.008,-0.079,0.0,0.0,0.0521,0.1463,0.3171,0.7317,1.796,-0.28,0.77859,False
,Emblem Executioner + Jeweled Gauntlet + Spear Of Shojin,85,0.00489152327789607,3.553,3.564,-0.003,-0.014,0.0,0.0,0.0381,0.1294,0.3647,0.7176,1.869,-0.07,0.94572,False
,Jeweled Gauntlet Radiant + Spear Of Shojin + Strikers Flail,50,0.0028773666340565114,3.56,3.566,-0.001,-0.007,0.0,0.0,0.0004,0.14,0.4,0.68,2.002,-0.02,0.98091,False
