group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Eternal Pact,851,0.009185303514376996,3.31,3.382,-0.033,-0.105,0.0,0.0003,0.012,0.2174,0.4465,0.7203,1.968,-1.55,0.12215,False
,Infinity Force,61,0.0006584060098437096,3.639,3.422,0.007,0.224,0.0,-0.0,-0.0034,0.1475,0.2951,0.7049,1.959,0.89,0.37122,False
,Gamblers Blade,56,0.0006044383041188153,3.804,3.426,0.011,0.389,0.0,-0.0,-0.0655,0.1964,0.3393,0.6429,2.191,1.33,0.18458,False
,Artifact Talisman Of Ascension,55,0.0005936447629738365,3.782,3.426,0.011,0.367,0.0,-0.0,-0.0538,0.0909,0.2909,0.6545,1.765,1.54,0.12343,False
populaire,Ludens Tempest,1830,0.019752180295311287,3.452,3.433,0.018,0.037,0.0,-0.0004,-0.0116,0.1995,0.3836,0.6967,1.946,0.8,0.4218,False
,Navori Flickerblade,55,0.0005936447629738365,4.182,3.437,0.022,0.767,0.257,-0.0,-0.1447,0.0727,0.2364,0.5636,1.927,2.95,0.00317,True
populaire,Statikk Shiv,146,0.0015758570071669113,3.849,3.447,0.032,0.434,0.088,-0.0,-0.085,0.1712,0.3356,0.6233,2.13,2.46,0.01383,True
populaire,Gold Collector,69,0.0007447543390035403,4.362,3.449,0.034,0.947,0.518,-0.0,-0.1141,0.029,0.1594,0.5942,1.818,4.33,2e-05,True
populaire,Seekers Armguard,151,0.0016298247128918055,3.868,3.449,0.034,0.453,0.118,-0.0001,-0.1123,0.1788,0.3179,0.596,2.096,2.65,0.00802,True
populaire,Lich Bane,234,0.0025256886279250495,3.786,3.457,0.042,0.371,0.116,-0.0001,-0.0887,0.1453,0.3376,0.6197,1.986,2.86,0.00429,True
populaire,Zhonyas Paradox,233,0.0025148950867800706,3.85,3.464,0.049,0.435,0.165,-0.0001,-0.1032,0.1803,0.3262,0.6052,2.096,3.16,0.00156,True
populaire,Blighting Jewel,381,0.0041123391762369396,3.934,3.504,0.089,0.519,0.322,-0.0004,-0.102,0.105,0.3097,0.6063,1.957,5.17,0.0,True
populaire,Manazane,1816,0.01960107071928158,3.747,3.579,0.164,0.332,0.236,-0.0032,-0.0613,0.1757,0.3381,0.647,2.082,6.74,0.0,True
populaire,Dawncore,874,0.00943355496071151,4.078,3.627,0.212,0.663,0.528,-0.002,-0.1248,0.1178,0.2632,0.5835,2.021,9.65,0.0,True
