group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Morellonomicon,6420,0.0442081778242966,3.322,3.382,-0.132,-0.192,-0.143,0.0058,0.0416,0.2182,0.4168,0.7302,1.958,-7.69,0.0,True
populaire,Strikers Flail,34098,0.23479913511726874,3.378,3.388,-0.126,-0.137,-0.113,0.0297,0.0214,0.2238,0.4155,0.71,2.015,-11.29,0.0,True
populaire,Rabadons Deathcap,26973,0.1857363209431078,3.424,3.433,-0.082,-0.091,-0.065,0.0152,0.0202,0.2027,0.3934,0.7088,1.973,-6.92,0.0,True
populaire,Adaptive Helm,9155,0.0630414124581675,3.412,3.436,-0.078,-0.103,-0.061,0.0049,0.0192,0.2055,0.3952,0.7078,1.967,-4.85,0.0,True
populaire,Blue Buff,26275,0.18092988665629176,3.465,3.47,-0.045,-0.05,-0.024,0.0081,0.0126,0.1967,0.3835,0.7012,1.978,-3.73,0.00019,True
pepite,Hextech Gunblade,5325,0.03666799796174133,3.463,3.481,-0.033,-0.051,0.0,0.0012,0.0143,0.1979,0.3902,0.7029,1.991,-1.85,0.06488,True
populaire,Archangels Staff,13255,0.0912740493864566,3.476,3.483,-0.032,-0.039,-0.004,0.0029,0.0168,0.1793,0.3722,0.7054,1.932,-2.2,0.02815,True
pepite,Crownguard,99,0.0006817148916830783,3.404,3.511,-0.004,-0.111,0.0,0.0,0.0185,0.1212,0.3636,0.7071,1.699,-0.65,0.51756,False
populaire,Giant Slayer,10063,0.06929390863643249,3.513,3.513,-0.001,-0.002,0.0,0.0001,0.0052,0.1946,0.3763,0.6937,2.006,-0.08,0.93311,False
,Tacticians Cape,57,0.0003925025133932875,3.491,3.514,-0.0,-0.023,0.0,0.0,0.0132,0.2456,0.4211,0.7018,2.249,-0.08,0.93745,False
,Red Buff,4032,0.027764388315819916,3.524,3.52,0.005,0.009,0.0,-0.0001,-0.0028,0.2078,0.3924,0.6858,2.081,0.27,0.78731,False
,Tacticians Crown,568,0.0039112531159190755,3.544,3.519,0.005,0.029,0.0,-0.0,0.0086,0.1743,0.3574,0.6972,1.96,0.36,0.72125,False
,Titans Resolve,44,0.0003029843963035904,3.818,3.519,0.005,0.304,0.0,-0.0,-0.0295,0.0909,0.3182,0.6591,1.886,1.07,0.28579,False
,Krakens Fury,53,0.0003649584773656884,4.113,3.525,0.011,0.599,0.019,-0.0,-0.1225,0.1321,0.3019,0.566,2.151,2.03,0.04284,True
,Deathblade,46,0.0003167564143173899,4.261,3.526,0.012,0.746,0.189,-0.0,-0.1668,0.0652,0.2391,0.5217,1.927,2.63,0.00865,True
,Quicksilver,432,0.0029747558909807054,3.611,3.527,0.012,0.097,0.0,-0.0,-0.0103,0.1852,0.3542,0.6782,2.042,0.98,0.32657,False
populaire,Spear Of Shojin,76358,0.5258018757488535,3.529,3.529,0.014,0.015,0.0,-0.0074,-0.0034,0.1997,0.3808,0.6852,2.035,1.6,0.10875,False
,Edge Of Night,166,0.0011430774951453637,3.855,3.533,0.018,0.341,0.029,-0.0,-0.056,0.1566,0.3012,0.6325,2.045,2.15,0.03191,True
populaire,Jeweled Gauntlet,109558,0.7544173747779263,3.538,3.537,0.023,0.023,0.008,-0.0172,-0.0053,0.197,0.3781,0.6832,2.031,2.89,0.00382,True
,Last Whisper,202,0.0013909738193937557,4.243,3.562,0.047,0.728,0.426,-0.0001,-0.149,0.1386,0.2673,0.5396,2.19,4.72,0.0,True
populaire,Nashors Tooth,39420,0.2714464750519894,3.565,3.561,0.047,0.05,0.028,-0.0127,-0.0106,0.1921,0.371,0.678,2.024,4.38,1e-05,True
,Hand Of Justice,1233,0.00849044910550743,3.695,3.568,0.054,0.18,0.07,-0.0005,-0.03,0.159,0.3285,0.6586,1.973,3.2,0.00138,True
populaire,Void Staff,16929,0.1165732464778064,3.586,3.575,0.061,0.071,0.039,-0.0071,-0.0144,0.1886,0.3683,0.6742,2.04,4.29,2e-05,True
,Infinity Edge,401,0.0027612896117668122,4.035,3.578,0.063,0.52,0.313,-0.0002,-0.1,0.1471,0.2793,0.5885,2.111,4.93,0.0,True
,Component B F Sword,182,0.00125325363925576,4.626,3.58,0.066,1.112,0.802,-0.0001,-0.1996,0.0934,0.1868,0.489,2.134,7.03,0.0,True
,Component Giants Belt,144,0.0009915852969935685,5.278,3.598,0.083,1.763,1.431,-0.0001,-0.3344,0.0556,0.1111,0.3542,2.033,10.4,0.0,True
,Component Recurve Bow,451,0.003105590062111801,4.335,3.625,0.11,0.82,0.615,-0.0003,-0.1564,0.1353,0.2528,0.5322,2.217,7.85,0.0,True
,Guinsoos Rageblade,2670,0.018385644048422415,3.882,3.691,0.176,0.367,0.289,-0.0032,-0.0657,0.1479,0.2985,0.6228,2.042,9.21,0.0,True
,Component Tear Of The Goddess,742,0.005109418683119637,4.418,3.698,0.184,0.903,0.746,-0.0009,-0.1616,0.1078,0.2345,0.527,2.186,11.23,0.0,True
,Component Sparring Gloves,669,0.004606740025615954,4.827,3.76,0.246,1.312,1.149,-0.0011,-0.2641,0.0822,0.1704,0.4245,2.141,15.81,0.0,True
,Component Needlessly Large Rod,1198,0.008249438790265937,4.423,3.78,0.265,0.909,0.788,-0.0022,-0.1677,0.0993,0.227,0.5209,2.13,14.71,0.0,True
