group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Executioner,4984,0.054754188409777534,2.978,3.203,-0.617,-0.843,-0.784,0.0338,0.1488,0.322,0.5353,0.7715,2.047,-28.22,0.0,True
populaire,Emblem Blackthorn,8550,0.09393023894534469,3.625,3.66,-0.161,-0.195,-0.143,0.0151,0.0218,0.273,0.4357,0.6444,2.398,-7.26,0.0,True
populaire,Emblem Invoker,935,0.01027190332326284,3.725,3.788,-0.032,-0.095,0.0,0.0003,0.0212,0.1861,0.3626,0.6439,2.141,-1.36,0.17506,False
populaire,Emblem Flora Fatalis,1219,0.013391925295248559,3.755,3.794,-0.026,-0.066,0.0,0.0004,0.0156,0.1862,0.3618,0.6382,2.156,-1.06,0.28954,False
populaire,Emblem Elderwood,174,0.0019115627574842076,3.649,3.806,-0.015,-0.171,0.0,0.0,0.0613,0.1839,0.3448,0.6839,2.089,-1.08,0.28043,False
populaire,Emblem Inferno,219,0.0024059324361439165,3.726,3.81,-0.01,-0.095,0.0,0.0,0.0121,0.1735,0.4155,0.6347,2.233,-0.63,0.53135,False
pepite,Emblem Sprykin,158,0.0017357868717385334,3.715,3.812,-0.008,-0.105,0.0,0.0,0.0229,0.1266,0.3418,0.6456,1.936,-0.68,0.49433,False
,Emblem Brawler,41,0.0004504257072232903,4.146,3.828,0.007,0.326,0.0,-0.0,-0.0129,0.1707,0.2927,0.6098,2.291,0.91,0.36257,False
populaire,Emblem Lunar,708,0.007778082944246086,3.846,3.828,0.007,0.025,0.0,-0.0001,-0.0181,0.1737,0.346,0.6045,2.144,0.31,0.75277,False
,Emblem Rapidfire,89,0.000977753364460313,4.157,3.836,0.016,0.337,0.0,-0.0,-0.0159,0.1011,0.2809,0.6067,2.203,1.44,0.14942,False
populaire,Emblem Primal,211,0.0023180444932710794,4.009,3.84,0.02,0.189,0.0,-0.0,-0.0539,0.1706,0.2938,0.5687,2.124,1.29,0.19693,False
populaire,Emblem Fae,255,0.0028014281790716836,3.988,3.841,0.021,0.168,0.0,-0.0001,-0.0226,0.1765,0.302,0.6,2.217,1.21,0.22771,False
,Emblem Slayer,62,0.0006811315572644878,4.452,3.841,0.021,0.631,0.097,-0.0,-0.0581,0.1129,0.2097,0.5645,2.145,2.32,0.0206,True
,Emblem Coven,42,0.00046141170008239495,5.19,3.851,0.031,1.37,0.76,-0.0,-0.2893,0.0476,0.1667,0.3333,2.015,4.41,1e-05,True
populaire,Emblem Flora Fatalis Augment,1458,0.01601757758857457,3.891,3.852,0.031,0.07,0.0,-0.0005,-0.0101,0.1694,0.3162,0.6125,2.136,1.25,0.21203,False
,Emblem Hunter,80,0.0008788794287283713,4.775,3.861,0.04,0.954,0.52,-0.0,-0.1726,0.05,0.1375,0.45,1.981,4.31,2e-05,True
