group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm Radiant,182,0.0021517580572698682,2.874,3.721,-0.091,-0.938,-0.65,0.0002,0.178,0.3352,0.5495,0.8022,1.984,-6.37,0.0,True
populaire,Blue Buff Radiant,530,0.006266108628313353,3.545,3.748,-0.064,-0.267,-0.081,0.0004,0.0437,0.2264,0.3962,0.6679,2.172,-2.82,0.00487,True
populaire,Rabadons Deathcap Radiant,529,0.006254285781844837,3.607,3.763,-0.049,-0.205,-0.015,0.0003,0.0544,0.2401,0.3932,0.6786,2.226,-2.11,0.03474,True
populaire,Strikers Flail Radiant,146,0.0017261355844033009,3.39,3.778,-0.033,-0.421,-0.051,0.0001,0.0675,0.2877,0.4863,0.6918,2.283,-2.23,0.02583,True
populaire,Nashors Tooth Radiant,623,0.0073656333498853185,3.732,3.79,-0.021,-0.08,0.0,0.0002,0.0226,0.2006,0.3596,0.6469,2.182,-0.91,0.36276,False
populaire,Jeweled Gauntlet Radiant,1033,0.01221300040197678,3.773,3.797,-0.015,-0.039,0.0,0.0002,0.0147,0.2014,0.3417,0.6389,2.15,-0.58,0.55945,False
populaire,Spear Of Shojin Radiant,368,0.0043508075004138,3.796,3.809,-0.003,-0.016,0.0,0.0,0.0035,0.1984,0.3451,0.6277,2.167,-0.14,0.89041,False
populaire,Giant Slayer Radiant,69,0.0008157764063275874,3.754,3.81,-0.002,-0.058,0.0,0.0,0.0424,0.1594,0.3623,0.6667,2.156,-0.22,0.82276,False
populaire,Void Staff Radiant,151,0.0017852498167458797,3.801,3.811,-0.001,-0.01,0.0,0.0,-0.0216,0.2185,0.351,0.6026,2.159,-0.06,0.95254,False
,Hextech Gunblade Radiant,59,0.0006975479416424298,4.271,3.827,0.015,0.459,0.0,-0.0,-0.0988,0.1525,0.2542,0.5254,2.254,1.57,0.11752,False
populaire,Archangels Staff Radiant,129,0.0015251471944385331,4.171,3.837,0.025,0.359,0.004,-0.0,-0.0584,0.1318,0.2326,0.5659,2.054,1.98,0.04747,False
