group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Morellonomicon + Void Staff,1081,0.01251273266043152,3.021,3.309,-0.18,-0.467,-0.353,0.0022,0.0893,0.2562,0.5051,0.7808,1.903,-8.01,0.0,True
populaire,Jeweled Gauntlet + Strikers Flail,22992,0.2661357533104917,3.332,3.343,-0.146,-0.156,-0.127,0.0387,0.0266,0.2311,0.4255,0.7181,2.004,-10.5,0.0,True
pepite,Blue Buff + Rabadons Deathcap,2748,0.031808500787109915,3.255,3.345,-0.143,-0.234,-0.16,0.0046,0.0472,0.2325,0.4312,0.7387,1.94,-6.2,0.0,True
pepite,Nashors Tooth + Strikers Flail,2648,0.03065098620242615,3.308,3.379,-0.109,-0.18,-0.104,0.0033,0.0283,0.2319,0.4358,0.7198,1.98,-4.61,0.0,True
populaire,Spear Of Shojin + Strikers Flail,18773,0.2173002129826836,3.37,3.38,-0.108,-0.118,-0.086,0.0235,0.0189,0.2253,0.4163,0.7104,2.01,-7.28,0.0,True
pepite,Emblem Executioner + Nashors Tooth,909,0.010521807574775442,3.187,3.384,-0.104,-0.301,-0.171,0.0011,0.0445,0.2585,0.4719,0.736,1.993,-4.53,1e-05,True
pepite,Emblem Executioner + Void Staff,375,0.004340679692564126,2.904,3.384,-0.104,-0.584,-0.396,0.0005,0.1059,0.2827,0.528,0.7973,1.858,-6.07,0.0,True
pepite,Blue Buff + Strikers Flail,2463,0.02850958422076118,3.327,3.393,-0.095,-0.161,-0.081,0.0027,0.0259,0.2326,0.4287,0.7174,2.012,-3.93,9e-05,True
,Emblem Executioner + Morellonomicon,226,0.0026159829613853136,2.704,3.398,-0.091,-0.785,-0.568,0.0002,0.1625,0.2876,0.5398,0.854,1.66,-7.09,0.0,True
,Blue Buff Radiant + Jeweled Gauntlet,336,0.0038892490045374572,2.938,3.399,-0.09,-0.551,-0.357,0.0003,0.1151,0.2738,0.4762,0.8065,1.806,-5.58,0.0,True
,Blue Buff + Morellonomicon,530,0.006134827298823965,3.113,3.4,-0.088,-0.375,-0.216,0.0005,0.0802,0.2396,0.4528,0.7717,1.859,-4.63,0.0,True
,Morellonomicon + Rabadons Deathcap,404,0.004676358922122419,3.025,3.4,-0.088,-0.464,-0.291,0.0004,0.0981,0.2228,0.4579,0.7896,1.766,-5.26,0.0,True
,Morellonomicon + Spear Of Shojin,1465,0.016957588665617186,3.317,3.41,-0.078,-0.171,-0.067,0.0013,0.0314,0.2246,0.4375,0.7229,2.011,-3.22,0.00126,True
,Rabadons Deathcap + Void Staff,1045,0.012096027409945365,3.283,3.411,-0.077,-0.205,-0.084,0.0009,0.0521,0.2182,0.4364,0.7435,1.98,-3.33,0.00088,True
,Giant Slayer + Rabadons Deathcap,569,0.006586257986850634,3.22,3.422,-0.067,-0.269,-0.113,0.0004,0.0625,0.2214,0.4306,0.754,1.882,-3.39,0.00069,True
,Emblem Executioner + Rabadons Deathcap,1006,0.011644596721918697,3.31,3.423,-0.066,-0.178,-0.052,0.0008,0.0292,0.2406,0.4314,0.7207,2.032,-2.77,0.00569,True
,Adaptive Helm + Morellonomicon,280,0.0032410408371145475,3.021,3.423,-0.065,-0.467,-0.239,0.0002,0.0764,0.3036,0.4964,0.7679,1.944,-4.01,6e-05,True
,Adaptive Helm Radiant + Jeweled Gauntlet,146,0.0016899712936382998,2.685,3.426,-0.063,-0.803,-0.499,0.0001,0.1304,0.3767,0.5753,0.8219,1.872,-5.18,0.0,True
populaire,Blue Buff + Jeweled Gauntlet,9565,0.11071627002500231,3.416,3.427,-0.061,-0.072,-0.03,0.0068,0.014,0.2111,0.4008,0.7055,1.998,-3.34,0.00084,True
,Jeweled Gauntlet Radiant + Spear Of Shojin,570,0.006597833132697472,3.265,3.433,-0.055,-0.223,-0.063,0.0004,0.0313,0.2298,0.4228,0.7228,1.946,-2.73,0.00632,True
,Adaptive Helm + Void Staff,540,0.006250578757292342,3.263,3.435,-0.054,-0.225,-0.064,0.0003,0.0622,0.2074,0.4315,0.7537,1.907,-2.74,0.00622,True
populaire,Jeweled Gauntlet + Rabadons Deathcap,8380,0.09699972219649967,3.425,3.436,-0.053,-0.064,-0.019,0.0051,0.0111,0.2109,0.399,0.7026,2.003,-2.77,0.00556,True
,Jeweled Gauntlet Radiant + Strikers Flail,339,0.00392397444207797,3.165,3.435,-0.053,-0.323,-0.121,0.0002,0.046,0.2389,0.4543,0.7375,1.895,-3.13,0.00173,True
,Jeweled Gauntlet + Spear Of Shojin Radiant,383,0.004433280859338828,3.204,3.437,-0.052,-0.285,-0.082,0.0002,0.0344,0.2637,0.4569,0.7258,2.017,-2.76,0.00586,True
,Jeweled Gauntlet + Strikers Flail Radiant,281,0.0032526159829613854,3.121,3.437,-0.051,-0.367,-0.145,0.0002,0.0843,0.2491,0.4555,0.7758,1.901,-3.23,0.00123,True
,Spear Of Shojin + Strikers Flail Radiant,223,0.0025812575238448004,3.063,3.44,-0.049,-0.426,-0.176,0.0001,0.0933,0.2511,0.4753,0.7848,1.898,-3.34,0.00083,True
,Spear Of Shojin Radiant + Strikers Flail,218,0.002523381794610612,3.05,3.439,-0.049,-0.438,-0.179,0.0001,0.0562,0.2982,0.4817,0.7477,1.949,-3.31,0.00093,True
,Archangels Staff + Spear Of Shojin,2985,0.03455181035281044,3.418,3.444,-0.045,-0.071,-0.001,0.0015,0.0204,0.1879,0.3866,0.7119,1.907,-1.98,0.04738,False
,Adaptive Helm + Blue Buff,677,0.007836373738309102,3.332,3.444,-0.044,-0.156,-0.008,0.0003,0.022,0.2304,0.4092,0.7134,1.962,-2.06,0.03943,False
,Emblem Executioner + Blue Buff,556,0.0064357810908417445,3.306,3.444,-0.044,-0.183,-0.015,0.0003,0.0226,0.2536,0.4137,0.714,2.008,-2.14,0.03263,True
populaire,Rabadons Deathcap + Spear Of Shojin,8126,0.0940596351514029,3.438,3.447,-0.041,-0.05,-0.004,0.0039,0.0086,0.2056,0.3996,0.7001,2.007,-2.14,0.03253,True
