group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Unique Trait,22406,0.1542879178085965,2.739,2.828,-0.687,-0.776,-0.749,0.1059,0.133,0.3399,0.5599,0.8216,1.838,-57.99,0.0,True
pepite,Executioner,7995,0.05505364201016375,2.664,2.891,-0.624,-0.85,-0.813,0.0343,0.165,0.2956,0.5647,0.8535,1.656,-44.14,0.0,True
pepite,Blossom,7597,0.05231301042541764,2.722,2.941,-0.573,-0.792,-0.752,0.03,0.1456,0.3287,0.5394,0.8341,1.738,-38.41,0.0,True
populaire,Hunter,36767,0.25317789315668426,2.962,3.002,-0.512,-0.553,-0.531,0.1297,0.1034,0.2763,0.4956,0.7919,1.846,-50.31,0.0,True
pepite,Greenfather,17214,0.11853575904477283,2.954,3.035,-0.479,-0.56,-0.53,0.0568,0.0927,0.3104,0.5094,0.7812,1.933,-35.78,0.0,True
pepite,Blossom,707,0.004868408367878145,1.207,3.063,-0.452,-2.308,-2.255,0.0022,0.3001,0.8868,0.9477,0.9887,0.711,-84.61,0.0,True
pepite,Alune Unique Trait,34159,0.23521918166668962,3.1,3.133,-0.382,-0.414,-0.392,0.0898,0.0841,0.2451,0.4604,0.7727,1.872,-36.22,0.0,True
populaire,Brawler,83672,0.5761661456253184,3.133,3.146,-0.369,-0.382,-0.365,0.2124,0.0724,0.2509,0.4605,0.7609,1.92,-44.89,0.0,True
,Emerald,21036,0.1448540854691438,3.101,3.151,-0.364,-0.414,-0.385,0.0527,0.0714,0.2727,0.4767,0.76,1.958,-28.53,0.0,True
,Elderwood,14125,0.09726487722245941,3.101,3.172,-0.343,-0.413,-0.381,0.0333,0.0883,0.2275,0.4634,0.7768,1.848,-25.15,0.0,True
,Inferno,13465,0.09272011127790555,3.152,3.217,-0.298,-0.362,-0.328,0.0276,0.0658,0.2535,0.4606,0.7544,1.945,-20.6,0.0,True
,Spellweaver,7003,0.048222721075319164,3.105,3.225,-0.289,-0.41,-0.365,0.014,0.0874,0.2302,0.4531,0.776,1.832,-18.18,0.0,True
,Brawler,3135,0.021587638236630815,2.972,3.233,-0.282,-0.543,-0.48,0.0061,0.1114,0.2427,0.4884,0.8,1.784,-16.81,0.0,True
,Maokai Unique Trait,26445,0.1821005081874647,3.218,3.247,-0.268,-0.297,-0.271,0.0487,0.0494,0.2551,0.4459,0.738,1.979,-22.37,0.0,True
,Sprykin,5701,0.03925713734833565,3.123,3.255,-0.259,-0.392,-0.343,0.0102,0.0895,0.2156,0.4527,0.7781,1.831,-15.77,0.0,True
