group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,12561,0.16426693867943035,2.695,2.772,-0.626,-0.702,-0.668,0.1029,0.1177,0.3442,0.5659,0.8292,1.795,-40.01,0.0,True
pepite,Ezreal,7163,0.09367439549086534,2.786,2.894,-0.504,-0.612,-0.569,0.0472,0.1144,0.2851,0.548,0.8259,1.758,-27.83,0.0,True
pepite,Kennen,15670,0.20492500032693842,2.859,2.907,-0.491,-0.539,-0.507,0.1007,0.0927,0.301,0.5304,0.8042,1.847,-32.85,0.0,True
populaire,Gnar Small,31841,0.4164018465481842,2.933,2.954,-0.444,-0.465,-0.441,0.1848,0.0903,0.2712,0.4985,0.8019,1.805,-37.45,0.0,True
pepite,Ivern,11613,0.1518694338734356,2.93,2.984,-0.414,-0.468,-0.431,0.0628,0.0783,0.299,0.5114,0.7899,1.885,-24.76,0.0,True
populaire,Alune,20461,0.26757947872938653,3.025,3.051,-0.347,-0.373,-0.344,0.0929,0.0747,0.2546,0.4753,0.7862,1.835,-25.36,0.0,True
pepite,Taric,13904,0.1818300704879229,3.039,3.074,-0.324,-0.359,-0.325,0.0589,0.0641,0.2688,0.4841,0.7757,1.896,-20.39,0.0,True
populaire,Ashe,35313,0.4618070540233042,3.11,3.122,-0.276,-0.288,-0.264,0.1276,0.0607,0.239,0.455,0.7722,1.85,-23.63,0.0,True
populaire,Maokai,17759,0.23224397452495849,3.152,3.171,-0.227,-0.246,-0.215,0.0527,0.0464,0.2485,0.4527,0.758,1.914,-15.33,0.0,True
pepite,Le Blanc,12095,0.15817280657015445,3.147,3.175,-0.223,-0.251,-0.214,0.0352,0.0469,0.2379,0.4631,0.7584,1.913,-13.32,0.0,True
,Alistar,8103,0.10596728000313861,3.136,3.178,-0.22,-0.261,-0.217,0.0233,0.0464,0.241,0.474,0.758,1.933,-11.54,0.0,True
,Soraka,9733,0.12728366484888906,3.149,3.183,-0.215,-0.249,-0.209,0.0274,0.0516,0.2319,0.4592,0.7632,1.906,-12.08,0.0,True
,Azir,13297,0.17389200570180602,3.194,3.215,-0.183,-0.204,-0.167,0.0318,0.0287,0.2583,0.4679,0.7402,2.026,-10.73,0.0,True
,Sivir,6070,0.07938064786116887,3.196,3.236,-0.162,-0.202,-0.152,0.0128,0.0405,0.2351,0.4506,0.7521,1.924,-7.87,0.0,True
,Rek Sai,9927,0.12982070697163484,3.22,3.244,-0.154,-0.178,-0.134,0.02,0.0217,0.2677,0.4696,0.7333,2.077,-8.06,0.0,True
,Veigar,11058,0.1446114009965083,3.229,3.25,-0.148,-0.169,-0.128,0.0214,0.0257,0.2497,0.456,0.7372,2.019,-8.22,0.0,True
,Warwick,6466,0.08455935240038187,3.249,3.278,-0.12,-0.148,-0.095,0.0102,0.011,0.2696,0.4703,0.7225,2.115,-5.44,0.0,True
,Zyra,9194,0.12023487255940471,3.282,3.298,-0.1,-0.116,-0.074,0.012,0.0265,0.2151,0.4298,0.7381,1.939,-5.42,0.0,True
,Malphite,11941,0.15615886591601605,3.287,3.3,-0.098,-0.111,-0.071,0.0153,0.0115,0.2531,0.4459,0.7231,2.068,-5.47,0.0,True
populaire,Sett,66150,0.8650790537094433,3.341,3.342,-0.056,-0.057,-0.037,0.0483,0.0101,0.2203,0.4183,0.7216,1.978,-5.43,0.0,True
populaire,Yunara,37135,0.48563432591837,3.348,3.35,-0.048,-0.05,-0.025,0.0234,0.0069,0.2214,0.4184,0.7184,1.987,-3.98,7e-05,True
,Draven,2057,0.026900493023134162,3.319,3.353,-0.045,-0.079,0.0,0.0012,0.0211,0.2261,0.4118,0.7326,1.958,-1.79,0.07268,True
,Lux Blossom,47,0.0006146442256136634,2.106,3.359,-0.039,-1.292,-0.886,0.0,0.1821,0.4255,0.766,0.8936,1.418,-6.24,0.0,True
,Teemo,517,0.006761086481750297,3.3,3.373,-0.025,-0.098,0.0,0.0002,0.0467,0.1547,0.4004,0.7582,1.817,-1.22,0.22121,False
,Kha Zix,999,0.013064459178469143,3.363,3.384,-0.014,-0.035,0.0,0.0002,0.0272,0.1832,0.3864,0.7387,1.864,-0.58,0.56048,False
,Elder Dragon,729,0.009533524265369376,3.374,3.39,-0.008,-0.023,0.0,0.0001,0.01,0.1962,0.4088,0.7215,1.966,-0.32,0.74842,False
