group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gargoyle Stoneplate + Gargoyle Stoneplate + Warmogs Armor,2633,0.07515341801056087,3.206,3.31,-0.388,-0.492,-0.411,0.0292,0.0912,0.2526,0.4694,0.7429,2.03,-11.93,0.0,True
pepite,Gargoyle Stoneplate + Gargoyle Stoneplate + Protectors Vow,469,0.013386613386613387,2.977,3.409,-0.289,-0.721,-0.537,0.0039,0.1309,0.2921,0.5288,0.7825,2.025,-7.66,0.0,True
populaire,Crownguard + Gargoyle Stoneplate + Warmogs Armor,774,0.022092193520764948,3.323,3.501,-0.197,-0.375,-0.224,0.0043,0.068,0.2494,0.447,0.7196,2.116,-4.87,0.0,True
populaire,Gargoyle Stoneplate + Gargoyle Stoneplate + Spirit Visage,1361,0.03884686741829599,3.426,3.519,-0.179,-0.272,-0.158,0.007,0.0441,0.2248,0.4284,0.6958,2.105,-4.67,0.0,True
pepite,Dragons Claw + Gargoyle Stoneplate + Gargoyle Stoneplate,241,0.006878835450264022,3.017,3.524,-0.174,-0.681,-0.428,0.0012,0.116,0.2905,0.527,0.7676,1.996,-5.28,0.0,True
populaire,Gargoyle Stoneplate + Spirit Visage + Warmogs Armor,3065,0.08748394462680177,3.505,3.541,-0.157,-0.193,-0.116,0.0137,0.0462,0.1896,0.3993,0.6979,2.064,-4.94,0.0,True
pepite,Gargoyle Stoneplate + Gargoyle Stoneplate + Gargoyle Stoneplate,290,0.00827743684886542,3.221,3.558,-0.14,-0.477,-0.229,0.0012,0.069,0.2931,0.4724,0.7207,2.148,-3.77,0.00016,True
populaire,Gargoyle Stoneplate + Protectors Vow + Warmogs Armor,611,0.017439703153988868,3.411,3.564,-0.134,-0.287,-0.119,0.0023,0.0537,0.2209,0.4354,0.7054,2.095,-3.36,0.00079,True
pepite,Crownguard + Gargoyle Stoneplate + Gargoyle Stoneplate,287,0.008191808191808193,3.254,3.569,-0.129,-0.444,-0.208,0.0011,0.0975,0.2195,0.4564,0.7491,2.026,-3.69,0.00022,True
pepite,Gargoyle Stoneplate + Gargoyle Stoneplate + Steadfast Heart,257,0.007335521621235907,3.226,3.571,-0.127,-0.472,-0.214,0.0009,0.0993,0.249,0.4942,0.751,2.107,-3.58,0.00034,True
pepite,Crownguard + Gargoyle Stoneplate + Steadfast Heart,227,0.0064792350506636225,3.181,3.571,-0.127,-0.517,-0.257,0.0008,0.0928,0.2511,0.4758,0.7445,1.993,-3.9,0.0001,True
,Gargoyle Stoneplate + Spirit Visage + Steadfast Heart,468,0.013358070500927645,3.419,3.586,-0.112,-0.279,-0.093,0.0015,0.0791,0.1923,0.4124,0.7308,2.038,-2.94,0.00328,True
,Bramble Vest + Gargoyle Stoneplate + Gargoyle Stoneplate,155,0.0044241472812901386,3.148,3.598,-0.1,-0.55,-0.222,0.0004,0.0709,0.3032,0.4968,0.7226,2.078,-3.28,0.00102,True
,Bramble Vest + Gargoyle Stoneplate + Warmogs Armor,413,0.011788211788211789,3.443,3.603,-0.094,-0.255,-0.054,0.0011,0.0408,0.2155,0.4189,0.6925,2.065,-2.49,0.01274,True
,Dragons Claw + Gargoyle Stoneplate + Steadfast Heart,105,0.002997002997002997,3.019,3.609,-0.088,-0.679,-0.325,0.0003,0.1102,0.3048,0.4571,0.7619,1.846,-3.76,0.00017,True
,The Indomitable + Gargoyle Stoneplate + Warmogs Armor,116,0.003310974739546168,3.207,3.628,-0.07,-0.491,-0.135,0.0002,0.0983,0.2241,0.4569,0.75,1.954,-2.7,0.00692,True
populaire,Crownguard + Gargoyle Stoneplate + Spirit Visage,763,0.02177822177822178,3.566,3.629,-0.069,-0.132,0.0,0.0015,0.0403,0.1913,0.3932,0.692,2.1,-1.71,0.08666,False
,Gargoyle Stoneplate + Gargoyle Stoneplate + Sunfire Cape,326,0.009304980733552163,3.497,3.634,-0.064,-0.201,0.0,0.0006,0.0263,0.2147,0.4294,0.6779,2.112,-1.71,0.08723,False
,Bramble Vest + Dragons Claw + Gargoyle Stoneplate,158,0.0045097759383473665,3.361,3.636,-0.062,-0.337,-0.03,0.0003,0.0572,0.2089,0.4241,0.7089,1.966,-2.15,0.03154,False
,Evenshroud + Gargoyle Stoneplate + Spirit Visage,277,0.007906379334950763,3.498,3.641,-0.057,-0.2,0.0,0.0004,0.0306,0.2202,0.4188,0.6823,2.122,-1.56,0.11876,False
populaire,Gargoyle Stoneplate + Steadfast Heart + Warmogs Armor,622,0.01775367489653204,3.593,3.649,-0.049,-0.105,0.0,0.0009,0.0268,0.1849,0.3987,0.6785,2.112,-1.22,0.22072,False
,Evenshroud + Gargoyle Stoneplate + Gargoyle Stoneplate,203,0.005794205794205794,3.483,3.65,-0.048,-0.215,0.0,0.0003,0.0331,0.2414,0.4138,0.6847,2.15,-1.42,0.15522,False
,Bramble Vest + Gargoyle Stoneplate + Spirit Visage,357,0.01018981018981019,3.557,3.65,-0.047,-0.14,0.0,0.0005,0.0318,0.1653,0.4034,0.6835,2.074,-1.27,0.20316,False
,Evenshroud + Gargoyle Stoneplate + Protectors Vow,114,0.0032538889681746823,3.36,3.651,-0.047,-0.338,0.0,0.0002,0.0676,0.2193,0.4386,0.7193,2.065,-1.75,0.08088,False
,Moguls Mail + Gargoyle Stoneplate + Spirit Visage,125,0.0035678607107178534,3.392,3.652,-0.046,-0.306,0.0,0.0002,0.0443,0.224,0.464,0.696,2.135,-1.6,0.10982,False
,Crownguard + Gargoyle Stoneplate + Protectors Vow,147,0.004195804195804196,3.456,3.656,-0.042,-0.242,0.0,0.0002,0.0286,0.2585,0.4218,0.6803,2.174,-1.35,0.17772,False
,The Indomitable + Gargoyle Stoneplate + Gargoyle Stoneplate,61,0.0017411160268303125,3.197,3.658,-0.04,-0.501,-0.02,0.0001,0.1188,0.2459,0.4426,0.7705,1.915,-2.04,0.04114,False
