group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gargoyle Stoneplate,25204,0.7193948908234623,3.569,3.573,-0.125,-0.128,-0.094,0.0899,0.0224,0.2052,0.4021,0.6741,2.145,-7.23,0.0,True
populaire,Crownguard,4354,0.12427572427572428,3.557,3.577,-0.121,-0.141,-0.074,0.0151,0.0296,0.2053,0.3969,0.6812,2.124,-4.12,4e-05,True
populaire,Protectors Vow,3957,0.11294419865848437,3.569,3.588,-0.109,-0.129,-0.058,0.0124,0.0228,0.208,0.399,0.6745,2.142,-3.58,0.00034,True
pepite,The Indomitable,507,0.014471243042671614,3.489,3.61,-0.088,-0.209,-0.029,0.0013,0.0564,0.1953,0.3886,0.7081,2.054,-2.27,0.02318,True
populaire,Warmogs Armor,14483,0.41338661338661337,3.616,3.62,-0.078,-0.082,-0.04,0.0322,0.0137,0.1942,0.3874,0.6654,2.127,-3.87,0.00011,True
populaire,Steadfast Heart,3630,0.10361067503924647,3.623,3.635,-0.062,-0.074,-0.002,0.0065,0.0224,0.186,0.3843,0.6741,2.114,-2.02,0.04375,False
populaire,Bramble Vest,3184,0.09088054802340517,3.624,3.637,-0.061,-0.074,0.0,0.0055,0.0148,0.1888,0.3847,0.6665,2.111,-1.89,0.0593,False
pepite,Hullcrusher,166,0.004738119023833309,3.476,3.655,-0.043,-0.222,0.0,0.0002,0.0471,0.1928,0.4277,0.6988,2.073,-1.38,0.16876,False
pepite,Emblem Vanguard,180,0.005137719423433709,3.506,3.659,-0.039,-0.192,0.0,0.0002,0.0206,0.2111,0.4111,0.6722,2.08,-1.24,0.21606,False
pepite,Spirit Visage Radiant,67,0.0019123733409447696,3.448,3.676,-0.022,-0.25,0.0,0.0,0.0498,0.194,0.4179,0.7015,2.046,-1.0,0.31756,False
pepite,Warmogs Armor Radiant,104,0.002968460111317254,3.538,3.677,-0.021,-0.159,0.0,0.0001,0.031,0.2212,0.4519,0.6827,2.27,-0.72,0.47438,False
populaire,Spirit Visage,11599,0.3310689310689311,3.681,3.682,-0.016,-0.017,0.0,0.0053,0.0092,0.1758,0.3671,0.6608,2.106,-0.74,0.45676,False
pepite,Lightshield Crest,310,0.008848294562580277,3.661,3.687,-0.011,-0.037,0.0,0.0001,-0.0,0.1968,0.3903,0.6516,2.167,-0.3,0.76708,False
