group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Void Gauntlet,329,0.010582861554297478,3.605,3.672,-0.035,-0.102,0.0,0.0004,0.0337,0.2067,0.383,0.6839,2.157,-0.86,0.39172,False
populaire,The Indomitable,579,0.018624549665465773,3.663,3.686,-0.021,-0.044,0.0,0.0004,0.0199,0.1969,0.3696,0.6701,2.165,-0.49,0.62764,False
populaire,Artifact Talisman Of Ascension,98,0.003152341739577972,3.602,3.693,-0.014,-0.105,0.0,0.0,0.013,0.1735,0.3571,0.6633,1.915,-0.54,0.58732,False
populaire,Lightshield Crest,414,0.0133170355120947,3.7,3.705,-0.003,-0.007,0.0,0.0,-0.0125,0.2053,0.3841,0.6377,2.188,-0.06,0.95015,False
populaire,Horizon Focus,100,0.003216675244467319,3.69,3.705,-0.002,-0.017,0.0,0.0,-0.0202,0.21,0.4,0.63,2.261,-0.08,0.93928,False
populaire,Hullcrusher,255,0.008202521873391662,3.745,3.718,0.011,0.038,0.0,-0.0001,0.0008,0.149,0.3529,0.651,2.081,0.29,0.77247,False
populaire,Aegis Of Dusk,283,0.00910319094184251,3.88,3.761,0.054,0.173,0.0,-0.0005,-0.0212,0.1484,0.2827,0.629,2.071,1.4,0.16296,False
populaire,Aegis Of Dawn,426,0.013703036541430777,3.925,3.796,0.088,0.218,0.012,-0.0012,-0.0258,0.1408,0.3239,0.6244,2.15,2.07,0.038,False
populaire,Moguls Mail,690,0.022195059186824496,3.881,3.799,0.091,0.174,0.003,-0.002,-0.0386,0.1884,0.358,0.6116,2.267,2.0,0.04602,False
,Silvermere Dawn,61,0.0019621718991250643,4.721,3.798,0.091,1.014,0.474,-0.0002,-0.1912,0.0656,0.1967,0.459,2.151,3.68,0.00023,True
populaire,Forbidden Idol,71,0.0022838394235717963,4.606,3.799,0.092,0.898,0.362,-0.0002,-0.1995,0.0986,0.2535,0.4507,2.304,3.28,0.00103,True
