group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gargoyle Stoneplate,23078,0.7423443129181678,3.606,3.608,-0.099,-0.102,-0.065,0.0735,0.0168,0.2004,0.395,0.667,2.15,-5.44,0.0,True
populaire,Crownguard,4180,0.13445702521873393,3.6,3.614,-0.093,-0.107,-0.038,0.0125,0.023,0.2007,0.388,0.6732,2.135,-3.03,0.00242,True
populaire,Protectors Vow,3957,0.1272838394235718,3.617,3.63,-0.078,-0.09,-0.019,0.0099,0.019,0.2017,0.3877,0.6692,2.153,-2.47,0.01339,True
populaire,Warmogs Armor,13363,0.42984431291816777,3.664,3.666,-0.041,-0.043,0.0,0.0177,0.0061,0.1884,0.3775,0.6564,2.134,-1.95,0.05107,True
populaire,Steadfast Heart,3653,0.11750514668039115,3.672,3.677,-0.03,-0.035,0.0,0.0036,0.0139,0.1766,0.3767,0.6641,2.118,-0.96,0.33914,False
populaire,Bramble Vest,3179,0.10225810602161606,3.697,3.698,-0.009,-0.01,0.0,0.0009,0.0009,0.1806,0.368,0.6511,2.115,-0.27,0.79025,False
populaire,Spirit Visage,10794,0.34720792588780236,3.707,3.707,-0.0,-0.0,0.0,0.0001,0.0061,0.1708,0.3608,0.6563,2.101,-0.01,0.99042,False
,Archangels Staff,43,0.001383170355120947,4.233,3.741,0.034,0.525,0.0,-0.0,-0.0921,0.186,0.3023,0.5581,2.381,1.45,0.14812,False
populaire,Evenshroud,2955,0.09505275347400927,3.75,3.743,0.036,0.043,0.0,-0.0034,-0.0133,0.1892,0.3638,0.6369,2.163,1.03,0.30142,False
,Ionic Spark,1068,0.034354091610910964,3.775,3.75,0.043,0.068,0.0,-0.0015,-0.021,0.1807,0.3258,0.6292,2.081,1.05,0.29402,False
populaire,Dragons Claw,4440,0.14282038085434895,3.792,3.782,0.075,0.085,0.018,-0.0107,-0.0133,0.1673,0.3482,0.6369,2.137,2.48,0.01316,True
,Adaptive Helm,1413,0.04545162120432321,3.863,3.815,0.108,0.155,0.039,-0.0049,-0.0267,0.1727,0.3376,0.6235,2.183,2.62,0.00879,True
populaire,Sunfire Cape,4835,0.15552624806999485,3.854,3.837,0.13,0.147,0.082,-0.0202,-0.026,0.1704,0.3315,0.6242,2.128,4.45,1e-05,True
,Steraks Gage,348,0.011194029850746268,4.164,3.871,0.164,0.457,0.221,-0.0018,-0.1042,0.1494,0.296,0.546,2.235,3.79,0.00015,True
,Component Tear Of The Goddess,72,0.0023160061760164694,5.375,3.88,0.173,1.668,1.192,-0.0004,-0.2752,0.0417,0.0972,0.375,2.058,6.87,0.0,True
,Titans Resolve,210,0.006755018013381369,4.638,3.942,0.235,0.931,0.642,-0.0016,-0.1597,0.0857,0.2,0.4905,2.13,6.31,0.0,True
,Bloodthirster,165,0.0053075141533710755,4.964,3.971,0.263,1.256,0.922,-0.0014,-0.2745,0.1091,0.1818,0.3758,2.188,7.36,0.0,True
,Component Chain Vest,414,0.0133170355120947,5.077,4.255,0.548,1.37,1.152,-0.0073,-0.2662,0.0894,0.1715,0.3841,2.247,12.33,0.0,True
,Component Negatron Cloak,429,0.013799536798764797,5.198,4.316,0.609,1.491,1.283,-0.0084,-0.2773,0.0583,0.1445,0.373,2.184,14.05,0.0,True
,Component Giants Belt,615,0.01978255275347401,5.296,4.497,0.79,1.589,1.415,-0.0156,-0.2925,0.0585,0.1317,0.3577,2.171,17.97,0.0,True
