group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Vanguard,369,0.010532324818039104,3.631,3.675,-0.023,-0.066,0.0,0.0002,0.0096,0.2141,0.3902,0.6612,2.199,-0.58,0.56343,False
populaire,Emblem Fae,74,0.0021121735407449694,3.959,3.723,0.025,0.262,0.0,-0.0001,-0.03,0.1486,0.2703,0.6216,2.115,1.06,0.28783,False
populaire,Emblem Blackthorn,102,0.0029113743399457686,4.049,3.743,0.045,0.351,0.0,-0.0001,-0.0928,0.1471,0.3431,0.5588,2.185,1.62,0.10502,False
populaire,Emblem Juggernaut,278,0.007934922220636506,3.892,3.753,0.055,0.194,0.0,-0.0004,-0.0294,0.1871,0.3309,0.6223,2.242,1.44,0.15011,False
populaire,Emblem Flora Fatalis,67,0.0019123733409447696,4.582,3.775,0.077,0.884,0.44,-0.0001,-0.1741,0.0299,0.1642,0.4776,1.854,3.9,0.0001,True
populaire,Emblem Spellweaver,87,0.002483231054659626,4.471,3.783,0.085,0.773,0.304,-0.0002,-0.1574,0.1034,0.2529,0.4943,2.233,3.23,0.00125,True
populaire,Emblem Sprykin,211,0.006022548879691737,4.133,3.799,0.101,0.435,0.148,-0.0006,-0.0877,0.1137,0.2749,0.564,2.115,2.98,0.00292,True
populaire,Emblem Blossom,150,0.004281432852861425,4.327,3.809,0.111,0.629,0.279,-0.0005,-0.1383,0.14,0.24,0.5133,2.18,3.52,0.00042,True
populaire,Emblem Coven,62,0.0017696589125160555,5.145,3.816,0.118,1.447,0.933,-0.0002,-0.2807,0.0323,0.1129,0.371,2.062,5.52,0.0,True
populaire,Emblem Defender,417,0.01190238333095476,4.072,3.837,0.14,0.374,0.167,-0.0017,-0.0665,0.1463,0.283,0.5851,2.14,3.55,0.00039,True
