group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Crownguard + Gargoyle Stoneplate,2754,0.08858723623262996,3.445,3.493,-0.214,-0.262,-0.179,0.0189,0.0499,0.2255,0.4248,0.7001,2.127,-6.19,0.0,True
populaire,Gargoyle Stoneplate + Protectors Vow,2315,0.07446603190941843,3.438,3.495,-0.213,-0.27,-0.18,0.0158,0.0491,0.2268,0.4276,0.6994,2.129,-5.88,0.0,True
populaire,Gargoyle Stoneplate + Warmogs Armor,10126,0.3257205352547607,3.542,3.552,-0.156,-0.165,-0.118,0.0507,0.0282,0.2038,0.4039,0.6785,2.117,-6.79,0.0,True
populaire,Gargoyle Stoneplate + Steadfast Heart,2146,0.06902985074626866,3.524,3.565,-0.142,-0.183,-0.091,0.0098,0.0436,0.1943,0.4096,0.6938,2.102,-3.89,0.0001,True
pepite,Crownguard + Warmogs Armor,1102,0.03544776119402985,3.488,3.567,-0.14,-0.219,-0.091,0.005,0.0313,0.2305,0.4093,0.6815,2.126,-3.36,0.00078,True
pepite,The Indomitable + Gargoyle Stoneplate,365,0.011740864642305712,3.397,3.593,-0.115,-0.31,-0.099,0.0013,0.0621,0.211,0.4137,0.7123,2.044,-2.88,0.004,True
pepite,Crownguard + Steadfast Heart,381,0.012255532681420484,3.425,3.6,-0.107,-0.282,-0.079,0.0013,0.0611,0.1969,0.4199,0.7113,2.003,-2.73,0.00636,True
pepite,Crownguard + Dragons Claw,316,0.010164693772516727,3.402,3.604,-0.103,-0.305,-0.087,0.001,0.0745,0.1835,0.4146,0.7247,1.97,-2.74,0.00616,True
populaire,Bramble Vest + Gargoyle Stoneplate,1480,0.047606793618116316,3.562,3.605,-0.102,-0.145,-0.036,0.0049,0.018,0.1932,0.4,0.6682,2.089,-2.61,0.00915,True
populaire,Gargoyle Stoneplate + Spirit Visage,7919,0.25472851260936696,3.599,3.607,-0.101,-0.109,-0.056,0.0256,0.0239,0.1878,0.3894,0.6741,2.109,-4.07,5e-05,True
populaire,Dragons Claw + Gargoyle Stoneplate,2178,0.0700591868244982,3.595,3.62,-0.087,-0.112,-0.02,0.0061,0.0201,0.1979,0.3884,0.6703,2.129,-2.38,0.01751,True
pepite,Protectors Vow + Steadfast Heart,279,0.008974523932063818,3.452,3.628,-0.079,-0.256,-0.016,0.0007,0.0451,0.2186,0.3835,0.6953,2.035,-2.09,0.03679,False
pepite,Bramble Vest + Ionic Spark,85,0.0027341739577972208,3.141,3.639,-0.068,-0.566,-0.174,0.0002,0.0674,0.2353,0.4824,0.7176,1.842,-2.83,0.00468,True
populaire,Spirit Visage + Warmogs Armor,3547,0.11409547092125578,3.637,3.647,-0.06,-0.071,0.0,0.0069,0.0273,0.1672,0.3724,0.6775,2.075,-1.91,0.05563,False
,Bramble Vest + Crownguard,204,0.00656201749871333,3.5,3.656,-0.051,-0.207,0.0,0.0003,0.0361,0.2157,0.4069,0.6863,2.099,-1.41,0.15995,False
,Bramble Vest + Protectors Vow,247,0.007945187853834277,3.534,3.658,-0.049,-0.173,0.0,0.0004,0.0218,0.2227,0.4211,0.6721,2.148,-1.26,0.20779,False
,Protectors Vow + Warmogs Armor,1004,0.03229541945445188,3.629,3.659,-0.048,-0.078,0.0,0.0016,0.0141,0.1892,0.3875,0.6643,2.13,-1.14,0.25497,False
,Hullcrusher + Gargoyle Stoneplate,139,0.004471178589809573,3.453,3.661,-0.046,-0.254,0.0,0.0002,0.0548,0.2086,0.4317,0.705,2.099,-1.42,0.15463,False
,Lightshield Crest + Gargoyle Stoneplate,254,0.00817035512094699,3.555,3.663,-0.044,-0.152,0.0,0.0004,0.0073,0.2087,0.4094,0.6575,2.104,-1.15,0.25125,False
,Bramble Vest + Steadfast Heart,177,0.005693515182707154,3.514,3.664,-0.043,-0.193,0.0,0.0002,0.056,0.1525,0.3955,0.7062,1.955,-1.31,0.19019,False
,Evenshroud + Spirit Visage,553,0.017788214101904273,3.618,3.665,-0.042,-0.089,0.0,0.0007,0.0189,0.1917,0.3725,0.6691,2.055,-1.01,0.31411,False
,Evenshroud + Ionic Spark,85,0.0027341739577972208,3.376,3.667,-0.04,-0.331,0.0,0.0001,0.0439,0.3059,0.4,0.6941,2.136,-1.43,0.15401,False
,Adaptive Helm + Bramble Vest,69,0.0022195059186824496,3.304,3.667,-0.04,-0.403,0.0,0.0001,0.0889,0.2464,0.4348,0.7391,2.038,-1.64,0.10099,False
,The Indomitable + Warmogs Armor,143,0.004599845599588265,3.497,3.668,-0.039,-0.211,0.0,0.0002,0.0561,0.2098,0.3846,0.7063,2.055,-1.22,0.22117,False
populaire,Evenshroud + Gargoyle Stoneplate,1518,0.0488291302110139,3.657,3.671,-0.036,-0.05,0.0,0.0017,0.0006,0.2022,0.392,0.6509,2.169,-0.89,0.376,False
,Adaptive Helm + Steadfast Heart,112,0.003602676273803397,3.518,3.678,-0.029,-0.189,0.0,0.0001,0.0551,0.1696,0.3661,0.7054,1.973,-1.01,0.31071,False
,Gargoyle Stoneplate + Gargoyle Stoneplate Radiant,81,0.002605506948018528,3.481,3.681,-0.026,-0.226,0.0,0.0001,0.0782,0.2346,0.3827,0.7284,2.155,-0.94,0.3464,False
,Bramble Vest + Spirit Visage,696,0.022388059701492536,3.661,3.683,-0.024,-0.046,0.0,0.0005,0.0193,0.1466,0.3606,0.6695,2.006,-0.6,0.54752,False
,Emblem Vanguard + Gargoyle Stoneplate,135,0.00434251158003088,3.57,3.683,-0.024,-0.137,0.0,0.0001,0.0239,0.1852,0.3926,0.6741,2.075,-0.76,0.4444,False
,Bramble Vest + Sunfire Cape,384,0.012352032938754504,3.648,3.685,-0.022,-0.059,0.0,0.0003,0.0425,0.1719,0.3672,0.6927,2.09,-0.55,0.58381,False
,Adaptive Helm + Evenshroud,118,0.0037956767884714357,3.585,3.688,-0.02,-0.123,0.0,0.0001,0.0277,0.2119,0.3983,0.678,2.168,-0.61,0.54011,False
,Gargoyle Stoneplate + Steraks Gage,129,0.004149511065362841,3.589,3.687,-0.02,-0.118,0.0,0.0001,-0.0223,0.2481,0.4186,0.6279,2.24,-0.6,0.55003,False
,Gargoyle Stoneplate + Spirit Visage Radiant,68,0.0021873391662377765,3.515,3.688,-0.019,-0.193,0.0,0.0,0.041,0.1912,0.3971,0.6912,2.062,-0.77,0.44173,False
,Spirit Visage + Steadfast Heart,813,0.0261515697375193,3.675,3.689,-0.018,-0.032,0.0,0.0005,0.0275,0.1636,0.3604,0.6777,2.061,-0.44,0.66267,False
,Gargoyle Stoneplate + Warmogs Armor Radiant,89,0.0028628409675759137,3.562,3.689,-0.018,-0.145,0.0,0.0001,0.0239,0.2135,0.427,0.6742,2.223,-0.62,0.53764,False
,Ionic Spark + Steadfast Heart,76,0.0024446731857951623,3.539,3.689,-0.018,-0.168,0.0,0.0,0.034,0.1579,0.3289,0.6842,1.881,-0.78,0.43753,False
,Protectors Vow + Spirit Visage,771,0.024800566134843025,3.677,3.691,-0.017,-0.03,0.0,0.0004,0.0113,0.1829,0.3735,0.6615,2.103,-0.39,0.69371,False
,Evenshroud + Sunfire Cape,533,0.01714487905301081,3.675,3.693,-0.015,-0.032,0.0,0.0003,-0.0048,0.197,0.364,0.6454,2.108,-0.35,0.72973,False
,The Indomitable + Spirit Visage,88,0.0028306742151312406,3.591,3.693,-0.014,-0.116,0.0,0.0,0.0657,0.1364,0.3409,0.7159,1.934,-0.56,0.57328,False
,Ionic Spark + Protectors Vow,92,0.002959341224909933,3.598,3.693,-0.014,-0.109,0.0,0.0,0.0237,0.2174,0.3478,0.6739,2.106,-0.5,0.6188,False
,Adaptive Helm + Crownguard,168,0.005404014410705095,3.649,3.695,-0.012,-0.058,0.0,0.0001,0.0343,0.2024,0.3631,0.6845,2.155,-0.35,0.72594,False
,Dragons Claw + Protectors Vow,355,0.01141919711785898,3.679,3.697,-0.01,-0.028,0.0,0.0001,0.0005,0.1887,0.3803,0.6507,2.171,-0.24,0.80654,False
,Moguls Mail + Spirit Visage,161,0.005178847143592383,3.671,3.7,-0.007,-0.036,0.0,0.0,-0.0167,0.1801,0.3975,0.6335,2.152,-0.21,0.83029,False
,Aegis Of Dusk + Warmogs Armor,48,0.001544004117344313,3.604,3.7,-0.007,-0.103,0.0,0.0,-0.0044,0.25,0.3542,0.6458,2.119,-0.34,0.73626,False
,Crownguard + Spirit Visage,1041,0.033485589294904784,3.698,3.702,-0.006,-0.009,0.0,0.0002,0.0126,0.1739,0.3564,0.6628,2.092,-0.13,0.89289,False
,Emblem Vanguard + Warmogs Armor,61,0.0019621718991250643,3.639,3.701,-0.006,-0.068,0.0,0.0,-0.0273,0.2131,0.4098,0.623,2.135,-0.25,0.80401,False
,Evenshroud + Steadfast Heart,288,0.009264024704065878,3.691,3.702,-0.005,-0.016,0.0,0.0,-0.0183,0.1944,0.3924,0.6319,2.185,-0.13,0.89986,False
,Void Gauntlet + Gargoyle Stoneplate,171,0.005500514668039115,3.684,3.702,-0.005,-0.023,0.0,0.0,-0.0011,0.2105,0.386,0.6491,2.18,-0.14,0.89039,False
,Emblem Juggernaut + Warmogs Armor,44,0.0014153371075656203,3.636,3.703,-0.005,-0.071,0.0,0.0,-0.0366,0.25,0.4091,0.6136,2.287,-0.21,0.83722,False
,Protectors Vow + Sunfire Cape,435,0.013992537313432836,3.697,3.703,-0.004,-0.011,0.0,0.0001,-0.0019,0.2069,0.3563,0.6483,2.123,-0.1,0.91687,False
,Crownguard + Evenshroud,285,0.009167524446731858,3.695,3.703,-0.004,-0.013,0.0,0.0,0.0164,0.2035,0.3825,0.6667,2.167,-0.1,0.92269,False
,Spirit Visage Radiant + Warmogs Armor,42,0.0013510036026762738,3.643,3.703,-0.004,-0.064,0.0,0.0,0.0164,0.1667,0.4286,0.6667,2.18,-0.19,0.8483,False
,Dragons Claw + Steadfast Heart,326,0.010486361296963459,3.709,3.708,0.0,0.001,0.0,-0.0,-0.0152,0.181,0.3896,0.635,2.177,0.01,0.99119,False
,Lightshield Crest + Warmogs Armor,86,0.002766340710241894,3.709,3.707,0.0,0.002,0.0,-0.0,-0.0339,0.2093,0.4419,0.6163,2.312,0.01,0.99344,False
,Spirit Visage + Warmogs Armor Radiant,41,0.0013188368502316007,3.707,3.707,0.0,0.0,0.0,-0.0,0.0327,0.2195,0.3902,0.6829,2.266,0.0,0.99985,False
,Dragons Claw + Ionic Spark,82,0.0026376737004632014,3.707,3.707,0.0,0.0,0.0,-0.0,-0.0161,0.2073,0.378,0.6341,2.15,0.0,0.99978,False
,Crownguard + Ionic Spark,71,0.0022838394235717963,3.718,3.708,0.001,0.011,0.0,-0.0,-0.0023,0.1408,0.2958,0.6479,1.893,0.05,0.96079,False
,Moguls Mail + Gargoyle Stoneplate,457,0.014700205867215646,3.716,3.711,0.004,0.008,0.0,-0.0001,-0.0025,0.2079,0.3917,0.6477,2.265,0.08,0.93808,False
,Emblem Defender + Sunfire Cape,54,0.001737004632012352,3.759,3.711,0.004,0.052,0.0,-0.0,-0.0021,0.1852,0.3333,0.6481,2.045,0.19,0.8519,False
,Aegis Of Dawn + Warmogs Armor,75,0.0024125064333504888,3.76,3.713,0.006,0.053,0.0,-0.0,-0.0369,0.1467,0.36,0.6133,1.992,0.23,0.81889,False
,Gargoyle Stoneplate Radiant + Warmogs Armor,65,0.002090838908903757,3.785,3.715,0.007,0.077,0.0,-0.0,-0.0194,0.1692,0.2923,0.6308,1.988,0.31,0.75405,False
,Lightshield Crest + Spirit Visage,66,0.0021230056613484303,3.788,3.715,0.008,0.081,0.0,-0.0,-0.0442,0.1667,0.3485,0.6061,2.085,0.31,0.75371,False
,Adaptive Helm + Sunfire Cape,159,0.005114513638703037,3.748,3.716,0.008,0.041,0.0,-0.0,-0.0087,0.1761,0.3962,0.6415,2.215,0.23,0.81508,False
,Emblem Defender + Warmogs Armor,69,0.0022195059186824496,3.797,3.716,0.009,0.09,0.0,-0.0,0.002,0.1159,0.2899,0.6522,1.798,0.41,0.67861,False
,Emblem Blossom + Gargoyle Stoneplate,45,0.0014475038600102934,3.844,3.717,0.009,0.137,0.0,-0.0,-0.028,0.1556,0.3556,0.6222,2.054,0.45,0.65441,False
,Evenshroud + Protectors Vow,312,0.010036026762738034,3.74,3.718,0.011,0.033,0.0,-0.0001,-0.006,0.1763,0.359,0.6442,2.144,0.27,0.78591,False
,Ionic Spark + Sunfire Cape,223,0.0071731857951621205,3.749,3.718,0.011,0.042,0.0,-0.0001,0.0,0.1614,0.2915,0.6502,1.95,0.32,0.75093,False
,Moguls Mail + Warmogs Armor,186,0.005983015954709212,3.763,3.72,0.013,0.056,0.0,-0.0001,-0.0373,0.2043,0.371,0.6129,2.221,0.34,0.7308,False
,Void Gauntlet + Spirit Visage,50,0.0016083376222336594,3.9,3.722,0.014,0.193,0.0,-0.0,0.0098,0.14,0.38,0.66,2.238,0.61,0.54288,False
,Emblem Vanguard + Spirit Visage,44,0.0014153371075656203,3.932,3.722,0.015,0.225,0.0,-0.0,-0.0366,0.1364,0.3182,0.6136,2.136,0.7,0.48592,False
