group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Executioner,12404,0.3989963973237262,2.517,2.573,-1.134,-1.191,-1.154,0.4524,0.2274,0.3283,0.6041,0.8776,1.595,-63.27,0.0,True
pepite,Lux Unique Trait,2419,0.07781137416366443,2.897,3.063,-0.644,-0.81,-0.728,0.0501,0.1418,0.3113,0.549,0.7921,1.964,-19.39,0.0,True
pepite,Blossom,1284,0.041302110138960374,2.857,3.134,-0.573,-0.851,-0.75,0.0237,0.1699,0.2617,0.5234,0.8201,1.785,-16.58,0.0,True
populaire,Flora Fatalis,13811,0.44425501801338135,3.122,3.148,-0.56,-0.585,-0.545,0.2486,0.1145,0.2454,0.4748,0.7648,1.939,-28.5,0.0,True
pepite,Elderwood,518,0.01666237776634071,2.608,3.208,-0.5,-1.099,-0.951,0.0083,0.2069,0.3494,0.5811,0.8571,1.695,-14.57,0.0,True
populaire,Blossom,18692,0.6012609366958311,3.237,3.252,-0.455,-0.47,-0.433,0.2736,0.0902,0.2375,0.4601,0.7404,2.02,-24.53,0.0,True
pepite,Inferno,2381,0.07658903757076685,3.21,3.313,-0.394,-0.497,-0.407,0.0302,0.0688,0.2957,0.4973,0.719,2.157,-10.84,0.0,True
pepite,Battlemage,1115,0.035865928975810604,3.179,3.368,-0.339,-0.528,-0.406,0.0122,0.0861,0.2466,0.496,0.7363,2.035,-8.49,0.0,True
pepite,Flora Fatalis,2277,0.07324369531652085,3.282,3.374,-0.334,-0.425,-0.338,0.0244,0.0771,0.2372,0.4436,0.7273,2.025,-9.62,0.0,True
populaire,Spellweaver,21848,0.7027792074112198,3.379,3.388,-0.319,-0.328,-0.292,0.2243,0.0633,0.2204,0.4295,0.7135,2.06,-17.71,0.0,True
,Brawler,1696,0.054554812146165726,3.298,3.408,-0.299,-0.409,-0.311,0.0163,0.0809,0.2176,0.4422,0.7311,1.998,-8.17,0.0,True
,Greenfather,3434,0.11046062789500773,3.369,3.421,-0.287,-0.339,-0.263,0.0317,0.0417,0.2595,0.4543,0.6919,2.151,-8.75,0.0,True
,Zyra Unique Trait,798,0.0256690684508492,3.238,3.444,-0.264,-0.469,-0.324,0.0068,0.0854,0.2444,0.4762,0.7356,2.06,-6.35,0.0,True
populaire,Brawler,25306,0.8140118373648997,3.442,3.448,-0.259,-0.266,-0.231,0.2111,0.0532,0.2095,0.4124,0.7034,2.058,-14.93,0.0,True
populaire,Elderwood,21791,0.7009457025218734,3.472,3.479,-0.229,-0.235,-0.198,0.1603,0.0457,0.2114,0.4151,0.6959,2.102,-12.54,0.0,True
,Emerald,3011,0.09685409161091096,3.456,3.499,-0.209,-0.252,-0.171,0.0202,0.0353,0.2395,0.4274,0.6855,2.146,-6.14,0.0,True
,Spellweaver,595,0.019139217704580547,3.398,3.556,-0.151,-0.309,-0.147,0.0029,0.0691,0.1966,0.4134,0.7193,1.99,-3.74,0.00018,True
,Alune Unique Trait,1086,0.03493309315491508,3.5,3.575,-0.132,-0.207,-0.083,0.0046,0.0376,0.1989,0.4042,0.6878,2.055,-3.26,0.00111,True
,Spellweaver,70,0.002251672671127123,3.0,3.636,-0.072,-0.707,-0.24,0.0002,0.1069,0.2857,0.5429,0.7571,1.993,-2.97,0.00302,True
,Brawler,273,0.00878152341739578,3.487,3.64,-0.067,-0.22,0.0,0.0006,0.0238,0.1758,0.3773,0.674,1.905,-1.9,0.05761,True
,Blackthorn,2282,0.07340452907874422,3.624,3.642,-0.065,-0.083,0.0,0.0048,0.0211,0.1946,0.3935,0.6713,2.165,-1.77,0.07618,False
,Sprykin,63,0.0020265054040144105,3.27,3.667,-0.04,-0.437,0.0,0.0001,0.0482,0.2063,0.4127,0.6984,1.819,-1.91,0.05663,True
,Sprykin,234,0.007527020072053525,3.564,3.668,-0.039,-0.143,0.0,0.0003,0.0848,0.1026,0.3162,0.735,1.785,-1.22,0.22242,False
,Blossom,138,0.004439011837364899,3.5,3.67,-0.038,-0.207,0.0,0.0002,0.0309,0.2246,0.413,0.6812,2.103,-1.15,0.24815,False
,Solar,257,0.008266855378281009,3.646,3.689,-0.018,-0.061,0.0,0.0001,0.0463,0.1868,0.3424,0.6965,2.07,-0.47,0.63621,False
,Hunter,51,0.0016405043746783325,3.588,3.698,-0.009,-0.119,0.0,0.0,0.0164,0.1961,0.3529,0.6667,2.041,-0.42,0.6773,False
,Blackthorn,91,0.00292717447246526,3.67,3.703,-0.005,-0.037,0.0,0.0,0.0201,0.1868,0.4066,0.6703,2.199,-0.16,0.87294,False
,Summoner,86,0.002766340710241894,3.663,3.702,-0.005,-0.044,0.0,0.0,0.0358,0.1395,0.3837,0.686,2.116,-0.19,0.84576,False
,Invoker,92,0.002959341224909933,3.837,3.724,0.017,0.13,0.0,-0.0,-0.0089,0.0652,0.2283,0.6413,1.604,0.77,0.43905,False
,Invoker,55,0.0017691713844570252,3.927,3.725,0.018,0.22,0.0,-0.0,0.0043,0.0545,0.1818,0.6545,1.725,0.94,0.34492,False
,Fae,284,0.009135357694287185,3.771,3.727,0.02,0.064,0.0,-0.0002,-0.0094,0.1479,0.331,0.6408,2.002,0.53,0.59271,False
,Lunar,124,0.003988677303139475,3.839,3.729,0.022,0.131,0.0,-0.0001,-0.0293,0.1613,0.3548,0.621,2.172,0.67,0.50109,False
,Elderwood,2191,0.07047735460627895,3.748,3.739,0.031,0.04,0.0,-0.0022,0.0116,0.1328,0.2999,0.6618,1.891,0.96,0.33907,False
,Rival,56,0.0018013381369016985,4.089,3.739,0.032,0.382,0.0,-0.0001,-0.0431,0.0714,0.1786,0.6071,1.796,1.59,0.11181,False
,Sprykin,707,0.022741893978383942,3.772,3.742,0.035,0.065,0.0,-0.0008,0.0061,0.1358,0.3126,0.6563,1.974,0.86,0.38755,False
,Defender,120,0.0038600102933607824,3.942,3.745,0.038,0.234,0.0,-0.0001,-0.0336,0.125,0.3083,0.6167,2.119,1.21,0.2264,False
,Slayer,52,0.0016726711271230056,4.25,3.749,0.042,0.543,0.0,-0.0001,-0.1118,0.0385,0.2885,0.5385,2.074,1.89,0.05942,True
,Vanguard,73,0.0023481729284611425,4.137,3.752,0.045,0.43,0.0,-0.0001,-0.0612,0.0822,0.2603,0.589,2.089,1.76,0.07922,False
,Inferno,319,0.010261194029850746,3.871,3.763,0.056,0.164,0.0,-0.0006,-0.064,0.2508,0.4044,0.5862,2.461,1.19,0.23512,False
,Invoker,353,0.011354863612969635,3.892,3.774,0.067,0.185,0.0,-0.0008,0.0042,0.1218,0.3003,0.6544,2.039,1.69,0.09013,False
,Primal,412,0.013252702007205353,3.942,3.801,0.093,0.234,0.017,-0.0012,-0.0507,0.182,0.3301,0.5995,2.239,2.11,0.03457,True
,Hunter,333,0.01071152856407617,4.024,3.818,0.11,0.317,0.078,-0.0012,-0.0466,0.1291,0.3243,0.6036,2.211,2.6,0.00929,True
,Maokai Unique Trait,1825,0.05870432321152856,3.863,3.823,0.116,0.156,0.053,-0.0068,-0.0382,0.1896,0.3337,0.6121,2.179,2.97,0.00298,True
,Summoner,1673,0.05381497683993824,3.883,3.836,0.128,0.176,0.067,-0.0069,-0.0352,0.1739,0.3503,0.6151,2.227,3.16,0.00159,True
,Rapidfire,172,0.005532681420483788,4.337,3.844,0.137,0.63,0.321,-0.0008,-0.1211,0.1047,0.2267,0.5291,2.064,3.99,7e-05,True
