group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Kennen,7779,0.24436905098482706,2.772,2.843,-0.863,-0.934,-0.886,0.2109,0.1662,0.3189,0.5726,0.8164,1.873,-38.23,0.0,True
populaire,Soraka,14833,0.46596299437690447,3.009,3.038,-0.669,-0.697,-0.659,0.3116,0.1347,0.261,0.4992,0.7849,1.892,-35.44,0.0,True
pepite,Lux Base,2476,0.0777809191719285,2.899,3.064,-0.642,-0.807,-0.726,0.0499,0.1414,0.3102,0.5489,0.7916,1.964,-19.55,0.0,True
populaire,Ahri,15916,0.4999842930292464,3.074,3.099,-0.608,-0.632,-0.593,0.3038,0.1193,0.2589,0.496,0.7695,1.961,-32.11,0.0,True
populaire,Sett,21462,0.6742060126284045,3.174,3.19,-0.517,-0.532,-0.497,0.3483,0.1041,0.2373,0.4653,0.7543,1.962,-29.5,0.0,True
pepite,Malphite,1156,0.036314516382370494,3.167,3.358,-0.348,-0.539,-0.42,0.0126,0.0894,0.2483,0.4974,0.7396,2.031,-8.85,0.0,True
populaire,Ezreal,26030,0.817704897433481,3.375,3.383,-0.324,-0.332,-0.297,0.2647,0.0656,0.2169,0.4244,0.7158,2.034,-19.0,0.0,True
pepite,Ivern,3581,0.11249332453742972,3.346,3.401,-0.306,-0.36,-0.286,0.0344,0.0449,0.2645,0.4608,0.6951,2.152,-9.49,0.0,True
pepite,Gnar Small,6599,0.20730060000628278,3.378,3.407,-0.299,-0.328,-0.275,0.0621,0.0654,0.2137,0.4101,0.7156,1.982,-12.06,0.0,True
pepite,Ashe,1288,0.0404611566613263,3.271,3.415,-0.291,-0.435,-0.324,0.0118,0.0866,0.2112,0.4573,0.7368,1.99,-7.67,0.0,True
populaire,Yunara,23428,0.7359658216316401,3.435,3.442,-0.264,-0.271,-0.235,0.1942,0.0529,0.2158,0.4245,0.7031,2.1,-14.83,0.0,True
pepite,Zyra,815,0.025602362328401344,3.24,3.445,-0.261,-0.466,-0.322,0.0067,0.086,0.2454,0.4748,0.7362,2.062,-6.36,0.0,True
populaire,Azir,11582,0.36383627053686424,3.433,3.447,-0.259,-0.273,-0.228,0.0941,0.0549,0.2098,0.4188,0.7051,2.07,-12.02,0.0,True
,Taric,3144,0.09876543209876543,3.461,3.502,-0.204,-0.246,-0.167,0.0202,0.0362,0.237,0.4275,0.6864,2.148,-6.12,0.0,True
,Alune,1133,0.035591995727703954,3.493,3.57,-0.136,-0.213,-0.091,0.0048,0.0391,0.1995,0.4034,0.6893,2.051,-3.43,0.00061,True
populaire,Le Blanc,27042,0.8494958062388088,3.575,3.578,-0.128,-0.131,-0.096,0.1088,0.0262,0.1987,0.3921,0.6764,2.116,-7.43,0.0,True
,Amumu,2899,0.0910690164294914,3.671,3.678,-0.029,-0.035,0.0,0.0026,-0.019,0.2518,0.4167,0.6313,2.32,-0.78,0.43481,False
,Teemo,641,0.020136336506141425,3.855,3.781,0.075,0.149,0.0,-0.0015,0.005,0.0952,0.2793,0.6552,1.916,1.94,0.05236,True
,Fiddlesticks,3114,0.0978230138535482,3.802,3.786,0.08,0.096,0.018,-0.0078,-0.014,0.1641,0.3353,0.6362,2.104,2.42,0.01537,True
,Cinderling,249,0.007822071435302988,4.064,3.807,0.101,0.358,0.121,-0.0008,-0.0117,0.0281,0.261,0.6386,1.898,2.96,0.00306,True
,Rammus,855,0.02685891998869098,3.895,3.814,0.108,0.189,0.05,-0.0029,-0.0069,0.1251,0.2959,0.6433,2.038,2.66,0.00771,True
