group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Evenshroud + Gargoyle Stoneplate + Warmogs Armor,648,0.00818533208700705,3.691,3.818,-0.052,-0.178,-0.021,0.0004,0.0353,0.2006,0.3318,0.6559,2.032,-2.22,0.02611,False
pepite,Bramble Vest + Evenshroud + Gargoyle Stoneplate,197,0.0024884420079326983,3.431,3.821,-0.048,-0.438,-0.16,0.0001,0.0799,0.2081,0.3807,0.7005,1.993,-3.08,0.00205,True
pepite,Evenshroud + Spirit Visage + Sunfire Cape,158,0.0019958062804739407,3.437,3.83,-0.039,-0.433,-0.127,0.0001,0.0946,0.2152,0.3861,0.7152,1.963,-2.77,0.00561,True
pepite,Crownguard + Protectors Vow + Sunfire Cape,82,0.0010357981961953363,3.098,3.832,-0.038,-0.772,-0.402,0.0,0.1477,0.1951,0.4512,0.7683,1.708,-4.09,4e-05,True
pepite,Evenshroud + Spirit Visage + Warmogs Armor,199,0.002513705378571609,3.543,3.833,-0.037,-0.327,-0.045,0.0001,0.0478,0.2111,0.3819,0.6683,2.024,-2.28,0.02286,False
pepite,Dragons Claw + Evenshroud + Warmogs Armor,109,0.00137685369982063,3.312,3.834,-0.036,-0.558,-0.176,0.0,0.1134,0.2202,0.4679,0.7339,2.03,-2.87,0.00416,True
,Dragons Claw + Evenshroud + Gargoyle Stoneplate,171,0.00216001818962686,3.509,3.835,-0.035,-0.361,-0.088,0.0001,0.0695,0.152,0.3509,0.6901,1.821,-2.59,0.00963,True
,Emblem Brawler + Gargoyle Stoneplate + Warmogs Armor,124,0.0015663289796124598,3.395,3.835,-0.034,-0.475,-0.117,0.0001,0.1052,0.2339,0.4032,0.7258,2.031,-2.6,0.00934,True
,Evenshroud + Gargoyle Stoneplate + Sunfire Cape,334,0.004218982896698077,3.683,3.837,-0.033,-0.187,0.0,0.0001,0.0561,0.1617,0.2904,0.6766,1.93,-1.77,0.07723,False
,Gargoyle Stoneplate + Ionic Spark + Protectors Vow,150,0.0018947527979182983,3.493,3.837,-0.033,-0.376,-0.064,0.0001,0.0528,0.2133,0.3467,0.6733,1.952,-2.36,0.01832,False
,Adaptive Helm + Dragons Claw + Protectors Vow,68,0.0008589546017229619,3.074,3.837,-0.033,-0.796,-0.378,0.0,0.1441,0.1912,0.4559,0.7647,1.76,-3.73,0.00019,True
