group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ionic Spark,4310,0.053858842347295814,3.617,3.686,-0.186,-0.255,-0.193,0.01,0.0481,0.177,0.3538,0.6687,2.0,-8.13,0.0,True
populaire,Evenshroud,7202,0.08999800059982005,3.648,3.689,-0.183,-0.223,-0.174,0.0164,0.0427,0.1862,0.3512,0.6633,2.048,-8.85,0.0,True
pepite,Emblem Vanguard,1234,0.01542037388783365,3.515,3.716,-0.155,-0.356,-0.243,0.0024,0.0666,0.1807,0.3841,0.6872,2.006,-6.18,0.0,True
pepite,Emblem Brawler,722,0.009022293312006399,3.431,3.734,-0.137,-0.441,-0.298,0.0012,0.0886,0.2091,0.3878,0.7091,1.953,-6.03,0.0,True
populaire,Bramble Vest,9409,0.11757722683195042,3.773,3.787,-0.084,-0.098,-0.055,0.0099,0.0196,0.1574,0.3219,0.6401,2.017,-4.46,1e-05,True
populaire,Steadfast Heart,9936,0.1241627511746476,3.789,3.8,-0.071,-0.083,-0.04,0.0088,0.0215,0.1589,0.3247,0.6421,2.049,-3.79,0.00015,True
pepite,Emblem Defender,865,0.01080925722283315,3.72,3.818,-0.053,-0.151,-0.018,0.0006,0.0268,0.1688,0.326,0.6474,1.984,-2.23,0.02585,True
populaire,Crownguard,8911,0.11135409377186845,3.838,3.843,-0.029,-0.034,0.0,0.0032,0.0051,0.1567,0.3194,0.6256,2.065,-1.46,0.14341,False
pepite,Horizon Focus,84,0.0010496850944716584,3.381,3.847,-0.024,-0.491,-0.135,0.0,0.1651,0.119,0.3095,0.7857,1.661,-2.7,0.00685,True
populaire,Protectors Vow,14886,0.18601919424172747,3.847,3.849,-0.022,-0.025,0.0,0.0041,0.0022,0.1599,0.3194,0.6227,2.077,-1.33,0.18483,False
pepite,Adaptive Helm,5863,0.07326552034389683,3.844,3.85,-0.022,-0.028,0.0,0.0016,0.0027,0.16,0.3176,0.6232,2.071,-0.98,0.32574,False
,Steraks Gage,898,0.011221633509947015,3.818,3.852,-0.019,-0.053,0.0,0.0002,0.0064,0.1748,0.3129,0.6269,2.072,-0.76,0.44608,False
,Titans Resolve,117,0.0014620613815855244,3.658,3.857,-0.015,-0.213,0.0,0.0,0.0632,0.1624,0.2991,0.6838,1.868,-1.23,0.21714,False
