group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Horizon Focus,355,0.004436169149255224,3.363,3.779,-0.092,-0.508,-0.301,0.0004,0.1146,0.1915,0.4085,0.7352,1.99,-4.8,0.0,True
pepite,Infinity Force,62,0.0007747675697290813,3.742,3.867,-0.005,-0.13,0.0,0.0,0.0085,0.1613,0.3387,0.629,1.983,-0.51,0.60723,False
pepite,Zhonyas Paradox,41,0.0005123462961111666,3.659,3.866,-0.005,-0.213,0.0,0.0,0.038,0.122,0.3659,0.6585,1.816,-0.75,0.45295,False
,Silvermere Dawn,73,0.0009122263321003699,4.329,3.891,0.02,0.457,0.011,-0.0,-0.0452,0.0685,0.2055,0.5753,1.945,2.01,0.04464,True
populaire,Artifact Talisman Of Ascension,116,0.0014495651304608618,4.25,3.897,0.026,0.379,0.004,-0.0,-0.0689,0.1034,0.2241,0.5517,2.055,1.98,0.0474,True
,Seekers Armguard,85,0.001062181345596321,4.412,3.899,0.027,0.54,0.09,-0.0,-0.1029,0.1176,0.2235,0.5176,2.116,2.35,0.01863,True
populaire,Lightshield Crest,861,0.0107592722183345,3.993,3.914,0.043,0.122,0.0,-0.0005,-0.0166,0.1324,0.3055,0.6039,2.122,1.67,0.09446,False
populaire,Hullcrusher,361,0.004511146656003199,4.249,3.941,0.07,0.378,0.16,-0.0003,-0.0499,0.1219,0.241,0.5706,2.112,3.39,0.00069,True
populaire,Void Gauntlet,431,0.005385884234729581,4.204,3.942,0.071,0.333,0.138,-0.0004,-0.0568,0.0998,0.2483,0.5638,2.058,3.35,0.00082,True
populaire,Aegis Of Dawn,699,0.008734879536139158,4.112,3.944,0.073,0.24,0.087,-0.0006,-0.0369,0.1187,0.2575,0.5837,2.051,3.08,0.00206,True
populaire,The Indomitable,949,0.011858942317304808,4.091,3.953,0.082,0.219,0.087,-0.001,-0.0463,0.1275,0.2708,0.5743,2.061,3.26,0.00113,True
populaire,Aegis Of Dusk,538,0.006722983105068479,4.201,3.954,0.083,0.329,0.155,-0.0006,-0.0722,0.1227,0.2379,0.5483,2.054,3.71,0.00021,True
populaire,Moguls Mail,1393,0.017407277816655003,4.066,3.962,0.091,0.195,0.083,-0.0016,-0.0484,0.1493,0.2793,0.5721,2.116,3.4,0.00067,True
populaire,Forbidden Idol,138,0.0017244826552034389,5.065,3.966,0.095,1.194,0.85,-0.0002,-0.2728,0.0725,0.1522,0.3478,2.061,6.8,0.0,True
