group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ionic Spark,3192,0.06742427442862574,3.775,3.842,-0.226,-0.294,-0.219,0.0153,0.0593,0.167,0.3333,0.6404,2.069,-7.75,0.0,True
populaire,Evenshroud,5021,0.10605804570994043,3.86,3.893,-0.175,-0.208,-0.147,0.0186,0.0373,0.1675,0.3199,0.6184,2.094,-6.71,0.0,True
populaire,Bramble Vest,6271,0.13246166194922057,3.899,3.921,-0.147,-0.169,-0.115,0.0195,0.03,0.1485,0.3038,0.6111,2.057,-6.11,0.0,True
populaire,Steadfast Heart,6446,0.13615816822271978,3.922,3.941,-0.128,-0.147,-0.093,0.0174,0.0392,0.1404,0.2989,0.6202,2.056,-5.36,0.0,True
populaire,Protectors Vow,10059,0.2124751806007351,3.976,3.984,-0.085,-0.093,-0.048,0.018,0.0169,0.1479,0.303,0.598,2.106,-4.02,6e-05,True
pepite,Tacticians Crown,50,0.0010561446495712052,2.72,4.001,-0.068,-1.349,-0.846,0.0001,0.2789,0.36,0.56,0.86,1.812,-5.26,0.0,True
pepite,Bloodthirster,399,0.008428034303578217,3.885,4.014,-0.055,-0.184,0.0,0.0005,0.043,0.1429,0.3083,0.6241,2.063,-1.77,0.07633,False
populaire,Crownguard,6055,0.12789911706307297,4.01,4.018,-0.051,-0.059,-0.002,0.0065,0.0112,0.145,0.2961,0.5922,2.11,-2.04,0.04143,False
pepite,Hextech Gunblade,99,0.0020911664061509863,3.556,4.02,-0.049,-0.513,-0.083,0.0001,0.0856,0.2121,0.3939,0.6667,2.18,-2.34,0.01931,True
pepite,Steraks Gage,1008,0.0212918761353555,3.98,4.023,-0.046,-0.088,0.0,0.001,0.029,0.1389,0.3026,0.6101,2.122,-1.31,0.1903,False
pepite,Edge Of Night,134,0.00283046766085083,3.746,4.029,-0.04,-0.322,0.0,0.0001,0.0831,0.1716,0.3284,0.6642,2.05,-1.82,0.06922,False
,Jeweled Gauntlet,98,0.0020700435131595623,3.653,4.03,-0.039,-0.416,0.0,0.0001,0.0516,0.2449,0.4082,0.6327,2.186,-1.88,0.06009,False
,Quicksilver,105,0.0022179037640995313,3.743,4.036,-0.033,-0.326,0.0,0.0001,0.057,0.1714,0.3333,0.6381,2.038,-1.64,0.10185,False
,Blue Buff,70,0.0014786025093996874,3.643,4.039,-0.029,-0.426,0.0,0.0,0.0904,0.1857,0.3429,0.6714,2.077,-1.71,0.08665,False
,Morellonomicon,307,0.0064847281483672,3.961,4.042,-0.026,-0.108,0.0,0.0002,0.0346,0.1336,0.2638,0.6156,1.977,-0.95,0.34162,False
,Adaptive Helm,4151,0.08768112880740146,4.039,4.044,-0.024,-0.03,0.0,0.0021,0.0099,0.1349,0.2915,0.5909,2.101,-0.88,0.38074,False
,Titans Resolve,488,0.010307971779814963,4.016,4.051,-0.018,-0.052,0.0,0.0002,0.0255,0.1455,0.2971,0.6066,2.132,-0.54,0.59047,False
,Red Buff,40,0.0008449157196569642,3.675,4.053,-0.016,-0.394,0.0,0.0,0.0939,0.125,0.35,0.675,1.836,-1.36,0.1753,False
,Void Staff,88,0.0018588145832453213,3.898,4.054,-0.015,-0.171,0.0,0.0,0.0439,0.1136,0.25,0.625,1.889,-0.85,0.39676,False
,Component Needlessly Large Rod,91,0.0019221832622195935,3.912,4.055,-0.014,-0.156,0.0,0.0,0.0013,0.1978,0.3297,0.5824,2.162,-0.69,0.49023,False
,Giant Slayer,42,0.0008871615056398124,3.857,4.06,-0.009,-0.211,0.0,0.0,0.038,0.1429,0.3095,0.619,2.03,-0.67,0.49994,False
,Spear Of Shojin,46,0.0009716530776055089,3.957,4.063,-0.005,-0.112,0.0,0.0,0.0059,0.1739,0.3261,0.587,2.105,-0.36,0.71823,False
populaire,Sunfire Cape,7685,0.16232943263909425,4.065,4.065,-0.003,-0.004,0.0,0.0005,0.0012,0.1279,0.2769,0.5823,2.066,-0.15,0.88184,False
populaire,Dragons Claw,7667,0.1619492205652486,4.071,4.071,0.003,0.003,0.0,-0.0004,0.0005,0.1252,0.273,0.5816,2.064,0.11,0.90965,False
,Rabadons Deathcap,109,0.0023023953360652273,4.138,4.076,0.007,0.069,0.0,-0.0,-0.0306,0.1651,0.2752,0.5505,2.211,0.33,0.74474,False
,Nashors Tooth,45,0.0009505301846140848,4.356,4.082,0.013,0.287,0.0,-0.0,-0.07,0.1111,0.2222,0.5111,2.078,0.93,0.35447,False
,Strikers Flail,61,0.0012884964724768704,4.41,4.089,0.021,0.341,0.0,-0.0,-0.0565,0.0492,0.2295,0.5246,2.027,1.31,0.18896,False
,Component Sparring Gloves,43,0.0009082843986312365,4.698,4.096,0.027,0.629,0.0,-0.0,-0.1392,0.093,0.2558,0.4419,2.236,1.84,0.06521,False
,Component Tear Of The Goddess,174,0.0036753833805077945,4.241,4.095,0.027,0.173,0.0,-0.0001,-0.0293,0.1437,0.2931,0.5517,2.287,1.0,0.31963,False
populaire,Warmogs Armor,18654,0.3940264458620253,4.099,4.098,0.029,0.03,0.0,-0.0114,-0.009,0.1335,0.272,0.572,2.088,1.68,0.09219,False
,Hand Of Justice,162,0.003421908664610705,4.37,4.113,0.044,0.302,0.0,-0.0002,-0.0626,0.1173,0.2531,0.5185,2.166,1.77,0.07659,False
,Archangels Staff,147,0.0031050652697393434,4.435,4.118,0.049,0.367,0.057,-0.0002,-0.0913,0.0816,0.1565,0.4898,1.91,2.32,0.02011,True
populaire,Spirit Visage,15807,0.33388956951544085,4.142,4.137,0.069,0.073,0.035,-0.023,-0.0127,0.1227,0.2655,0.5684,2.079,3.81,0.00014,True
populaire,Gargoyle Stoneplate,26893,0.5680579612183685,4.16,4.157,0.089,0.092,0.061,-0.0504,-0.0193,0.1255,0.2623,0.5617,2.089,5.75,0.0,True
,Component Chain Vest,733,0.01548308056271387,4.591,4.296,0.228,0.522,0.357,-0.0035,-0.0995,0.1269,0.2278,0.4816,2.266,6.2,0.0,True
,Component Negatron Cloak,585,0.012356892399983102,4.692,4.307,0.238,0.624,0.445,-0.0029,-0.123,0.094,0.2085,0.4581,2.195,6.83,0.0,True
,Component Giants Belt,1056,0.022305774998943855,4.801,4.455,0.386,0.733,0.596,-0.0086,-0.1322,0.0871,0.1989,0.4489,2.237,10.54,0.0,True
