group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Vanguard,2023,0.0244291217350352,3.358,3.587,-0.28,-0.509,-0.422,0.0068,0.0918,0.2106,0.4142,0.7138,1.976,-11.43,0.0,True
populaire,Emblem Brawler,1441,0.017401069906171886,3.379,3.64,-0.227,-0.488,-0.384,0.004,0.0942,0.2255,0.4094,0.7162,1.998,-9.19,0.0,True
populaire,Emblem Defender,1608,0.01941771020758112,3.565,3.718,-0.149,-0.302,-0.203,0.0029,0.0528,0.1909,0.3632,0.6748,1.997,-6.0,0.0,True
populaire,Emblem Blossom,1220,0.014732342321672242,3.655,3.777,-0.09,-0.212,-0.09,0.0013,0.0305,0.218,0.3721,0.6525,2.159,-3.41,0.00064,True
populaire,Emblem Blackthorn,303,0.00365893419956286,3.442,3.802,-0.066,-0.425,-0.186,0.0002,0.0777,0.231,0.429,0.6997,2.121,-3.48,0.0005,True
populaire,Emblem Elderwood,906,0.01094057552740578,3.689,3.804,-0.063,-0.178,-0.039,0.0007,0.0259,0.2141,0.3554,0.6479,2.133,-2.51,0.01221,True
populaire,Emblem Flora Fatalis,308,0.003719312651700861,3.471,3.805,-0.062,-0.396,-0.181,0.0002,0.0891,0.1981,0.3506,0.711,1.921,-3.61,0.0003,True
populaire,Emblem Fae,248,0.0029947712260448493,3.528,3.823,-0.044,-0.339,-0.098,0.0001,0.0676,0.1855,0.3669,0.6895,1.932,-2.76,0.00581,True
pepite,Emblem Lunar,230,0.0027774087983480455,3.574,3.831,-0.036,-0.293,-0.047,0.0001,0.0911,0.1174,0.3609,0.713,1.9,-2.34,0.01941,True
pepite,Emblem Rapidfire,77,0.0009298281629252153,3.104,3.833,-0.034,-0.763,-0.365,0.0,0.1573,0.2338,0.4286,0.7792,1.784,-3.75,0.00018,True
populaire,Emblem Sprykin,294,0.0035502529857144582,3.694,3.841,-0.026,-0.173,0.0,0.0001,0.0379,0.1803,0.3401,0.6599,2.062,-1.44,0.1502,False
pepite,Emblem Invoker,171,0.0020649430631196337,3.608,3.843,-0.024,-0.259,0.0,0.0001,0.0623,0.1754,0.3333,0.6842,2.024,-1.67,0.0946,False
pepite,Emblem Executioner,117,0.0014128557800292233,3.556,3.847,-0.021,-0.312,0.0,0.0,0.1302,0.1453,0.3248,0.7521,1.869,-1.8,0.07156,True
pepite,Emblem Slayer,188,0.002270229800388837,3.846,3.865,-0.002,-0.021,0.0,0.0,0.0004,0.1596,0.3511,0.6223,2.191,-0.13,0.8931,False
populaire,Emblem Primal,317,0.003827993865549263,3.874,3.868,0.001,0.007,0.0,-0.0,-0.0037,0.1325,0.3028,0.6183,2.005,0.06,0.95353,False
,Emblem Spellweaver,135,0.0016302182077260268,4.059,3.882,0.014,0.192,0.0,-0.0,-0.022,0.1111,0.2444,0.6,2.025,1.1,0.27094,False
,Emblem Flora Fatalis Augment,95,0.0011471905906220187,4.432,3.898,0.031,0.564,0.143,-0.0,-0.1167,0.0947,0.2316,0.5053,2.096,2.62,0.00872,True
,Emblem Coven,198,0.0023909867046648394,4.359,3.92,0.052,0.491,0.177,-0.0001,-0.1371,0.1667,0.2778,0.4848,2.254,3.06,0.00218,True
