group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Crownguard + Protectors Vow,125,0.017241379310344827,3.168,3.48,-0.269,-0.581,-0.23,0.0046,0.1309,0.272,0.456,0.776,1.987,-3.24,0.00119,True
pepite,Crownguard + Evenshroud,60,0.008275862068965517,2.983,3.525,-0.224,-0.766,-0.242,0.0019,0.1549,0.35,0.5333,0.8,2.061,-2.87,0.00415,True
pepite,Ionic Spark + Sunfire Cape,80,0.011034482758620689,3.125,3.527,-0.222,-0.624,-0.211,0.0024,0.1049,0.225,0.475,0.75,1.873,-2.96,0.00307,True
pepite,Crownguard + Ionic Spark,45,0.006206896551724138,2.956,3.561,-0.188,-0.794,-0.273,0.0012,0.1549,0.2222,0.4889,0.8,1.776,-2.99,0.00283,True
pepite,Dragons Claw + Evenshroud,73,0.010068965517241379,3.192,3.563,-0.187,-0.557,-0.131,0.0019,0.1357,0.2329,0.4384,0.7808,1.848,-2.56,0.01042,True
pepite,Adaptive Helm + Crownguard,56,0.007724137931034483,3.107,3.57,-0.179,-0.642,-0.161,0.0014,0.1585,0.25,0.4464,0.8036,1.829,-2.61,0.00894,True
,Crownguard + Sunfire Cape,70,0.009655172413793104,3.229,3.58,-0.17,-0.521,-0.038,0.0016,0.112,0.2286,0.4571,0.7571,2.051,-2.11,0.03449,False
,Evenshroud + Warmogs Armor,163,0.022482758620689654,3.429,3.58,-0.169,-0.32,-0.029,0.0038,0.1095,0.184,0.3558,0.7546,1.867,-2.16,0.0309,False
,Ionic Spark + Protectors Vow,76,0.010482758620689656,3.263,3.582,-0.167,-0.486,-0.056,0.0018,0.0523,0.2105,0.4868,0.6974,1.901,-2.22,0.02673,False
,Bramble Vest + Evenshroud,61,0.008413793103448275,3.197,3.586,-0.164,-0.553,-0.089,0.0014,0.109,0.2459,0.4098,0.7541,1.836,-2.34,0.01938,False
,Crownguard + Steadfast Heart,86,0.01186206896551724,3.314,3.587,-0.162,-0.435,-0.027,0.0019,0.1107,0.1977,0.3837,0.7558,1.918,-2.09,0.03661,False
,Bramble Vest + Crownguard,53,0.007310344827586207,3.17,3.594,-0.155,-0.579,-0.017,0.0011,0.1096,0.283,0.4717,0.7547,2.081,-2.02,0.04337,False
,Bramble Vest + Sunfire Cape,118,0.016275862068965516,3.432,3.607,-0.142,-0.317,0.0,0.0023,0.0583,0.2119,0.3983,0.7034,1.981,-1.72,0.08474,False
,Ionic Spark + Warmogs Armor,116,0.016,3.431,3.608,-0.141,-0.318,0.0,0.0023,0.1049,0.1724,0.3793,0.75,1.899,-1.79,0.07378,False
,Adaptive Helm + Steadfast Heart,58,0.008,3.293,3.619,-0.13,-0.456,0.0,0.001,0.148,0.2069,0.3793,0.7931,1.829,-1.89,0.05877,False
