group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,5864,0.07081184866744757,3.189,3.338,-0.529,-0.678,-0.628,0.0375,0.1386,0.229,0.4354,0.7606,1.884,-26.48,0.0,True
pepite,Lux Unique Trait,14253,0.1721148156645856,3.308,3.366,-0.501,-0.56,-0.524,0.0863,0.0994,0.2408,0.4309,0.7214,2.014,-30.54,0.0,True
pepite,Eclipse,1328,0.016036516887853063,2.877,3.426,-0.441,-0.991,-0.899,0.0071,0.2026,0.2425,0.5075,0.8245,1.685,-21.18,0.0,True
pepite,Fae,2706,0.03267681829708614,3.162,3.43,-0.437,-0.705,-0.637,0.0143,0.1571,0.1914,0.4276,0.779,1.769,-20.29,0.0,True
pepite,Primal,4590,0.05542741906268491,3.405,3.527,-0.34,-0.462,-0.406,0.0188,0.1044,0.1763,0.38,0.7264,1.873,-16.2,0.0,True
pepite,Alune Unique Trait,10707,0.12929441740831532,3.476,3.528,-0.339,-0.392,-0.351,0.0438,0.0757,0.1971,0.3859,0.6977,1.986,-19.12,0.0,True
,Solar,3495,0.04220453804446269,3.378,3.535,-0.332,-0.489,-0.426,0.014,0.1117,0.1651,0.3937,0.7336,1.864,-15.13,0.0,True
,Lunar,3020,0.0364685850913526,3.387,3.557,-0.31,-0.48,-0.411,0.0113,0.0982,0.1921,0.3914,0.7202,1.902,-13.59,0.0,True
,Brawler,17997,0.21732620062552077,3.543,3.571,-0.297,-0.324,-0.29,0.0644,0.0495,0.218,0.3864,0.6714,2.085,-18.93,0.0,True
,Blossom,590,0.007124657352284117,2.776,3.581,-0.287,-1.091,-0.944,0.002,0.1967,0.3186,0.5475,0.8186,1.808,-14.59,0.0,True
,Hunter,3591,0.04336380432551231,3.458,3.587,-0.28,-0.41,-0.344,0.0122,0.0934,0.183,0.3846,0.7154,1.958,-12.25,0.0,True
,Rapidfire,2704,0.032652666916230935,3.422,3.591,-0.276,-0.445,-0.374,0.009,0.0999,0.1601,0.3817,0.7219,1.856,-12.23,0.0,True
populaire,Greenfather,25729,0.31069543901172547,3.574,3.592,-0.275,-0.293,-0.264,0.0855,0.0424,0.2224,0.3815,0.6643,2.108,-19.58,0.0,True
,Adaptor,3516,0.042458127543442296,3.482,3.606,-0.262,-0.385,-0.326,0.0111,0.1127,0.122,0.3339,0.7346,1.738,-12.76,0.0,True
populaire,Emerald,28241,0.3410295733658572,3.601,3.616,-0.252,-0.266,-0.238,0.0858,0.0429,0.2045,0.3718,0.6648,2.076,-18.66,0.0,True
,Blossom,6018,0.072671504993298,3.548,3.617,-0.251,-0.32,-0.267,0.0182,0.0648,0.1815,0.373,0.6868,2.009,-11.9,0.0,True
,Lunar,1006,0.0121481445701658,3.235,3.628,-0.239,-0.633,-0.515,0.0029,0.1305,0.2237,0.4304,0.7525,1.896,-10.51,0.0,True
populaire,Inferno,42034,0.5075895714337467,3.62,3.63,-0.237,-0.247,-0.223,0.1205,0.0477,0.1852,0.3558,0.6696,2.03,-20.21,0.0,True
,Lunar,490,0.005917088309524097,2.878,3.641,-0.226,-0.99,-0.837,0.0013,0.2046,0.2633,0.5041,0.8265,1.721,-12.68,0.0,True
