group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Ashe,8213,0.1922158771765587,3.282,3.337,-0.533,-0.589,-0.542,0.1025,0.1141,0.2267,0.427,0.7349,1.956,-24.75,0.0,True
pepite,Lux Base,7861,0.18397771952817824,3.284,3.341,-0.529,-0.587,-0.538,0.0974,0.1044,0.2479,0.4386,0.7252,2.014,-23.64,0.0,True
pepite,Alune,5687,0.1330977345066467,3.442,3.498,-0.373,-0.429,-0.373,0.0496,0.0822,0.2078,0.3988,0.703,2.005,-15.1,0.0,True
populaire,Kennen,22623,0.5294654559071335,3.554,3.566,-0.305,-0.316,-0.283,0.1614,0.0594,0.1994,0.3717,0.6803,2.027,-18.85,0.0,True
pepite,Rengar,778,0.018208200711477253,3.288,3.593,-0.278,-0.583,-0.451,0.0051,0.1349,0.1889,0.401,0.7558,1.857,-8.66,0.0,True
populaire,Ivern,12649,0.2960353866317169,3.586,3.604,-0.267,-0.285,-0.242,0.0789,0.0372,0.2311,0.3866,0.6581,2.142,-13.23,0.0,True
pepite,Sivir,8910,0.20852836547463022,3.582,3.607,-0.263,-0.289,-0.243,0.0549,0.0614,0.1793,0.3634,0.6823,2.005,-12.3,0.0,True
populaire,Gnar Small,9926,0.23230668414154654,3.596,3.618,-0.253,-0.275,-0.229,0.0587,0.0393,0.2187,0.3775,0.6601,2.107,-11.74,0.0,True
pepite,Kayle,1939,0.04538007863695937,3.51,3.62,-0.251,-0.361,-0.274,0.0114,0.0862,0.1558,0.3703,0.7071,1.913,-8.1,0.0,True
,Tristana,4910,0.11491293765212507,3.581,3.624,-0.247,-0.29,-0.232,0.0284,0.0733,0.1582,0.3538,0.6941,1.951,-9.8,0.0,True
populaire,Maokai,17514,0.4098951507208388,3.622,3.634,-0.237,-0.249,-0.212,0.0972,0.0426,0.2022,0.3643,0.6635,2.074,-13.37,0.0,True
,Kha Zix,1455,0.03405261187043625,3.516,3.647,-0.223,-0.354,-0.25,0.0076,0.0761,0.1952,0.3698,0.6969,1.998,-6.65,0.0,True
,Leona,1853,0.04336734693877551,3.549,3.651,-0.22,-0.321,-0.23,0.0095,0.077,0.157,0.3681,0.6978,1.955,-6.91,0.0,True
populaire,Taric,13263,0.31040535480247144,3.645,3.658,-0.212,-0.226,-0.185,0.0659,0.0348,0.2057,0.3652,0.6557,2.097,-10.88,0.0,True
,Sejuani,3972,0.09296011982774761,3.621,3.665,-0.205,-0.249,-0.185,0.0191,0.0599,0.1521,0.3507,0.6808,1.962,-7.63,0.0,True
populaire,Vi,14059,0.32903482493915,3.723,3.731,-0.14,-0.148,-0.11,0.0459,0.0352,0.1546,0.3273,0.656,1.989,-7.58,0.0,True
,Ahri,5677,0.13286369593709044,3.73,3.748,-0.122,-0.141,-0.083,0.0162,0.024,0.1772,0.3474,0.6449,2.081,-4.79,0.0,True
,Rakan,6820,0.1596143044373713,3.74,3.754,-0.116,-0.131,-0.079,0.0186,0.034,0.1587,0.3346,0.6548,2.041,-4.91,0.0,True
,Kog Maw A D,4187,0.09799194907320727,3.731,3.755,-0.116,-0.14,-0.078,0.0114,0.0493,0.1294,0.3086,0.6702,1.915,-4.46,1e-05,True
,Caitlyn,1805,0.04224396180490545,3.707,3.76,-0.111,-0.164,-0.067,0.0047,0.0484,0.1463,0.3568,0.6693,2.057,-3.31,0.00093,True
,Aphelios,5812,0.13602321662609998,3.76,3.775,-0.096,-0.11,-0.055,0.0131,0.0302,0.1475,0.3178,0.6511,1.989,-3.94,8e-05,True
,Lillia,5702,0.1334487923609811,3.764,3.778,-0.093,-0.107,-0.051,0.0124,0.0242,0.1566,0.3253,0.645,2.018,-3.74,0.00019,True
,Sett,6263,0.14657835611308745,3.765,3.778,-0.093,-0.106,-0.05,0.0136,0.0159,0.1766,0.343,0.6368,2.098,-3.73,0.00019,True
populaire,Yorick,9389,0.2197388129563752,3.771,3.779,-0.091,-0.1,-0.054,0.0201,0.0204,0.1572,0.3273,0.6413,2.035,-4.28,2e-05,True
,Scuttlecrab,4346,0.10171316232915184,3.772,3.788,-0.082,-0.099,-0.037,0.0084,0.032,0.1339,0.3102,0.6528,1.961,-3.14,0.00168,True
,Nidalee A P,6767,0.1583739000187231,3.785,3.795,-0.076,-0.085,-0.036,0.012,0.035,0.1256,0.299,0.6558,1.924,-3.36,0.00078,True
