group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Giant Slayer + Guinsoos Rageblade + Krakens Fury,7768,0.0775210817823462,3.389,3.422,-0.13,-0.163,-0.118,0.0101,0.0236,0.2013,0.4047,0.7127,1.952,-7.1,0.0,True
pepite,Emblem Elderwood + Guinsoos Rageblade + Krakens Fury,191,0.0019060925103537747,2.754,3.483,-0.069,-0.798,-0.512,0.0001,0.0962,0.3874,0.6073,0.7853,2.018,-5.46,0.0,True
pepite,Gold Collector + Guinsoos Rageblade + Infinity Edge,295,0.0029439648720123745,3.034,3.486,-0.067,-0.518,-0.303,0.0002,0.0872,0.2475,0.5085,0.7763,1.886,-4.71,0.0,True
populaire,Deathblade + Giant Slayer + Guinsoos Rageblade,1696,0.016925303128586398,3.422,3.492,-0.06,-0.131,-0.039,0.001,0.0255,0.1775,0.3809,0.7146,1.904,-2.8,0.00509,True
pepite,Deathblade + Infinity Edge + Last Whisper,700,0.006985679357317499,3.334,3.496,-0.056,-0.218,-0.075,0.0004,0.0466,0.1971,0.4157,0.7357,1.921,-2.99,0.00279,True
pepite,Deathblade + Giant Slayer + Red Buff,885,0.008831894616037124,3.382,3.5,-0.052,-0.17,-0.048,0.0005,0.0408,0.1672,0.3887,0.7299,1.849,-2.73,0.00641,True
pepite,Deathblade + Giant Slayer + Infinity Edge,354,0.0035327578464148498,3.232,3.504,-0.048,-0.321,-0.128,0.0002,0.0651,0.2034,0.4209,0.7542,1.845,-3.26,0.0011,True
pepite,Infinity Edge + Last Whisper + Strikers Flail,352,0.0035127987625367995,3.23,3.504,-0.048,-0.322,-0.12,0.0002,0.0723,0.2273,0.4318,0.7614,1.928,-3.13,0.00175,True
,Giant Slayer Radiant + Guinsoos Rageblade + Krakens Fury,192,0.0019160720522927999,3.0,3.504,-0.048,-0.552,-0.293,0.0001,0.0974,0.2604,0.4792,0.7865,1.829,-4.18,3e-05,True
,Giant Slayer + Infinity Edge + Krakens Fury,772,0.007704206376927299,3.386,3.506,-0.046,-0.166,-0.028,0.0004,0.0259,0.1982,0.4067,0.715,1.948,-2.36,0.01819,True
,Giant Slayer + Krakens Fury + Last Whisper,668,0.006666334015268699,3.374,3.508,-0.044,-0.178,-0.041,0.0003,0.0519,0.1572,0.3757,0.741,1.794,-2.55,0.01067,True
,Navori Flickerblade + Giant Slayer + Krakens Fury,163,0.0016266653360610748,2.963,3.508,-0.044,-0.589,-0.319,0.0001,0.0839,0.2883,0.4601,0.773,1.758,-4.27,2e-05,True
,Giant Slayer + Krakens Fury + Red Buff,295,0.0029439648720123745,3.224,3.51,-0.042,-0.328,-0.12,0.0001,0.077,0.1729,0.4407,0.7661,1.824,-3.09,0.00201,True
,Emblem Fae + Guinsoos Rageblade + Infinity Edge,192,0.0019160720522927999,3.073,3.51,-0.042,-0.479,-0.212,0.0001,0.0765,0.2448,0.5052,0.7656,1.886,-3.52,0.00044,True
