group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Elderwood,562,0.00639399283235679,2.938,3.386,-0.143,-0.592,-0.428,0.0009,0.0862,0.3167,0.5267,0.7794,1.974,-7.08,0.0,True
pepite,Gold Collector,913,0.010387394049718415,3.267,3.44,-0.09,-0.262,-0.134,0.0009,0.0363,0.2366,0.4294,0.7295,1.961,-4.02,6e-05,True
pepite,Giant Slayer Radiant,456,0.0051880084191364695,3.096,3.44,-0.089,-0.433,-0.266,0.0005,0.0941,0.2325,0.4474,0.7873,1.81,-5.09,0.0,True
pepite,Emblem Hunter,687,0.00781614426304113,3.255,3.452,-0.077,-0.275,-0.133,0.0006,0.055,0.2125,0.4163,0.7482,1.884,-3.8,0.00014,True
pepite,Krakens Fury Radiant,737,0.008385004835314864,3.285,3.457,-0.072,-0.244,-0.105,0.0006,0.0381,0.1927,0.4355,0.7313,1.916,-3.45,0.00057,True
populaire,Red Buff,12024,0.13679959042038797,3.456,3.465,-0.064,-0.074,-0.037,0.0088,0.0218,0.1712,0.3736,0.715,1.905,-3.96,7e-05,True
pepite,Guinsoos Rageblade Radiant,688,0.007827521474486603,3.327,3.472,-0.057,-0.202,-0.059,0.0004,0.0379,0.2035,0.4055,0.7311,1.904,-2.77,0.00553,True
populaire,Giant Slayer,25441,0.2894476363843222,3.469,3.473,-0.056,-0.06,-0.033,0.0163,0.0097,0.1813,0.3822,0.7029,1.948,-4.32,2e-05,True
,Emblem Fae,578,0.006576028215484385,3.329,3.48,-0.05,-0.201,-0.033,0.0003,0.0161,0.2405,0.4377,0.7093,2.046,-2.35,0.01882,True
,Deathblade Radiant,516,0.0058706411058649524,3.328,3.483,-0.046,-0.202,-0.042,0.0003,0.0471,0.1957,0.3837,0.7403,1.85,-2.47,0.01355,True
,Infinity Edge Radiant,233,0.0026508902667956085,3.24,3.495,-0.034,-0.289,-0.048,0.0001,0.0407,0.1974,0.4378,0.7339,1.877,-2.35,0.01895,True
populaire,Krakens Fury,39313,0.44727231355594743,3.5,3.501,-0.028,-0.029,-0.006,0.0126,0.0055,0.1791,0.375,0.6987,1.959,-2.47,0.01365,True
populaire,Infinity Edge,30433,0.34624267592013197,3.502,3.503,-0.026,-0.028,-0.002,0.0091,0.0062,0.1768,0.3726,0.6994,1.947,-2.13,0.03283,True
populaire,Deathblade,25976,0.29553444450765115,3.509,3.51,-0.019,-0.02,0.0,0.0056,0.0095,0.1662,0.3637,0.7027,1.921,-1.49,0.13519,False
populaire,Navori Flickerblade,2217,0.025223277774617442,3.498,3.512,-0.017,-0.031,0.0,0.0004,0.0037,0.1651,0.3766,0.6969,1.92,-0.75,0.45576,False
,Titans Resolve,159,0.0018089766198304796,3.365,3.516,-0.014,-0.164,0.0,0.0,0.0426,0.195,0.3774,0.7358,1.848,-1.12,0.26223,False
,Red Buff Radiant,213,0.0024233460378861142,3.455,3.521,-0.008,-0.074,0.0,0.0,0.0298,0.1831,0.3897,0.723,1.987,-0.54,0.58801,False
,Emblem Executioner,618,0.007031116673303374,3.502,3.522,-0.007,-0.028,0.0,0.0001,-0.0087,0.2201,0.4175,0.6845,2.126,-0.32,0.74746,False
,Morellonomicon,57,0.0006485010523920587,3.298,3.522,-0.007,-0.231,0.0,0.0,0.0612,0.2105,0.386,0.7544,1.91,-0.91,0.36137,False
,Emblem Primal,150,0.0017065817168212072,3.46,3.524,-0.005,-0.069,0.0,0.0,0.0601,0.1467,0.3667,0.7533,1.85,-0.46,0.64699,False
,Strikers Flail Radiant,64,0.0007281415325103817,3.406,3.525,-0.004,-0.123,0.0,0.0,-0.0213,0.1875,0.3438,0.6719,1.693,-0.58,0.56134,False
,Last Whisper Radiant,146,0.0016610728710393084,3.514,3.528,-0.001,-0.016,0.0,0.0,-0.0083,0.1986,0.3973,0.6849,2.062,-0.09,0.9275,False
populaire,Strikers Flail,4399,0.05004835314864327,3.537,3.535,0.006,0.008,0.0,-0.0003,-0.0005,0.1771,0.3667,0.6927,1.969,0.25,0.80004,False
,Quicksilver,1052,0.0119688264406394,3.545,3.535,0.006,0.015,0.0,-0.0001,-0.0002,0.1816,0.385,0.693,2.019,0.25,0.80512,False
,Infinity Force,128,0.0014562830650207634,3.633,3.536,0.007,0.104,0.0,-0.0,0.0099,0.1562,0.3281,0.7031,1.92,0.61,0.54189,False
,Emblem Slayer,423,0.004812560441435804,3.598,3.543,0.013,0.069,0.0,-0.0001,-0.0053,0.1584,0.3641,0.6879,1.964,0.72,0.47182,False
,Hand Of Justice,595,0.006769440810057455,3.595,3.546,0.017,0.066,0.0,-0.0001,-0.0159,0.1563,0.363,0.6773,1.966,0.81,0.41635,False
,Wits End,110,0.0012514932590022186,3.818,3.546,0.017,0.289,0.0,-0.0,-0.1205,0.1727,0.3545,0.5727,2.055,1.47,0.14045,False
,Edge Of Night,131,0.0014904146993571876,3.786,3.547,0.018,0.257,0.0,-0.0,-0.0672,0.1832,0.3282,0.626,2.104,1.4,0.16237,False
,Titanic Hydra,115,0.0013083793162295921,3.817,3.547,0.018,0.288,0.0,-0.0,-0.0845,0.1652,0.3304,0.6087,2.033,1.52,0.12869,False
populaire,Guinsoos Rageblade,57468,0.6538255873485409,3.551,3.55,0.021,0.021,0.001,-0.0135,-0.0056,0.1737,0.3645,0.6876,1.967,2.02,0.04297,True
populaire,Last Whisper,19819,0.22548495363786336,3.553,3.551,0.022,0.024,0.0,-0.0049,-0.0063,0.1738,0.3669,0.6869,1.975,1.52,0.12886,False
,Fishbones,1023,0.011638887308720633,3.589,3.551,0.022,0.06,0.0,-0.0003,-0.0119,0.175,0.35,0.6813,1.989,0.96,0.3357,False
,Bloodthirster,114,0.0012970021047841174,4.0,3.558,0.029,0.471,0.135,-0.0,-0.0879,0.1228,0.2281,0.6053,1.826,2.75,0.00594,True
,Mittens,188,0.002138915751749246,3.84,3.559,0.03,0.311,0.017,-0.0001,-0.0709,0.1702,0.3138,0.6223,2.059,2.07,0.03845,True
,Tacticians Crown,279,0.0031742419932874453,3.756,3.56,0.031,0.227,0.0,-0.0001,-0.0265,0.1362,0.319,0.6667,1.985,1.91,0.05647,True
,Statikk Shiv,164,0.0018658626770578532,3.902,3.561,0.032,0.373,0.09,-0.0001,-0.0834,0.0854,0.2683,0.6098,1.845,2.59,0.00967,True
,Gamblers Blade,698,0.00794129358894135,3.693,3.576,0.047,0.164,0.013,-0.0004,-0.0227,0.1576,0.3467,0.6705,2.028,2.13,0.03309,True
,Rapid Fire Cannon,422,0.004801183229990329,3.841,3.59,0.06,0.312,0.131,-0.0003,-0.0534,0.1232,0.2773,0.6398,1.897,3.37,0.00075,True
