group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Gold Collector,1287,0.012336685102997421,3.239,3.431,-0.118,-0.31,-0.204,0.0015,0.0529,0.2246,0.4398,0.742,1.926,-5.74,0.0,True
,Ludens Tempest,55,0.0005272087650853599,3.655,3.552,0.003,0.105,0.0,-0.0,0.0563,0.1273,0.3273,0.7455,1.928,0.41,0.68544,False
,Artifact Talisman Of Ascension,88,0.0008435340241365758,3.682,3.555,0.005,0.133,0.0,-0.0,0.0041,0.1364,0.3182,0.6932,1.94,0.64,0.52151,False
,Hellfire Hatchet,64,0.000613479290281146,3.734,3.555,0.006,0.185,0.0,-0.0,-0.0329,0.1719,0.3125,0.6562,1.946,0.76,0.4468,False
populaire,Infinity Force,283,0.0027127287367119425,3.636,3.56,0.01,0.087,0.0,-0.0,-0.0248,0.1802,0.3392,0.6643,1.969,0.74,0.45888,False
populaire,Fishbones,1570,0.015049413839709364,3.584,3.564,0.015,0.035,0.0,-0.0002,-0.0082,0.1771,0.3516,0.6809,1.987,0.69,0.49025,False
populaire,Navori Flickerblade,3201,0.030683550127967946,3.577,3.566,0.017,0.028,0.0,-0.0005,-0.0096,0.1643,0.3571,0.6795,1.943,0.8,0.42552,False
,Manazane,40,0.00038342455642571626,4.975,3.576,0.027,1.426,0.865,-0.0,-0.2891,0.05,0.1,0.4,1.81,4.98,0.0,True
populaire,Wits End,251,0.0024059890915713697,3.861,3.583,0.033,0.311,0.064,-0.0001,-0.0915,0.1474,0.3108,0.5976,1.996,2.47,0.01358,True
populaire,Titanic Hydra,318,0.0030482252235844443,3.943,3.601,0.052,0.394,0.16,-0.0002,-0.0759,0.1541,0.305,0.6132,2.132,3.29,0.00099,True
populaire,Mittens,371,0.0035562627608485184,3.914,3.604,0.055,0.365,0.161,-0.0002,-0.0934,0.1509,0.2911,0.5957,2.001,3.5,0.00046,True
populaire,Statikk Shiv,310,0.0029715403122993014,4.016,3.61,0.06,0.467,0.251,-0.0002,-0.1085,0.0903,0.2613,0.5806,1.934,4.25,2e-05,True
populaire,Rapid Fire Cannon,750,0.00718921043298218,3.853,3.63,0.08,0.304,0.165,-0.0006,-0.0691,0.136,0.2853,0.62,1.942,4.27,2e-05,True
populaire,Gamblers Blade,1149,0.0110138703833287,3.805,3.64,0.091,0.256,0.138,-0.001,-0.0486,0.1419,0.3211,0.6406,2.02,4.27,2e-05,True
