group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Red Buff,13229,0.15050913021218498,3.451,3.46,-0.069,-0.079,-0.044,0.0105,0.0224,0.174,0.3761,0.7156,1.913,-4.4,1e-05,True
populaire,Giant Slayer,26719,0.30398771261163887,3.479,3.482,-0.048,-0.051,-0.024,0.0145,0.0078,0.181,0.3808,0.701,1.954,-3.71,0.00021,True
pepite,Void Staff,189,0.002150292963194721,3.212,3.498,-0.031,-0.318,-0.03,0.0001,0.0422,0.2381,0.4656,0.7354,2.013,-2.17,0.03022,True
pepite,Morellonomicon,251,0.0028556800728141533,3.311,3.502,-0.027,-0.218,0.0,0.0001,0.0199,0.255,0.4622,0.7131,2.137,-1.62,0.10564,False
populaire,Infinity Edge,31968,0.36370669548893564,3.502,3.504,-0.026,-0.027,-0.002,0.0093,0.0057,0.1776,0.3734,0.6989,1.951,-2.11,0.03481,True
populaire,Krakens Fury,40619,0.4621309517037374,3.504,3.505,-0.024,-0.025,-0.002,0.011,0.0044,0.179,0.3748,0.6976,1.963,-2.11,0.03448,True
populaire,Deathblade,27316,0.3107799078445873,3.507,3.509,-0.021,-0.022,0.0,0.0064,0.0094,0.1676,0.3651,0.7026,1.926,-1.63,0.10282,False
pepite,Titans Resolve,395,0.004493998520962512,3.438,3.512,-0.017,-0.091,0.0,0.0001,0.0486,0.1772,0.3646,0.7418,1.882,-0.96,0.33639,False
pepite,Tacticians Cape,43,0.0004892200921554127,3.093,3.519,-0.01,-0.436,0.0,0.0,0.0975,0.3488,0.4186,0.7907,2.009,-1.42,0.15469,False
pepite,Steraks Gage,124,0.0014107742192388645,3.395,3.52,-0.009,-0.134,0.0,0.0,0.0245,0.2258,0.4113,0.7177,2.067,-0.72,0.47034,False
pepite,Edge Of Night,379,0.0043119631378349165,3.491,3.522,-0.007,-0.038,0.0,0.0,-0.0125,0.1953,0.3984,0.6807,2.041,-0.37,0.71421,False
,Nashors Tooth,240,0.0027305307469139314,3.479,3.523,-0.006,-0.05,0.0,0.0,0.0151,0.1792,0.3833,0.7083,1.96,-0.4,0.69269,False
,Component Tear Of The Goddess,88,0.001001194607201775,3.443,3.525,-0.004,-0.086,0.0,0.0,-0.0,0.2159,0.3864,0.6932,1.976,-0.41,0.68309,False
populaire,Quicksilver,1444,0.016428693327265487,3.53,3.529,0.0,0.001,0.0,-0.0,-0.0007,0.1849,0.3871,0.6925,2.018,0.01,0.99188,False
,Tacticians Crown,503,0.0057227373570737814,3.533,3.53,0.001,0.004,0.0,-0.0,0.0086,0.1769,0.3897,0.7018,2.04,0.04,0.96878,False
,Adaptive Helm,95,0.0010808350873200978,3.653,3.536,0.006,0.123,0.0,-0.0,0.0226,0.1474,0.3368,0.7158,1.951,0.62,0.53777,False
populaire,Strikers Flail,5187,0.05901359576767734,3.538,3.536,0.007,0.009,0.0,-0.0004,-0.0019,0.1774,0.3655,0.6913,1.971,0.33,0.74316,False
,Rabadons Deathcap,42,0.000477842880709938,3.857,3.537,0.008,0.328,0.0,-0.0,-0.0503,0.1429,0.2381,0.6429,1.934,1.1,0.27204,False
,Hand Of Justice,978,0.01112691279367427,3.553,3.538,0.009,0.024,0.0,-0.0001,-0.0122,0.1738,0.3691,0.681,1.984,0.38,0.70748,False
populaire,Last Whisper,21011,0.23904658968086923,3.546,3.545,0.015,0.017,0.0,-0.0037,-0.0049,0.1765,0.3697,0.6883,1.983,1.09,0.27558,False
,Archangels Staff,44,0.0005005973036008875,4.659,3.557,0.028,1.13,0.546,-0.0,-0.1932,0.0682,0.1591,0.5,1.976,3.79,0.00015,True
,Blue Buff,283,0.003219750839069344,3.731,3.557,0.028,0.202,0.0,-0.0001,-0.0395,0.1413,0.3004,0.6537,1.928,1.76,0.07811,False
populaire,Guinsoos Rageblade,59522,0.6771943796575459,3.563,3.562,0.032,0.033,0.013,-0.0219,-0.0079,0.1727,0.3624,0.6853,1.971,3.18,0.00145,True
,Component Negatron Cloak,74,0.0008419136469651288,4.743,3.578,0.049,1.214,0.721,-0.0,-0.2608,0.1081,0.1892,0.4324,2.163,4.83,0.0,True
,Bloodthirster,300,0.0034131634336424144,3.87,3.579,0.05,0.341,0.119,-0.0002,-0.0732,0.13,0.3033,0.62,1.956,3.01,0.00259,True
,Component Needlessly Large Rod,153,0.0017407133511576313,4.281,3.589,0.06,0.752,0.401,-0.0001,-0.1899,0.1503,0.2614,0.5033,2.215,4.19,3e-05,True
,Jeweled Gauntlet,150,0.0017065817168212072,4.353,3.594,0.065,0.824,0.48,-0.0001,-0.1532,0.1067,0.24,0.54,2.148,4.69,0.0,True
populaire,Hextech Gunblade,3554,0.04043460947721714,3.631,3.598,0.068,0.102,0.035,-0.0028,-0.0241,0.1615,0.354,0.6691,1.992,3.0,0.0027,True
,Component Sparring Gloves,380,0.004323340349280391,4.121,3.634,0.105,0.592,0.373,-0.0005,-0.1221,0.1237,0.3026,0.5711,2.172,5.3,0.0,True
,Spear Of Shojin,1428,0.01624665794413789,3.94,3.714,0.184,0.411,0.303,-0.003,-0.0917,0.1464,0.3074,0.6015,2.079,7.42,0.0,True
,Component B F Sword,813,0.009249672905170942,4.268,3.763,0.234,0.739,0.583,-0.0022,-0.1471,0.1439,0.2694,0.5461,2.261,9.28,0.0,True
,Component Recurve Bow,705,0.008020934069059673,4.47,3.798,0.269,0.94,0.768,-0.0022,-0.1854,0.1333,0.2638,0.5078,2.322,10.72,0.0,True
