group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Fae,1199,0.014087320236864367,3.142,3.415,-0.192,-0.466,-0.354,0.0027,0.0742,0.2594,0.4654,0.7548,1.966,-8.14,0.0,True
populaire,Emblem Elderwood,578,0.006791051790581822,2.972,3.446,-0.161,-0.635,-0.478,0.0011,0.0962,0.2907,0.5242,0.7768,1.925,-7.9,0.0,True
populaire,Emblem Hunter,1206,0.014169564808722624,3.313,3.486,-0.122,-0.294,-0.185,0.0017,0.0624,0.2056,0.4129,0.743,1.917,-5.29,0.0,True
populaire,Emblem Slayer,745,0.008753172290628818,3.436,3.555,-0.052,-0.171,-0.033,0.0005,0.0509,0.1705,0.3772,0.7315,1.913,-2.43,0.01502,True
populaire,Emblem Executioner,1036,0.012172196635022088,3.498,3.566,-0.041,-0.109,0.0,0.0005,0.0173,0.1882,0.3745,0.6979,1.975,-1.77,0.07644,False
pepite,Emblem Vanguard,103,0.001210170128771501,3.476,3.6,-0.008,-0.132,0.0,0.0,0.0378,0.1553,0.4078,0.7184,2.023,-0.66,0.5091,False
,Emblem Brawler,66,0.000775448820377855,3.803,3.615,0.007,0.196,0.0,-0.0,-0.0442,0.1515,0.303,0.6364,2.112,0.75,0.45201,False
,Emblem Spellweaver,48,0.0005639627784566219,4.021,3.619,0.011,0.413,0.0,-0.0,-0.1181,0.125,0.3542,0.5625,2.146,1.33,0.18203,False
populaire,Emblem Blossom,135,0.001586145314409249,3.785,3.62,0.013,0.178,0.0,-0.0,-0.0436,0.1704,0.3111,0.637,2.042,1.01,0.31212,False
,Emblem Defender,74,0.000869442616787292,3.986,3.623,0.016,0.379,0.0,-0.0,-0.113,0.0676,0.2838,0.5676,1.827,1.78,0.07444,False
,Emblem Flora Fatalis,90,0.001057430209606166,4.011,3.628,0.02,0.404,0.0,-0.0,-0.1028,0.1556,0.3333,0.5778,2.253,1.7,0.08935,False
,Emblem Invoker,93,0.0010926778832597048,4.011,3.628,0.021,0.403,0.0,-0.0,-0.0462,0.129,0.3011,0.6344,2.143,1.81,0.06962,False
populaire,Emblem Blackthorn,130,0.0015273991916533508,3.915,3.629,0.022,0.308,0.0,-0.0,-0.0652,0.1615,0.2923,0.6154,2.023,1.73,0.08286,False
populaire,Emblem Sprykin,106,0.00124541780242504,4.047,3.633,0.026,0.44,0.07,-0.0,-0.0391,0.0755,0.2547,0.6415,1.94,2.33,0.01966,True
populaire,Emblem Primal,396,0.004652692922267131,3.846,3.652,0.045,0.239,0.042,-0.0002,-0.0493,0.1212,0.3005,0.6313,1.99,2.38,0.0173,True
populaire,Emblem Inferno,1472,0.017294858539336405,3.955,3.769,0.161,0.348,0.242,-0.0028,-0.0862,0.1447,0.2935,0.5944,2.058,6.43,0.0,True
