group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Deathblade + Giant Slayer,2259,0.031356273336757216,3.42,3.522,-0.16,-0.262,-0.182,0.005,0.0555,0.1744,0.3829,0.726,1.9,-6.44,0.0,True
pepite,Emblem Fae + Guinsoos Rageblade,593,0.008231195258387352,3.143,3.524,-0.157,-0.538,-0.384,0.0013,0.0867,0.2428,0.4519,0.7572,1.905,-6.85,0.0,True
pepite,Deathblade + Red Buff,1279,0.017753286231833768,3.357,3.529,-0.153,-0.325,-0.219,0.0027,0.0653,0.1822,0.4011,0.7357,1.907,-6.04,0.0,True
pepite,Deathblade + Infinity Edge,5022,0.06970836861318934,3.503,3.542,-0.139,-0.179,-0.124,0.0097,0.0331,0.1681,0.3654,0.7035,1.921,-6.37,0.0,True
pepite,Infinity Edge + Strikers Flail,2542,0.03528448287828102,3.471,3.547,-0.134,-0.21,-0.135,0.0047,0.0451,0.1692,0.3655,0.7156,1.9,-5.48,0.0,True
pepite,Infinity Edge + Red Buff,1906,0.026456421859167443,3.46,3.555,-0.126,-0.221,-0.133,0.0033,0.0436,0.1894,0.3662,0.7141,1.936,-4.92,0.0,True
,Giant Slayer + Red Buff,1010,0.014019405077523146,3.375,3.555,-0.126,-0.306,-0.185,0.0018,0.0563,0.1911,0.402,0.7267,1.941,-4.97,0.0,True
,Giant Slayer + Krakens Fury,4871,0.0676123981511042,3.534,3.568,-0.114,-0.147,-0.091,0.0077,0.0245,0.1599,0.3597,0.6949,1.919,-5.17,0.0,True
,Emblem Hunter + Guinsoos Rageblade,465,0.00645447857529531,3.224,3.57,-0.112,-0.458,-0.291,0.0007,0.0779,0.2108,0.4108,0.7484,1.823,-5.39,0.0,True
,Last Whisper + Red Buff,1613,0.022389406326777064,3.497,3.584,-0.098,-0.185,-0.09,0.0022,0.0419,0.1668,0.3664,0.7123,1.919,-3.82,0.00013,True
,Giant Slayer + Last Whisper,3127,0.043404633343975124,3.54,3.585,-0.097,-0.141,-0.072,0.0042,0.0203,0.1653,0.3623,0.6908,1.943,-3.98,7e-05,True
,Emblem Fae + Infinity Edge,252,0.003497910969837458,3.04,3.586,-0.096,-0.642,-0.42,0.0003,0.1391,0.2302,0.4484,0.8095,1.79,-5.68,0.0,True
,Krakens Fury + Red Buff,1893,0.026275974071040906,3.523,3.591,-0.09,-0.158,-0.072,0.0024,0.0279,0.1601,0.3566,0.6984,1.888,-3.6,0.00032,True
populaire,Giant Slayer + Infinity Edge,5480,0.07606568299487806,3.572,3.595,-0.087,-0.11,-0.056,0.0066,0.0164,0.1609,0.3575,0.6869,1.941,-4.03,6e-05,True
,Deathblade + Strikers Flail,720,0.009994031342392738,3.451,3.605,-0.077,-0.23,-0.089,0.0008,0.0421,0.1736,0.3764,0.7125,1.921,-3.2,0.0014,True
,Emblem Hunter + Krakens Fury,281,0.003900448343350499,3.21,3.604,-0.077,-0.471,-0.255,0.0003,0.0804,0.2171,0.4057,0.7509,1.849,-4.26,2e-05,True
