group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lunar,85,0.039756782039289056,2.035,2.349,-0.624,-0.939,-0.666,0.0248,0.1545,0.4588,0.6941,0.9529,1.231,-6.76,0.0,True
pepite,Rival,56,0.026192703461178673,2.036,2.442,-0.532,-0.938,-0.636,0.0139,0.1659,0.375,0.75,0.9643,1.117,-6.09,0.0,True
pepite,Lux Unique Trait,337,0.15762394761459309,2.377,2.444,-0.53,-0.597,-0.41,0.0835,0.0859,0.4036,0.6409,0.8843,1.604,-6.26,0.0,True
pepite,Eclipse,216,0.10102899906454631,2.343,2.447,-0.527,-0.631,-0.422,0.0532,0.109,0.3565,0.6435,0.9074,1.467,-5.91,0.0,True
populaire,Alune Unique Trait,995,0.4653882132834425,2.554,2.571,-0.403,-0.42,-0.298,0.1874,0.082,0.3106,0.5779,0.8804,1.549,-6.77,0.0,True
pepite,Elderwood,118,0.05519176800748363,2.449,2.589,-0.385,-0.525,-0.219,0.0213,0.0745,0.3814,0.6102,0.8729,1.645,-3.36,0.00078,True
pepite,Rapidfire,43,0.020112254443405052,2.233,2.602,-0.372,-0.741,-0.364,0.0075,0.1318,0.3488,0.6744,0.9302,1.236,-3.86,0.00012,True
,Solar,312,0.14593077642656688,2.551,2.602,-0.372,-0.423,-0.23,0.0542,0.0766,0.3205,0.5865,0.875,1.602,-4.3,2e-05,True
,Rapidfire,69,0.032273152478952294,2.391,2.614,-0.36,-0.583,-0.219,0.0116,0.1146,0.3333,0.6667,0.913,1.506,-3.15,0.00166,True
,Greenfather,413,0.1931711880261927,2.584,2.62,-0.354,-0.39,-0.217,0.0683,0.066,0.3196,0.5908,0.8644,1.623,-4.41,1e-05,True
,Spellweaver,566,0.264733395696913,2.622,2.647,-0.327,-0.352,-0.2,0.0866,0.0602,0.3057,0.5671,0.8587,1.608,-4.54,1e-05,True
,Fae,71,0.03320860617399439,2.479,2.665,-0.309,-0.495,-0.111,0.0103,0.0889,0.3944,0.5915,0.8873,1.617,-2.53,0.01142,True
,Juggernaut,437,0.20439663236669786,2.673,2.7,-0.274,-0.301,-0.127,0.056,0.0506,0.3204,0.5492,0.849,1.676,-3.39,0.00069,True
,Lunar,581,0.2717492984097287,2.687,2.706,-0.267,-0.287,-0.137,0.0727,0.057,0.2823,0.5439,0.8554,1.605,-3.74,0.00018,True
populaire,Emerald,758,0.3545369504209542,2.711,2.725,-0.249,-0.263,-0.127,0.0882,0.0512,0.2678,0.5369,0.8496,1.586,-3.81,0.00014,True
