group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Lux Base,13990,0.14638178546017663,2.804,2.895,-0.664,-0.755,-0.723,0.0972,0.1343,0.2907,0.5351,0.8224,1.771,-46.43,0.0,True
pepite,Rengar,4971,0.05201314192441301,2.684,2.927,-0.633,-0.876,-0.827,0.0329,0.1588,0.2985,0.5671,0.8469,1.696,-35.21,0.0,True
populaire,Alune,41493,0.43415435483195913,3.047,3.069,-0.49,-0.513,-0.491,0.2128,0.0966,0.2364,0.468,0.7848,1.81,-46.93,0.0,True
pepite,Gnar Small,21420,0.22412422048298664,3.031,3.074,-0.486,-0.529,-0.501,0.1088,0.0978,0.2507,0.4734,0.7859,1.827,-37.76,0.0,True
pepite,Leona,11648,0.12187670028878751,3.055,3.126,-0.433,-0.504,-0.468,0.0528,0.0863,0.2529,0.477,0.7745,1.869,-27.33,0.0,True
pepite,Sejuani,11878,0.12428326288034153,3.062,3.131,-0.428,-0.497,-0.462,0.0533,0.0863,0.2506,0.4742,0.7745,1.865,-27.26,0.0,True
pepite,Kayle,12952,0.13552086385133721,3.08,3.141,-0.418,-0.48,-0.445,0.0566,0.0844,0.243,0.4696,0.7725,1.86,-27.35,0.0,True
,Ivern,19869,0.20789561796342024,3.114,3.153,-0.406,-0.445,-0.416,0.0844,0.0781,0.2424,0.4639,0.7663,1.886,-30.06,0.0,True
populaire,Taric,38021,0.39782572301510905,3.175,3.194,-0.366,-0.384,-0.362,0.1455,0.0813,0.2035,0.4343,0.7694,1.821,-34.0,0.0,True
,Kha Zix,3699,0.03870380446155778,3.262,3.363,-0.196,-0.297,-0.233,0.0076,0.054,0.2228,0.4328,0.7421,1.955,-9.08,0.0,True
,Kennen,8551,0.08947181182773198,3.335,3.376,-0.184,-0.225,-0.182,0.0164,0.0374,0.2025,0.4049,0.7255,1.902,-10.43,0.0,True
,Ashe,1919,0.02007910266605282,3.208,3.384,-0.176,-0.351,-0.266,0.0035,0.0769,0.2178,0.4304,0.765,1.877,-8.1,0.0,True
,Ezreal,6137,0.06421336793203031,3.342,3.394,-0.166,-0.217,-0.166,0.0106,0.0306,0.2211,0.4217,0.7188,1.985,-8.31,0.0,True
,Le Blanc,21074,0.22050391328004018,3.391,3.405,-0.154,-0.168,-0.139,0.0341,0.0187,0.2218,0.413,0.7068,2.015,-11.04,0.0,True
populaire,Xayah,29741,0.3111894697191646,3.4,3.41,-0.15,-0.159,-0.133,0.0465,0.0218,0.2107,0.4037,0.7099,1.987,-12.1,0.0,True
,Shen,9408,0.09843887331017454,3.393,3.421,-0.139,-0.167,-0.125,0.0136,0.0204,0.2024,0.406,0.7085,1.967,-7.84,0.0,True
