group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Giant Slayer + Guinsoos Rageblade + Void Staff,900,0.02376990729736154,3.653,3.874,-0.262,-0.482,-0.333,0.0062,0.0852,0.2422,0.3956,0.6444,2.26,-6.33,0.0,True
populaire,Guinsoos Rageblade + Rabadons Deathcap + Void Staff,2131,0.056281858278530494,3.811,3.896,-0.239,-0.324,-0.225,0.0135,0.0499,0.2248,0.366,0.6091,2.279,-6.39,0.0,True
populaire,Guinsoos Rageblade + Hextech Gunblade + Void Staff,706,0.01864617172437472,3.701,3.926,-0.21,-0.434,-0.271,0.0039,0.0839,0.2153,0.3711,0.6431,2.199,-5.2,0.0,True
populaire,Guinsoos Rageblade + Strikers Flail + Void Staff,494,0.013047038005440667,3.668,3.951,-0.185,-0.468,-0.268,0.0024,0.0744,0.2287,0.3988,0.6336,2.248,-4.59,0.0,True
pepite,Guinsoos Rageblade + Morellonomicon + Void Staff,293,0.00773842537569659,3.505,3.96,-0.176,-0.63,-0.384,0.0014,0.1097,0.2321,0.4061,0.6689,2.143,-5.01,0.0,True
pepite,Guinsoos Rageblade + Hextech Gunblade + Rabadons Deathcap,359,0.009481551910836437,3.657,3.982,-0.154,-0.478,-0.244,0.0015,0.087,0.234,0.4095,0.6462,2.255,-4.0,6e-05,True
populaire,Archangels Staff + Guinsoos Rageblade + Void Staff,480,0.012677283891926155,3.742,3.983,-0.153,-0.394,-0.196,0.0019,0.072,0.2104,0.3625,0.6312,2.201,-3.89,0.0001,True
populaire,Giant Slayer + Guinsoos Rageblade + Rabadons Deathcap,493,0.013020626997332488,3.753,3.985,-0.151,-0.383,-0.193,0.002,0.0797,0.1846,0.3428,0.6389,2.137,-3.95,8e-05,True
pepite,Giant Slayer + Guinsoos Rageblade + Hextech Gunblade,404,0.010670047275704513,3.708,3.987,-0.149,-0.428,-0.217,0.0016,0.0695,0.203,0.3614,0.6287,2.148,-3.98,7e-05,True
pepite,Giant Slayer + Red Buff + Void Staff,104,0.002746744843250667,3.154,4.017,-0.119,-0.982,-0.573,0.0003,0.162,0.3365,0.4904,0.7212,2.125,-4.7,0.0,True
pepite,Guinsoos Rageblade + Hextech Gunblade + Strikers Flail,244,0.006444285978395795,3.66,4.02,-0.116,-0.476,-0.203,0.0007,0.1088,0.2049,0.3852,0.668,2.162,-3.42,0.00062,True
pepite,Guinsoos Rageblade + Rabadons Deathcap + Strikers Flail,275,0.007263027229749359,3.731,4.028,-0.108,-0.405,-0.131,0.0008,0.0626,0.2436,0.3673,0.6218,2.304,-2.9,0.00371,True
,Giant Slayer + Guinsoos Rageblade + Strikers Flail,337,0.008900509732456489,3.816,4.037,-0.098,-0.32,-0.078,0.0009,0.058,0.2047,0.368,0.6172,2.254,-2.59,0.00958,True
,Archangels Staff + Giant Slayer + Guinsoos Rageblade,330,0.008715632675699232,3.812,4.037,-0.098,-0.323,-0.095,0.0009,0.0802,0.1636,0.3333,0.6394,2.109,-2.77,0.00558,True
,Giant Slayer + Guinsoos Rageblade + Red Buff,204,0.005387845654068616,3.672,4.037,-0.098,-0.464,-0.156,0.0005,0.0977,0.2206,0.3824,0.6569,2.239,-2.95,0.00316,True
,Guinsoos Rageblade + Rabadons Deathcap + Red Buff,305,0.008055357472994745,3.803,4.04,-0.095,-0.332,-0.074,0.0008,0.0506,0.223,0.3869,0.6098,2.295,-2.52,0.01177,True
,Guinsoos Rageblade + Hand Of Justice + Void Staff,84,0.0022185246810870773,3.19,4.041,-0.094,-0.945,-0.512,0.0002,0.1789,0.2619,0.4881,0.7381,2.021,-4.28,2e-05,True
populaire,Guinsoos Rageblade + Red Buff + Void Staff,591,0.015608905791934078,3.944,4.052,-0.084,-0.191,-0.008,0.0013,0.0347,0.2014,0.3316,0.5939,2.251,-2.05,0.04027,False
,Rabadons Deathcap + Red Buff + Void Staff,74,0.0019544146000052822,3.23,4.055,-0.081,-0.906,-0.416,0.0002,0.1435,0.3243,0.473,0.7027,2.147,-3.63,0.00029,True
