group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Strikers Flail,3137,0.0816905809744538,3.758,3.833,-0.308,-0.383,-0.302,0.0251,0.0753,0.2072,0.365,0.6337,2.223,-9.27,0.0,True
populaire,Red Buff,3281,0.08544048332074686,3.829,3.888,-0.253,-0.312,-0.232,0.0216,0.056,0.2076,0.3563,0.6144,2.255,-7.61,0.0,True
populaire,Void Staff,11557,0.3009557042785344,3.89,3.905,-0.236,-0.251,-0.204,0.0709,0.0428,0.2029,0.3471,0.6013,2.262,-10.48,0.0,True
pepite,Morellonomicon,1275,0.03320226035780318,3.771,3.91,-0.231,-0.37,-0.247,0.0077,0.0745,0.1984,0.3631,0.6329,2.21,-5.88,0.0,True
pepite,Emblem Spellweaver,562,0.014635035545949325,3.625,3.923,-0.218,-0.516,-0.334,0.0032,0.0892,0.2438,0.3843,0.6477,2.19,-5.55,0.0,True
populaire,Rabadons Deathcap,6733,0.17533397567771672,3.9,3.924,-0.217,-0.241,-0.183,0.038,0.041,0.2011,0.3461,0.5994,2.267,-8.06,0.0,True
populaire,Giant Slayer,6247,0.16267805525897763,3.902,3.928,-0.213,-0.239,-0.179,0.0346,0.0455,0.1854,0.3373,0.604,2.226,-7.84,0.0,True
populaire,Hextech Gunblade,4602,0.11984062915028254,3.895,3.93,-0.211,-0.246,-0.179,0.0253,0.048,0.1808,0.3353,0.6065,2.189,-7.18,0.0,True
pepite,Quicksilver,420,0.010937215176688107,3.695,3.983,-0.158,-0.446,-0.236,0.0017,0.0749,0.2071,0.3643,0.6333,2.178,-4.17,3e-05,True
pepite,Emblem Rapidfire,535,0.013931928856019375,3.787,3.996,-0.145,-0.354,-0.167,0.002,0.0602,0.1907,0.3533,0.6187,2.19,-3.71,0.00021,True
pepite,Hand Of Justice,479,0.012473633499127628,3.829,4.021,-0.12,-0.312,-0.122,0.0015,0.0825,0.1587,0.3215,0.6409,2.11,-3.21,0.00131,True
