group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Wits End,382,0.010089005097324565,3.796,4.022,-0.114,-0.34,-0.129,0.0011,0.0769,0.1518,0.3455,0.6361,2.093,-3.15,0.00161,True
populaire,Navori Flickerblade,898,0.023717085281145182,4.018,4.072,-0.064,-0.118,0.0,0.0015,0.0143,0.1737,0.314,0.5735,2.203,-1.58,0.11366,False
pepite,Zhonyas Paradox,61,0.0016110714945989488,3.574,4.094,-0.042,-0.562,0.0,0.0001,0.1129,0.2295,0.4262,0.6721,2.25,-1.95,0.05139,False
pepite,Infinity Force,77,0.0020336476243298205,3.87,4.111,-0.024,-0.265,0.0,0.0,0.0122,0.2208,0.3506,0.5714,2.264,-1.03,0.30407,False
,Artifact Talisman Of Ascension,69,0.0018223595594643847,4.275,4.147,0.012,0.14,0.0,-0.0,-0.0375,0.1304,0.2464,0.5217,2.146,0.54,0.58881,False
,Gold Collector,68,0.0017959485513562052,4.456,4.162,0.026,0.32,0.0,-0.0,-0.0592,0.1618,0.3088,0.5,2.452,1.08,0.28176,False
populaire,Eternal Pact,136,0.0035918971027124103,4.36,4.17,0.034,0.225,0.0,-0.0001,-0.0518,0.125,0.2279,0.5074,2.144,1.22,0.22256,False
populaire,Lich Bane,380,0.010036183081108206,4.237,4.169,0.034,0.101,0.0,-0.0003,-0.0145,0.1474,0.2605,0.5447,2.185,0.9,0.36885,False
,Seekers Armguard,114,0.0030108549243324616,4.421,4.173,0.037,0.285,0.0,-0.0001,-0.0066,0.114,0.2281,0.5526,2.243,1.36,0.17491,False
populaire,Gamblers Blade,409,0.010802102316245411,4.289,4.189,0.054,0.153,0.0,-0.0006,-0.0482,0.1516,0.2983,0.511,2.281,1.35,0.17736,False
populaire,Statikk Shiv,816,0.021551382616274463,4.271,4.206,0.07,0.135,0.0,-0.0015,-0.0286,0.1213,0.2525,0.5306,2.125,1.8,0.0724,False
,Fishbones,71,0.0018751815756807438,4.986,4.208,0.073,0.85,0.321,-0.0001,-0.2212,0.0986,0.1972,0.338,2.274,3.15,0.00164,True
populaire,Rapid Fire Cannon,194,0.005123735572986821,4.608,4.232,0.096,0.473,0.144,-0.0005,-0.0901,0.1082,0.268,0.4691,2.331,2.82,0.00484,True
populaire,Mittens,153,0.004040884240551462,4.758,4.24,0.105,0.623,0.269,-0.0004,-0.1409,0.098,0.2288,0.4183,2.229,3.45,0.00056,True
,Manazane,69,0.0018223595594643847,5.435,4.244,0.108,1.299,0.863,-0.0002,-0.2404,0.0,0.087,0.3188,1.845,5.84,0.0,True
,Dawncore,94,0.002482634762168872,5.223,4.256,0.12,1.088,0.672,-0.0003,-0.2081,0.0426,0.1277,0.3511,2.053,5.13,0.0,True
populaire,Blighting Jewel,248,0.006549930010828513,4.726,4.281,0.146,0.59,0.319,-0.001,-0.1277,0.0968,0.2016,0.4315,2.168,4.27,2e-05,True
populaire,Ludens Tempest,135,0.0035654860946042312,5.333,4.317,0.181,1.198,0.846,-0.0006,-0.2333,0.037,0.1407,0.3259,2.08,6.68,0.0,True
