group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Strikers Flail,3951,0.10434989303541717,3.834,3.883,-0.253,-0.301,-0.228,0.0264,0.0596,0.1977,0.3559,0.6188,2.238,-8.05,0.0,True
populaire,Void Staff,12701,0.3354462139819877,3.914,3.926,-0.209,-0.222,-0.176,0.0702,0.0372,0.2,0.343,0.5964,2.263,-9.57,0.0,True
populaire,Red Buff,4271,0.1128014156300346,3.9,3.936,-0.2,-0.235,-0.164,0.0225,0.0444,0.1946,0.3425,0.6036,2.255,-6.46,0.0,True
populaire,Hextech Gunblade,5369,0.14180070253281568,3.925,3.951,-0.184,-0.21,-0.148,0.0262,0.0424,0.1762,0.3308,0.6016,2.195,-6.55,0.0,True
pepite,Quicksilver,832,0.021973958746005336,3.794,3.957,-0.179,-0.341,-0.19,0.0039,0.055,0.1995,0.3582,0.6142,2.203,-4.42,1e-05,True
populaire,Rabadons Deathcap,7655,0.20217626706811398,3.942,3.96,-0.176,-0.193,-0.137,0.0356,0.031,0.1983,0.342,0.5902,2.281,-6.78,0.0,True
pepite,Morellonomicon,1945,0.05136941077040911,3.898,3.964,-0.171,-0.238,-0.136,0.0088,0.0418,0.1846,0.3419,0.601,2.224,-4.6,0.0,True
populaire,Giant Slayer,7290,0.1925362491086285,3.954,3.971,-0.164,-0.181,-0.125,0.0316,0.0341,0.1808,0.331,0.5933,2.241,-6.32,0.0,True
pepite,Hand Of Justice,911,0.024060428386551515,4.042,4.084,-0.051,-0.094,0.0,0.0012,0.0314,0.157,0.3074,0.5906,2.21,-1.27,0.20543,False
populaire,Archangels Staff,4451,0.11755539708950691,4.079,4.087,-0.049,-0.057,0.0,0.0057,0.0195,0.1487,0.3011,0.5787,2.192,-1.63,0.10223,False
pepite,Titans Resolve,182,0.004806803475688667,3.896,4.089,-0.046,-0.24,0.0,0.0002,0.0782,0.1154,0.3077,0.6374,2.042,-1.58,0.11397,False
populaire,Guinsoos Rageblade,27798,0.7341732033911734,4.109,4.11,-0.026,-0.027,0.0,0.019,0.0044,0.1664,0.3033,0.5636,2.244,-1.5,0.1335,False
pepite,Tacticians Crown,349,0.009217441829754642,4.069,4.114,-0.021,-0.067,0.0,0.0002,0.011,0.1605,0.3009,0.5702,2.182,-0.57,0.56935,False
pepite,Edge Of Night,217,0.005731188759474949,4.06,4.119,-0.017,-0.076,0.0,0.0001,0.0491,0.1751,0.3041,0.6083,2.27,-0.49,0.62442,False
,Tacticians Cape,69,0.0018223595594643847,4.159,4.138,0.002,0.024,0.0,-0.0,-0.023,0.1884,0.3043,0.5362,2.301,0.09,0.93143,False
,Crownguard,45,0.001188495364868077,4.822,4.174,0.039,0.687,0.025,-0.0,-0.1592,0.1111,0.2222,0.4,2.264,2.03,0.04198,True
,Adaptive Helm,541,0.014288355386525104,4.238,4.178,0.043,0.103,0.0,-0.0006,-0.0084,0.1349,0.2699,0.5508,2.214,1.07,0.28335,False
,Bloodthirster,125,0.003301376013522436,4.48,4.184,0.049,0.344,0.0,-0.0002,-0.0472,0.144,0.24,0.512,2.31,1.66,0.09607,False
,Component Giants Belt,52,0.0013733724216253335,6.058,4.259,0.124,1.922,1.38,-0.0002,-0.3284,0.0385,0.0769,0.2308,1.994,6.94,0.0,True
populaire,Jeweled Gauntlet,8840,0.2334733116763067,4.342,4.326,0.19,0.206,0.155,-0.0444,-0.0391,0.1308,0.2584,0.5201,2.208,7.88,0.0,True
,Deathblade,204,0.005387845654068616,5.074,4.335,0.199,0.938,0.649,-0.0011,-0.2063,0.0686,0.1471,0.3529,2.103,6.35,0.0,True
populaire,Nashors Tooth,4450,0.11752898608139872,4.369,4.335,0.199,0.233,0.165,-0.0234,-0.0376,0.1236,0.2445,0.5216,2.173,6.74,0.0,True
,Infinity Edge,353,0.00932308586218736,4.793,4.345,0.209,0.658,0.434,-0.0019,-0.1173,0.0935,0.1813,0.4419,2.136,5.76,0.0,True
,Krakens Fury,310,0.008187412513535641,4.855,4.344,0.209,0.719,0.475,-0.0017,-0.1173,0.0774,0.1806,0.4419,2.187,5.77,0.0,True
,Last Whisper,432,0.011409555502733539,4.78,4.37,0.234,0.645,0.432,-0.0027,-0.124,0.0926,0.2106,0.4352,2.238,5.95,0.0,True
,Blue Buff,922,0.024350949475741488,4.693,4.442,0.306,0.557,0.416,-0.0075,-0.1037,0.09,0.2039,0.4555,2.163,7.73,0.0,True
,Component Sparring Gloves,362,0.009560784935160976,5.138,4.46,0.324,1.003,0.77,-0.0031,-0.1697,0.0856,0.1575,0.3895,2.25,8.44,0.0,True
,Component B F Sword,282,0.007447904286506616,5.44,4.489,0.354,1.304,1.046,-0.0026,-0.2578,0.078,0.1489,0.3014,2.205,9.89,0.0,True
,Component Tear Of The Goddess,308,0.008134590497319282,5.523,4.537,0.401,1.387,1.139,-0.0033,-0.2508,0.0779,0.1299,0.3084,2.209,10.97,0.0,True
,Spear Of Shojin,2726,0.07199640810289729,4.707,4.583,0.447,0.572,0.484,-0.0322,-0.1084,0.1196,0.2124,0.4508,2.262,12.75,0.0,True
,Component Recurve Bow,692,0.018276417610860206,5.282,4.683,0.547,1.146,0.978,-0.01,-0.2023,0.0737,0.1575,0.3569,2.244,13.32,0.0,True
,Component Needlessly Large Rod,697,0.018408472651401105,5.519,4.799,0.663,1.384,1.218,-0.0122,-0.2393,0.066,0.132,0.3199,2.216,16.33,0.0,True
