group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Spellweaver,1091,0.026223440053840977,3.964,4.048,-0.109,-0.193,-0.055,0.0029,0.0297,0.2026,0.3391,0.5857,2.288,-2.75,0.00604,True
pepite,Emblem Brawler,114,0.0027401211421978658,3.553,4.084,-0.073,-0.604,-0.203,0.0002,0.137,0.2193,0.4123,0.693,2.185,-2.95,0.00319,True
populaire,Emblem Rapidfire,1038,0.02494952408422267,4.079,4.114,-0.043,-0.078,0.0,0.0011,0.0047,0.1609,0.3102,0.5607,2.239,-1.11,0.26848,False
pepite,Emblem Sprykin,202,0.004855302374771657,3.97,4.12,-0.036,-0.187,0.0,0.0002,0.0628,0.1485,0.3366,0.6188,2.152,-1.23,0.2192,False
pepite,Emblem Elderwood,158,0.003797711758484761,4.0,4.132,-0.025,-0.157,0.0,0.0001,0.02,0.1646,0.3101,0.5759,2.158,-0.91,0.36194,False
populaire,Emblem Slayer,593,0.014253437169502933,4.12,4.141,-0.015,-0.037,0.0,0.0002,0.0073,0.1518,0.3019,0.5632,2.231,-0.4,0.68746,False
populaire,Emblem Flora Fatalis,474,0.011393135275454283,4.188,4.168,0.011,0.031,0.0,-0.0001,-0.0117,0.1941,0.3207,0.5443,2.402,0.28,0.78044,False
,Emblem Defender,66,0.0015863859244303433,4.515,4.183,0.026,0.358,0.0,-0.0,-0.0408,0.0758,0.1818,0.5152,2.009,1.45,0.14786,False
populaire,Emblem Inferno,533,0.012811268147293529,4.248,4.192,0.035,0.091,0.0,-0.0005,-0.0156,0.1463,0.3002,0.5403,2.285,0.91,0.36195,False
populaire,Emblem Blossom,687,0.016512835304297663,4.242,4.195,0.038,0.085,0.0,-0.0006,-0.0189,0.1499,0.2868,0.5371,2.25,0.98,0.32735,False
populaire,Emblem Primal,262,0.00629747139698106,4.504,4.24,0.083,0.347,0.073,-0.0005,-0.0712,0.1107,0.2519,0.4847,2.256,2.48,0.01308,True
,Emblem Fae,210,0.005047591577732911,4.676,4.262,0.105,0.519,0.212,-0.0005,-0.0893,0.1238,0.2095,0.4667,2.268,3.31,0.00093,True
,Emblem Hunter,126,0.0030285549466397463,4.984,4.266,0.109,0.827,0.448,-0.0003,-0.1353,0.0714,0.1587,0.4206,2.171,4.27,2e-05,True
populaire,Emblem Flora Fatalis Augment,240,0.005768676088837612,4.808,4.303,0.146,0.651,0.377,-0.0008,-0.1268,0.0958,0.1792,0.4292,2.163,4.65,0.0,True
populaire,Emblem Lunar,427,0.010263436208056918,4.623,4.315,0.158,0.466,0.251,-0.0016,-0.111,0.1335,0.2225,0.445,2.26,4.24,2e-05,True
populaire,Emblem Invoker,251,0.0060330737429093355,4.94,4.338,0.182,0.783,0.502,-0.0011,-0.1655,0.0996,0.1952,0.3904,2.267,5.46,0.0,True
