group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Giant Slayer + Void Staff,1603,0.03852994904336122,3.661,3.83,-0.327,-0.496,-0.384,0.0126,0.0897,0.2327,0.388,0.6457,2.239,-8.71,0.0,True
pepite,Strikers Flail + Void Staff,788,0.018940486491683492,3.572,3.873,-0.284,-0.585,-0.427,0.0054,0.1077,0.2373,0.4137,0.6637,2.235,-7.27,0.0,True
populaire,Guinsoos Rageblade + Strikers Flail,2759,0.06631573887126238,3.812,3.892,-0.265,-0.345,-0.258,0.0176,0.0671,0.2037,0.3585,0.6231,2.24,-7.82,0.0,True
pepite,Red Buff + Void Staff,1234,0.02966060955677339,3.715,3.893,-0.264,-0.442,-0.317,0.0078,0.0753,0.2237,0.3695,0.6313,2.21,-6.92,0.0,True
populaire,Rabadons Deathcap + Void Staff,2868,0.06893567926160946,3.836,3.908,-0.249,-0.321,-0.234,0.0171,0.0521,0.2183,0.3626,0.6081,2.286,-7.28,0.0,True
pepite,Morellonomicon + Void Staff,665,0.015984039996154217,3.639,3.927,-0.23,-0.518,-0.351,0.0037,0.1012,0.2135,0.385,0.6571,2.178,-6.08,0.0,True
pepite,Guinsoos Rageblade + Morellonomicon,932,0.02240169214498606,3.729,3.931,-0.226,-0.428,-0.287,0.0051,0.0824,0.1953,0.3659,0.6384,2.173,-5.95,0.0,True
pepite,Giant Slayer + Rabadons Deathcap,742,0.017834823574656284,3.699,3.941,-0.216,-0.457,-0.301,0.0038,0.0882,0.1941,0.3639,0.6442,2.156,-5.72,0.0,True
,Giant Slayer + Red Buff,561,0.013484280357657917,3.635,3.947,-0.21,-0.522,-0.335,0.0028,0.0822,0.2371,0.3975,0.6381,2.245,-5.47,0.0,True
,Hextech Gunblade + Void Staff,1159,0.027857898279011632,3.797,3.948,-0.209,-0.36,-0.231,0.0058,0.0678,0.2045,0.3503,0.6238,2.208,-5.47,0.0,True
populaire,Guinsoos Rageblade + Rabadons Deathcap,6106,0.1467647341601769,3.933,3.96,-0.197,-0.224,-0.163,0.0289,0.0372,0.1952,0.3393,0.5932,2.263,-7.22,0.0,True
,Rabadons Deathcap + Red Buff,533,0.012811268147293529,3.664,3.964,-0.192,-0.493,-0.303,0.0025,0.0763,0.2308,0.3959,0.6323,2.221,-5.09,0.0,True
populaire,Guinsoos Rageblade + Hextech Gunblade,4162,0.10003845784059225,3.933,3.97,-0.187,-0.224,-0.154,0.0187,0.0473,0.1735,0.3277,0.6033,2.191,-6.27,0.0,True
,Archangels Staff + Void Staff,804,0.019325064897606,3.779,3.971,-0.186,-0.378,-0.225,0.0036,0.0771,0.1891,0.3532,0.6331,2.194,-4.84,0.0,True
populaire,Guinsoos Rageblade + Void Staff,9724,0.2337275261994039,3.958,3.974,-0.183,-0.198,-0.148,0.0427,0.0319,0.1943,0.335,0.5879,2.267,-7.78,0.0,True
,Giant Slayer + Hextech Gunblade,633,0.015214883184309202,3.768,3.989,-0.168,-0.389,-0.217,0.0026,0.0696,0.2006,0.357,0.6256,2.189,-4.44,1e-05,True
,Red Buff + Strikers Flail,258,0.006201326795500433,3.469,3.994,-0.163,-0.688,-0.42,0.001,0.1223,0.2558,0.4109,0.6783,2.189,-5.03,0.0,True
,Giant Slayer + Strikers Flail,507,0.012186328237669455,3.742,4.0,-0.157,-0.415,-0.221,0.0019,0.0831,0.2012,0.3688,0.6391,2.221,-4.18,3e-05,True
populaire,Giant Slayer + Guinsoos Rageblade,5342,0.1284011152773772,3.976,4.001,-0.156,-0.18,-0.117,0.02,0.0348,0.1756,0.3246,0.5908,2.227,-5.57,0.0,True
,Rabadons Deathcap + Strikers Flail,421,0.010119219305835977,3.703,4.004,-0.152,-0.454,-0.241,0.0015,0.0853,0.2185,0.3634,0.6413,2.221,-4.17,3e-05,True
,Hextech Gunblade + Rabadons Deathcap,508,0.012210364388039612,3.764,4.008,-0.149,-0.393,-0.194,0.0018,0.0798,0.2146,0.378,0.6358,2.273,-3.87,0.00011,True
populaire,Guinsoos Rageblade + Red Buff,2415,0.05804730314392847,3.958,4.009,-0.148,-0.199,-0.106,0.0086,0.0382,0.1913,0.3329,0.5942,2.265,-4.19,3e-05,True
,Emblem Spellweaver + Guinsoos Rageblade,485,0.011657532929526006,3.757,4.01,-0.147,-0.4,-0.207,0.0017,0.0667,0.2144,0.3567,0.6227,2.16,-4.05,5e-05,True
,Hextech Gunblade + Red Buff,373,0.008965484088068455,3.721,4.022,-0.135,-0.436,-0.213,0.0012,0.0794,0.2091,0.3619,0.6354,2.179,-3.84,0.00012,True
,Emblem Spellweaver + Void Staff,210,0.005047591577732911,3.486,4.022,-0.135,-0.671,-0.366,0.0007,0.1297,0.2714,0.4238,0.6857,2.249,-4.31,2e-05,True
,Archangels Staff + Giant Slayer,487,0.01170560523026632,3.799,4.025,-0.132,-0.358,-0.17,0.0015,0.0949,0.1643,0.3326,0.6509,2.107,-3.73,0.00019,True
,Archangels Staff + Red Buff,240,0.005768676088837612,3.596,4.031,-0.126,-0.561,-0.298,0.0007,0.1274,0.1792,0.3625,0.6833,2.069,-4.19,3e-05,True
,Jeweled Gauntlet + Red Buff,494,0.011873858282857417,3.822,4.032,-0.125,-0.335,-0.139,0.0015,0.0513,0.1984,0.3502,0.6073,2.209,-3.35,0.00081,True
,Hextech Gunblade + Strikers Flail,312,0.0074992789154888955,3.702,4.033,-0.124,-0.455,-0.217,0.0009,0.0915,0.1987,0.3654,0.6474,2.136,-3.75,0.00018,True
,Guinsoos Rageblade + Quicksilver,377,0.009061628689549081,3.769,4.036,-0.121,-0.388,-0.164,0.0011,0.0674,0.2042,0.3554,0.6233,2.209,-3.39,0.00069,True
,Guinsoos Rageblade + Hand Of Justice,490,0.01177771368137679,3.847,4.042,-0.115,-0.31,-0.122,0.0014,0.0828,0.1571,0.3163,0.6388,2.109,-3.23,0.00123,True
,Quicksilver + Void Staff,108,0.0025959042399769255,3.204,4.047,-0.11,-0.953,-0.583,0.0003,0.1477,0.2593,0.4352,0.7037,1.957,-5.05,0.0,True
,Hand Of Justice + Void Staff,102,0.002451687337755985,3.294,4.063,-0.094,-0.863,-0.474,0.0002,0.1499,0.2353,0.451,0.7059,1.998,-4.35,1e-05,True
,Emblem Rapidfire + Guinsoos Rageblade,489,0.011753677531006633,3.906,4.064,-0.093,-0.251,-0.053,0.0011,0.0432,0.1759,0.3354,0.5992,2.214,-2.49,0.01274,True
,Wits End + Guinsoos Rageblade,251,0.0060330737429093355,3.757,4.064,-0.093,-0.4,-0.137,0.0006,0.0855,0.1554,0.3665,0.6414,2.118,-2.98,0.00287,True
,Archangels Staff + Strikers Flail,203,0.004879338525141813,3.69,4.065,-0.092,-0.467,-0.175,0.0004,0.0943,0.1872,0.3645,0.6502,2.117,-3.14,0.00171,True
populaire,Archangels Staff + Guinsoos Rageblade,3344,0.08037688683780406,4.055,4.075,-0.082,-0.102,-0.026,0.0066,0.0281,0.1486,0.2984,0.584,2.167,-2.62,0.00892,True
,Emblem Rapidfire + Void Staff,135,0.0032448802999711568,3.578,4.076,-0.081,-0.579,-0.221,0.0003,0.0885,0.2296,0.3852,0.6444,2.12,-3.17,0.00154,True
,Emblem Spellweaver + Rabadons Deathcap,72,0.0017306028266512836,3.139,4.076,-0.081,-1.018,-0.578,0.0001,0.1662,0.2778,0.4444,0.7222,1.903,-4.53,1e-05,True
,Navori Flickerblade + Void Staff,162,0.003893856359965388,3.673,4.078,-0.079,-0.484,-0.136,0.0003,0.0613,0.2593,0.3765,0.6173,2.258,-2.72,0.00646,True
,Emblem Blossom + Void Staff,98,0.002355542736275358,3.429,4.08,-0.077,-0.728,-0.266,0.0002,0.1073,0.3061,0.4694,0.6633,2.334,-3.09,0.00203,True
