group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Executioner,5098,0.13275695945418087,2.744,2.927,-1.214,-1.396,-1.342,0.1611,0.2591,0.3278,0.5545,0.8176,1.796,-50.48,0.0,True
pepite,Lux Unique Trait,2675,0.06965964428009687,3.09,3.324,-0.816,-1.051,-0.97,0.0569,0.193,0.3043,0.4987,0.7514,2.055,-25.4,0.0,True
populaire,Blackthorn,15360,0.39998958360459363,3.439,3.472,-0.668,-0.702,-0.66,0.2674,0.1198,0.275,0.4368,0.6783,2.216,-33.02,0.0,True
pepite,Executioner,7252,0.18884924871748132,3.477,3.541,-0.6,-0.664,-0.61,0.1133,0.1226,0.2365,0.4058,0.6811,2.108,-24.31,0.0,True
pepite,Spellweaver,969,0.02523371787193042,3.167,3.598,-0.543,-0.974,-0.838,0.0137,0.166,0.3034,0.4902,0.7245,2.122,-14.09,0.0,True
pepite,Greenfather,2686,0.06994609515377204,3.472,3.621,-0.52,-0.669,-0.586,0.0364,0.1307,0.2323,0.4051,0.6891,2.108,-15.82,0.0,True
pepite,Alune Unique Trait,1713,0.044608213327777924,3.401,3.63,-0.511,-0.74,-0.636,0.0228,0.117,0.2674,0.4291,0.6754,2.135,-14.0,0.0,True
populaire,Spellweaver,19026,0.49545584750397126,3.63,3.65,-0.491,-0.511,-0.472,0.2433,0.092,0.2356,0.3977,0.6504,2.234,-25.71,0.0,True
,Blossom,8863,0.23080128121663498,3.612,3.654,-0.487,-0.529,-0.479,0.1124,0.1027,0.2173,0.3902,0.6612,2.175,-20.51,0.0,True
,Inferno,3769,0.0981484857165178,3.597,3.689,-0.452,-0.544,-0.472,0.0443,0.1083,0.2062,0.3887,0.6668,2.149,-14.76,0.0,True
populaire,Slayer,10076,0.26238900028645085,3.676,3.709,-0.432,-0.465,-0.415,0.1133,0.0753,0.2443,0.3899,0.6338,2.263,-18.37,0.0,True
,Elderwood,2112,0.054998567745631624,3.586,3.734,-0.407,-0.555,-0.463,0.0224,0.1144,0.1993,0.3835,0.6728,2.095,-11.81,0.0,True
populaire,Brawler,19683,0.5125647769589333,3.771,3.785,-0.356,-0.369,-0.331,0.1823,0.0702,0.2083,0.3678,0.6287,2.234,-18.81,0.0,True
,Emerald,2675,0.06965964428009687,3.698,3.796,-0.344,-0.443,-0.359,0.024,0.0857,0.1921,0.3708,0.6441,2.149,-10.28,0.0,True
,Flora Fatalis,6980,0.18176609984114997,3.764,3.801,-0.34,-0.377,-0.323,0.0617,0.0799,0.1702,0.3441,0.6384,2.097,-13.65,0.0,True
,Blossom,870,0.022655660008853936,3.536,3.819,-0.321,-0.605,-0.46,0.0073,0.1048,0.2379,0.4,0.6632,2.163,-8.15,0.0,True
