group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Kennen,7674,0.19983854587120128,3.119,3.212,-0.928,-1.021,-0.971,0.1855,0.1882,0.2809,0.4841,0.7467,2.015,-39.72,0.0,True
pepite,Lux Base,2692,0.07010234108486758,3.091,3.324,-0.817,-1.049,-0.969,0.0572,0.1927,0.3035,0.4981,0.7511,2.054,-25.46,0.0,True
pepite,Gnar Small,3484,0.09072680398947944,3.377,3.515,-0.626,-0.764,-0.692,0.0568,0.1537,0.2302,0.4259,0.7121,2.054,-20.85,0.0,True
pepite,Ivern,2721,0.07085752975182938,3.459,3.609,-0.531,-0.681,-0.599,0.0377,0.1328,0.2348,0.4083,0.6913,2.11,-16.21,0.0,True
pepite,Ahri,8346,0.21733809015390224,3.574,3.622,-0.519,-0.567,-0.514,0.1128,0.104,0.2339,0.4091,0.6625,2.212,-21.15,0.0,True
pepite,Alune,1726,0.04494674617848494,3.4,3.628,-0.513,-0.741,-0.638,0.0231,0.1183,0.2659,0.4276,0.6767,2.129,-14.11,0.0,True
,Ezreal,4908,0.12780917163615532,3.584,3.66,-0.481,-0.557,-0.495,0.0615,0.1141,0.196,0.3722,0.6726,2.06,-17.63,0.0,True
populaire,Soraka,11107,0.2892372594463686,3.649,3.681,-0.46,-0.492,-0.447,0.133,0.1011,0.1911,0.366,0.6596,2.095,-21.41,0.0,True
populaire,Sett,14875,0.38735970417437043,3.715,3.736,-0.405,-0.426,-0.384,0.157,0.0778,0.2206,0.3802,0.6362,2.238,-19.68,0.0,True
,Taric,2695,0.07018046405041535,3.696,3.795,-0.346,-0.445,-0.361,0.0243,0.0868,0.1918,0.3699,0.6453,2.146,-10.37,0.0,True
populaire,Yunara,9773,0.25449858076612586,3.785,3.811,-0.33,-0.356,-0.306,0.0839,0.0679,0.2006,0.363,0.6263,2.224,-14.08,0.0,True
populaire,Zyra,14854,0.38681284341553607,3.809,3.825,-0.316,-0.332,-0.29,0.1222,0.0635,0.1919,0.3485,0.622,2.186,-15.6,0.0,True
populaire,Malphite,27578,0.7181583812921538,3.842,3.85,-0.291,-0.299,-0.265,0.2089,0.0544,0.1944,0.3472,0.6128,2.204,-17.03,0.0,True
