group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Edge Of Night + Quicksilver + Steraks Gage,2955,0.041918461145629415,3.302,3.391,-0.186,-0.274,-0.209,0.0078,0.0596,0.1695,0.3868,0.756,1.786,-8.17,0.0,True
pepite,Giant Slayer + Quicksilver + Steraks Gage,583,0.008270207393537038,3.254,3.482,-0.094,-0.322,-0.167,0.0008,0.0309,0.2007,0.4374,0.7273,1.904,-4.07,5e-05,True
populaire,Bloodthirster + Quicksilver + Steraks Gage,892,0.012653559168156156,3.385,3.502,-0.074,-0.192,-0.068,0.0009,0.0368,0.1805,0.3879,0.7332,1.88,-3.03,0.00247,True
pepite,Deathblade + Edge Of Night + Quicksilver,494,0.007007688597611144,3.304,3.506,-0.071,-0.273,-0.103,0.0005,0.0506,0.1862,0.4291,0.747,1.915,-3.15,0.00161,True
populaire,Bloodthirster + Edge Of Night + Quicksilver,841,0.011930093341277271,3.392,3.508,-0.069,-0.184,-0.062,0.0008,0.0385,0.1593,0.371,0.7348,1.795,-2.95,0.00316,True
pepite,Hand Of Justice + Infinity Edge + Quicksilver,238,0.0033761738587681223,3.105,3.508,-0.068,-0.471,-0.247,0.0002,0.0894,0.1933,0.458,0.7857,1.761,-4.12,4e-05,True
pepite,Edge Of Night + Infinity Edge + Quicksilver,392,0.005560756943853377,3.278,3.511,-0.065,-0.298,-0.114,0.0004,0.0715,0.1811,0.4158,0.7679,1.858,-3.17,0.00153,True
pepite,Edge Of Night + Giant Slayer + Steraks Gage,492,0.006979317388713933,3.337,3.515,-0.062,-0.239,-0.074,0.0004,0.0313,0.1687,0.4187,0.7276,1.858,-2.84,0.00448,True
pepite,Quicksilver + Steraks Gage + Titans Resolve,363,0.005149374414843816,3.275,3.515,-0.062,-0.301,-0.116,0.0003,0.064,0.1791,0.3967,0.7603,1.788,-3.2,0.00139,True
,Deathblade + Edge Of Night + Steraks Gage,426,0.006043067495105967,3.326,3.518,-0.058,-0.25,-0.076,0.0004,0.036,0.1878,0.385,0.7324,1.827,-2.82,0.00487,True
,Deathblade + Quicksilver + Steraks Gage,400,0.005674241779442222,3.312,3.518,-0.058,-0.264,-0.09,0.0003,0.0636,0.1525,0.3775,0.76,1.768,-2.98,0.00293,True
,Bloodthirster + Deathblade + Steraks Gage,302,0.004284052543478877,3.245,3.518,-0.058,-0.331,-0.14,0.0003,0.0884,0.1788,0.3874,0.7848,1.695,-3.39,0.00071,True
,Deathblade + Edge Of Night + Hand Of Justice,229,0.003248503418730672,3.166,3.519,-0.057,-0.41,-0.189,0.0002,0.094,0.179,0.4192,0.7904,1.708,-3.63,0.00028,True
,Emblem Rapidfire + Edge Of Night + Quicksilver,190,0.0026952648452350553,3.1,3.52,-0.057,-0.476,-0.22,0.0002,0.0721,0.2211,0.4632,0.7684,1.802,-3.64,0.00028,True
,Infinity Edge + Quicksilver + Steraks Gage,320,0.004539393423553777,3.275,3.521,-0.056,-0.301,-0.1,0.0003,0.0505,0.1719,0.4344,0.7469,1.828,-2.94,0.00327,True
populaire,Edge Of Night + Giant Slayer + Quicksilver,2079,0.02949187164865095,3.484,3.521,-0.055,-0.092,-0.008,0.0016,-0.008,0.1876,0.3757,0.6883,1.946,-2.14,0.03262,False
,Emblem Rapidfire + Quicksilver + Steraks Gage,171,0.00242573836071155,3.088,3.523,-0.053,-0.489,-0.224,0.0001,0.0697,0.2222,0.4561,0.7661,1.76,-3.63,0.00029,True
,Hand Of Justice + Quicksilver + Steraks Gage,547,0.007759525633387238,3.399,3.527,-0.05,-0.178,-0.034,0.0004,0.0568,0.1188,0.3473,0.7532,1.703,-2.43,0.01513,True
,Edge Of Night + Quicksilver + Titans Resolve,290,0.004113825290095611,3.307,3.53,-0.046,-0.269,-0.061,0.0002,0.0657,0.1862,0.3621,0.7621,1.804,-2.54,0.01116,True
,Emblem Rapidfire + Edge Of Night + Steraks Gage,207,0.00293642012086135,3.242,3.533,-0.043,-0.335,-0.094,0.0001,0.0428,0.2077,0.3865,0.7391,1.764,-2.73,0.00641,True
,Edge Of Night + Infinity Edge + Steraks Gage,367,0.005206116832638239,3.379,3.536,-0.041,-0.198,-0.007,0.0002,0.0366,0.158,0.4033,0.733,1.858,-2.03,0.04215,False
,Bloodthirster + Evenshroud + Steraks Gage,50,0.0007092802224302777,2.38,3.535,-0.041,-1.196,-0.789,0.0,0.1636,0.34,0.68,0.86,1.468,-5.76,0.0,True
,Edge Of Night + Last Whisper + Steraks Gage,127,0.0018015717649729054,3.126,3.539,-0.037,-0.45,-0.181,0.0001,0.1304,0.1496,0.3858,0.8268,1.547,-3.28,0.00105,True
,Deathblade + Giant Slayer + Steraks Gage,128,0.001815757369421511,3.141,3.54,-0.036,-0.436,-0.148,0.0001,0.0927,0.1562,0.4297,0.7891,1.657,-2.97,0.00297,True
,Bloodthirster + Edge Of Night + Last Whisper,138,0.0019576134139075666,3.196,3.542,-0.034,-0.381,-0.071,0.0001,0.0718,0.2174,0.4203,0.7681,1.853,-2.41,0.01591,True
,Edge Of Night + Infinity Edge + Strikers Flail,131,0.0018583141827673278,3.198,3.544,-0.032,-0.378,-0.099,0.0001,0.1281,0.1603,0.3511,0.8244,1.627,-2.65,0.00794,True
,Edge Of Night + Last Whisper + Quicksilver,128,0.001815757369421511,3.203,3.545,-0.031,-0.373,-0.066,0.0001,0.0615,0.1875,0.4219,0.7578,1.769,-2.38,0.01714,True
,Guinsoos Rageblade + Steraks Gage + Titans Resolve,104,0.0014753028626549778,3.125,3.545,-0.031,-0.451,-0.095,0.0,0.121,0.1923,0.4615,0.8173,1.854,-2.48,0.0131,True
,Bloodthirster + Infinity Edge + Quicksilver,198,0.0028087496808239,3.333,3.546,-0.03,-0.243,0.0,0.0001,0.0663,0.1465,0.3889,0.7626,1.801,-1.9,0.05799,False
,Bloodthirster + Steraks Gage + Steraks Gage,111,0.0015746020937952166,3.171,3.547,-0.03,-0.405,-0.086,0.0,0.0784,0.1802,0.4144,0.7748,1.713,-2.49,0.0128,True
,Bloodthirster + Giant Slayer + Quicksilver,299,0.004241495730133061,3.415,3.548,-0.028,-0.162,0.0,0.0001,0.0294,0.1605,0.3344,0.7258,1.757,-1.59,0.11255,False
,Emblem Rapidfire + Hand Of Justice + Steraks Gage,75,0.0010639203336454167,3.027,3.549,-0.028,-0.55,-0.143,0.0,0.0903,0.2267,0.48,0.7867,1.796,-2.65,0.00808,True
,Giant Slayer + Steraks Gage + Titans Resolve,197,0.0027945640763752944,3.355,3.549,-0.027,-0.221,0.0,0.0001,0.0549,0.1675,0.3604,0.7513,1.793,-1.73,0.08409,False
,Emblem Vanguard + Quicksilver + Steraks Gage,129,0.0018299429738701167,3.256,3.549,-0.027,-0.32,-0.041,0.0,0.0943,0.1318,0.3488,0.7907,1.615,-2.25,0.0244,False
,Edge Of Night + Quicksilver + Strikers Flail,107,0.0015178596760007945,3.196,3.549,-0.027,-0.38,-0.039,0.0,0.0513,0.2056,0.4112,0.7477,1.801,-2.18,0.02914,False
,Edge Of Night + Steraks Gage + Titans Resolve,626,0.008880188384827077,3.495,3.551,-0.025,-0.081,0.0,0.0002,0.0033,0.1326,0.3658,0.6997,1.822,-1.11,0.26773,False
,Giant Slayer + Infinity Edge + Steraks Gage,136,0.0019292422050103555,3.294,3.551,-0.025,-0.282,0.0,0.0,0.0831,0.1544,0.3897,0.7794,1.787,-1.84,0.06581,False
,Deathblade + Infinity Edge + Steraks Gage,112,0.001588787698243822,3.241,3.552,-0.025,-0.335,-0.011,0.0,0.0536,0.1696,0.4375,0.75,1.749,-2.03,0.04267,False
,Emblem Rapidfire + Bloodthirster + Edge Of Night,85,0.001205776378131472,3.129,3.551,-0.025,-0.447,-0.106,0.0,0.0919,0.2,0.4,0.7882,1.6,-2.57,0.01008,True
,Bloodthirster + Giant Slayer + Infinity Edge,115,0.0016313445115896388,3.252,3.552,-0.024,-0.324,0.0,0.0,0.0341,0.1826,0.4261,0.7304,1.803,-1.93,0.05404,False
,Guinsoos Rageblade + Hand Of Justice + Steraks Gage,74,0.001049734729196811,3.095,3.552,-0.024,-0.482,-0.097,0.0,0.1009,0.2027,0.4189,0.7973,1.686,-2.46,0.01404,True
,Emblem Rapidfire + Bloodthirster + Quicksilver,64,0.0009078786847107555,3.016,3.552,-0.024,-0.561,-0.131,0.0,0.163,0.2031,0.4688,0.8594,1.754,-2.56,0.01061,True
,Deathblade + Hand Of Justice + Steraks Gage,149,0.002113655062842228,3.336,3.553,-0.023,-0.241,0.0,0.0,0.0822,0.1342,0.3289,0.7785,1.685,-1.74,0.08163,False
,Emblem Rapidfire + Bloodthirster + Steraks Gage,112,0.001588787698243822,3.268,3.554,-0.023,-0.308,0.0,0.0,0.0626,0.1607,0.4375,0.7589,1.842,-1.77,0.07659,False
,Hextech Gunblade + Quicksilver + Steraks Gage,100,0.0014185604448605554,3.23,3.553,-0.023,-0.346,-0.031,0.0,0.1136,0.15,0.37,0.81,1.605,-2.16,0.03115,False
,Giant Slayer + Hextech Gunblade + Steraks Gage,49,0.0006950946179816722,2.898,3.554,-0.023,-0.678,-0.239,0.0,0.1608,0.1429,0.5306,0.8571,1.568,-3.03,0.00247,True
,Edge Of Night + Giant Slayer + Infinity Edge,194,0.002752007263029478,3.397,3.555,-0.022,-0.179,0.0,0.0001,0.0304,0.134,0.3711,0.7268,1.756,-1.42,0.15548,False
,Last Whisper + Quicksilver + Steraks Gage,110,0.001560416489346611,3.273,3.554,-0.022,-0.304,0.0,0.0,0.0764,0.1545,0.3455,0.7727,1.623,-1.96,0.05005,False
,Bloodthirster + Edge Of Night + Strikers Flail,76,0.0010781059380940222,3.145,3.554,-0.022,-0.432,-0.06,0.0,0.1326,0.1842,0.3816,0.8289,1.652,-2.28,0.02285,False
,Emblem Rapidfire + Deathblade + Edge Of Night,64,0.0009078786847107555,3.062,3.554,-0.022,-0.514,-0.103,0.0,0.1005,0.2031,0.4219,0.7969,1.676,-2.45,0.01423,True
,Hand Of Justice + Quicksilver + Strikers Flail,55,0.0007802082446733055,3.0,3.555,-0.022,-0.576,-0.085,0.0,0.1036,0.2909,0.4727,0.8,1.859,-2.3,0.02153,False
,Emblem Rapidfire + Steraks Gage + Titans Resolve,67,0.0009504354980565722,3.104,3.555,-0.021,-0.472,-0.045,0.0,0.0798,0.1642,0.5075,0.7761,1.78,-2.17,0.03011,False
,Emblem Vanguard + Edge Of Night + Steraks Gage,102,0.0014469316537577667,3.275,3.556,-0.02,-0.302,0.0,0.0,0.0683,0.1078,0.3725,0.7647,1.579,-1.93,0.05381,False
,Hand Of Justice + Last Whisper + Quicksilver,64,0.0009078786847107555,3.109,3.556,-0.02,-0.467,0.0,0.0,0.0536,0.25,0.5,0.75,1.969,-1.9,0.05797,False
,Infinity Edge + Last Whisper + Quicksilver,59,0.0008369506624677277,3.068,3.556,-0.02,-0.509,-0.068,0.0,0.0664,0.2034,0.4407,0.7627,1.726,-2.26,0.02369,False
,Bloodthirster + Edge Of Night + Evenshroud,43,0.0006099809912900389,2.907,3.556,-0.02,-0.669,-0.188,0.0,0.1409,0.2558,0.4651,0.8372,1.611,-2.72,0.00647,True
,Hand Of Justice + Last Whisper + Steraks Gage,89,0.0012625187959258944,3.258,3.557,-0.019,-0.318,0.0,0.0,0.0902,0.1798,0.382,0.7865,1.796,-1.67,0.09519,False
,Deathblade + Giant Slayer + Hand Of Justice,65,0.0009220642891593611,3.154,3.558,-0.019,-0.422,0.0,0.0,0.0575,0.2308,0.4462,0.7538,1.765,-1.93,0.05375,False
,Deathblade + Edge Of Night + Last Whisper,64,0.0009078786847107555,3.141,3.557,-0.019,-0.436,0.0,0.0,0.0849,0.25,0.4375,0.7812,1.927,-1.81,0.07066,False
,Deathblade + Hand Of Justice + Quicksilver,136,0.0019292422050103555,3.368,3.558,-0.018,-0.209,0.0,0.0,0.0463,0.1471,0.3676,0.7426,1.735,-1.4,0.16135,False
,Quicksilver + Steraks Gage + Steraks Gage,116,0.0016455301160382444,3.345,3.559,-0.018,-0.231,0.0,0.0,0.045,0.1466,0.4397,0.7414,1.839,-1.35,0.17552,False
,Emblem Vanguard + Steraks Gage + Titans Resolve,52,0.0007376514313274889,3.058,3.558,-0.018,-0.519,-0.014,0.0,0.0921,0.2692,0.5,0.7885,1.854,-2.02,0.04381,False
