group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Emblem Blackthorn,978,0.013440712440217691,3.008,3.338,-0.221,-0.551,-0.433,0.003,0.0905,0.2423,0.5092,0.7894,1.863,-9.18,0.0,True
pepite,Emblem Rapidfire,1905,0.026180528832939365,3.225,3.37,-0.189,-0.334,-0.252,0.005,0.0634,0.1885,0.4152,0.7622,1.795,-8.0,0.0,True
populaire,Quicksilver,17632,0.2423176295970535,3.382,3.396,-0.163,-0.177,-0.146,0.0395,0.033,0.1699,0.384,0.7318,1.851,-11.32,0.0,True
populaire,Deathblade,6784,0.09323291737672475,3.385,3.416,-0.143,-0.174,-0.128,0.0133,0.0386,0.1616,0.3809,0.7375,1.839,-7.42,0.0,True
pepite,Emblem Vanguard,1183,0.016258039689956573,3.247,3.419,-0.14,-0.312,-0.211,0.0023,0.067,0.1708,0.4032,0.7658,1.757,-6.05,0.0,True
pepite,Evenshroud,529,0.007270078610301798,3.087,3.433,-0.126,-0.472,-0.318,0.0009,0.0838,0.225,0.4594,0.7826,1.795,-6.02,0.0,True
populaire,Last Whisper,3156,0.04337309658622396,3.393,3.445,-0.113,-0.166,-0.099,0.0049,0.0303,0.1638,0.3853,0.7291,1.863,-4.89,0.0,True
pepite,Hextech Gunblade,1427,0.019611346270133584,3.339,3.45,-0.109,-0.22,-0.125,0.0021,0.0524,0.1591,0.3903,0.7512,1.795,-4.57,0.0,True
populaire,Edge Of Night,22053,0.30307569677312957,3.454,3.46,-0.099,-0.105,-0.077,0.0299,0.0208,0.1597,0.3664,0.7196,1.858,-7.33,0.0,True
populaire,Giant Slayer,9954,0.13679841679951624,3.447,3.461,-0.098,-0.112,-0.072,0.0134,0.0153,0.1688,0.3763,0.7141,1.887,-5.55,0.0,True
