group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
,Zhonyas Paradox,91,0.0011846336097478423,3.659,3.637,0.001,0.024,0.0,-0.0,-0.0463,0.1978,0.3187,0.6374,1.968,0.12,0.90839,False
,Wits End,139,0.0018094952940104405,3.799,3.649,0.014,0.163,0.0,-0.0,-0.0218,0.1367,0.3165,0.6619,2.061,0.93,0.35153,False
,Gamblers Blade,70,0.0009112566228829555,4.214,3.661,0.025,0.579,0.145,-0.0,-0.0694,0.0429,0.2286,0.6143,1.851,2.61,0.00893,True
populaire,Gold Collector,250,0.0032544879388676983,3.912,3.674,0.039,0.276,0.031,-0.0001,-0.0676,0.1,0.308,0.616,1.98,2.2,0.02752,True
,Navori Flickerblade,106,0.0013799028860799042,4.34,3.681,0.045,0.704,0.375,-0.0001,-0.127,0.0566,0.1415,0.5566,1.726,4.2,3e-05,True
,Artifact Talisman Of Ascension,134,0.0017444055352330865,4.328,3.691,0.056,0.693,0.372,-0.0001,-0.1538,0.0448,0.1866,0.5299,1.892,4.24,2e-05,True
populaire,Mittens,807,0.010505487066664931,3.819,3.699,0.063,0.183,0.051,-0.0007,-0.0343,0.1128,0.2912,0.6493,1.914,2.71,0.00675,True
populaire,Rapid Fire Cannon,454,0.005910150096983741,3.914,3.699,0.064,0.279,0.098,-0.0004,-0.0581,0.1145,0.2731,0.6256,1.952,3.03,0.00243,True
populaire,Fishbones,267,0.003475793118710702,4.127,3.708,0.073,0.492,0.251,-0.0003,-0.1069,0.1086,0.2434,0.5768,2.007,4.0,6e-05,True
,Seekers Armguard,160,0.0020828722808753273,4.412,3.709,0.073,0.777,0.488,-0.0002,-0.1836,0.0625,0.1812,0.5,1.862,5.27,0.0,True
populaire,Hullcrusher,245,0.0031893981800903445,4.171,3.709,0.074,0.536,0.285,-0.0002,-0.104,0.0939,0.2204,0.5796,1.997,4.19,3e-05,True
populaire,Hellfire Hatchet,994,0.012939844044937969,3.845,3.718,0.082,0.209,0.09,-0.0011,-0.0508,0.1107,0.2877,0.6328,1.911,3.44,0.00059,True
populaire,Silvermere Dawn,400,0.0052071807021883175,4.067,3.725,0.089,0.432,0.238,-0.0005,-0.1061,0.095,0.275,0.5775,1.971,4.37,1e-05,True
populaire,Titanic Hydra,886,0.011533905255347124,3.928,3.742,0.107,0.292,0.167,-0.0012,-0.0426,0.1016,0.2585,0.6411,1.887,4.58,0.0,True
populaire,Infinity Force,1178,0.015335147167944596,3.975,3.783,0.147,0.34,0.226,-0.0023,-0.0538,0.1053,0.2691,0.6299,1.979,5.85,0.0,True
populaire,Deaths Defiance,1053,0.013707903198510746,4.321,3.914,0.279,0.685,0.569,-0.0038,-0.13,0.0807,0.1871,0.5537,1.909,11.57,0.0,True
