group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Quicksilver,10186,0.25888931249205743,3.548,3.564,-0.209,-0.225,-0.184,0.054,0.047,0.137,0.3411,0.7076,1.847,-10.89,0.0,True
populaire,Giant Slayer,7109,0.18068369551404245,3.638,3.651,-0.121,-0.135,-0.087,0.0219,0.0254,0.136,0.3286,0.686,1.893,-5.52,0.0,True
populaire,Edge Of Night,14135,0.3592578472486974,3.657,3.663,-0.11,-0.116,-0.08,0.0394,0.0257,0.1283,0.3208,0.6863,1.88,-6.28,0.0,True
pepite,Hextech Gunblade,1395,0.035455585207777356,3.635,3.685,-0.088,-0.137,-0.036,0.0031,0.0247,0.1369,0.3312,0.6853,1.892,-2.66,0.00772,True
populaire,Deathblade,5206,0.13231668572880925,3.681,3.693,-0.079,-0.091,-0.036,0.0105,0.0201,0.1283,0.3187,0.6808,1.904,-3.25,0.00113,True
populaire,Steraks Gage,13708,0.34840513407040286,3.69,3.695,-0.078,-0.082,-0.046,0.0271,0.0176,0.1198,0.3081,0.6782,1.858,-4.45,1e-05,True
pepite,Red Buff,770,0.019570466387088575,3.619,3.697,-0.076,-0.153,-0.02,0.0015,0.0524,0.1182,0.3208,0.713,1.857,-2.26,0.02366,True
pepite,Evenshroud,577,0.01466514169525988,3.603,3.701,-0.072,-0.169,-0.01,0.0011,0.0274,0.1525,0.3501,0.688,1.935,-2.09,0.03686,True
pepite,Krakens Fury,730,0.018553818782564492,3.637,3.707,-0.065,-0.135,0.0,0.0012,0.0257,0.1466,0.3192,0.6863,1.938,-1.87,0.06119,True
pepite,Strikers Flail,1857,0.0471978650400305,3.75,3.757,-0.016,-0.022,0.0,0.0007,0.0023,0.1072,0.3026,0.6629,1.879,-0.5,0.61747,False
pepite,Adaptive Helm,345,0.008768585589020206,3.739,3.762,-0.01,-0.033,0.0,0.0001,0.006,0.1391,0.2899,0.6667,1.878,-0.33,0.74301,False
,Last Whisper,2183,0.05548354301690177,3.767,3.769,-0.004,-0.005,0.0,0.0002,0.0041,0.115,0.2955,0.6647,1.892,-0.12,0.90183,False
,Steadfast Heart,282,0.007167365611894777,3.773,3.773,0.0,0.001,0.0,-0.0,0.006,0.1028,0.305,0.6667,1.888,0.01,0.99557,False
,Morellonomicon,108,0.002744948532215021,3.778,3.773,0.001,0.005,0.0,-0.0,-0.031,0.1389,0.2963,0.6296,1.902,0.03,0.97669,False
,Ionic Spark,161,0.0040920066082094295,3.814,3.779,0.007,0.041,0.0,-0.0,0.0288,0.087,0.2671,0.6894,1.815,0.29,0.7736,False
,Nashors Tooth,103,0.0026178675816495105,3.835,3.78,0.007,0.063,0.0,-0.0,-0.0393,0.0971,0.2816,0.6214,1.906,0.33,0.7395,False
,Tacticians Crown,278,0.007065700851442369,3.806,3.781,0.009,0.033,0.0,-0.0001,0.0084,0.1007,0.2878,0.6691,1.856,0.3,0.76542,False
,Sunfire Cape,423,0.010751048417842166,3.816,3.788,0.015,0.043,0.0,-0.0002,0.0013,0.1017,0.2884,0.6619,1.869,0.47,0.63652,False
,Archangels Staff,40,0.001016647604524082,4.175,3.792,0.019,0.403,0.0,-0.0,-0.0606,0.075,0.2,0.6,1.815,1.4,0.16091,False
,Bramble Vest,144,0.0036599313762866945,3.903,3.793,0.02,0.13,0.0,-0.0001,-0.0356,0.0694,0.2917,0.625,1.861,0.84,0.40145,False
,Rabadons Deathcap,51,0.0012962256957682044,4.176,3.797,0.025,0.404,0.0,-0.0,-0.0724,0.0588,0.2157,0.5882,1.896,1.52,0.12836,False
,Void Staff,57,0.0014487228364468167,4.14,3.797,0.025,0.368,0.0,-0.0,-0.0817,0.0877,0.2105,0.5789,1.933,1.44,0.15089,False
,Crownguard,140,0.0035582666158342864,3.943,3.798,0.026,0.17,0.0,-0.0001,-0.0392,0.1,0.2929,0.6214,2.035,0.99,0.32235,False
,Blue Buff,271,0.006887787520650655,3.878,3.8,0.027,0.106,0.0,-0.0002,-0.0186,0.107,0.2804,0.6421,1.908,0.91,0.36302,False
,Component Tear Of The Goddess,79,0.0020078790189350616,4.101,3.802,0.03,0.329,0.0,-0.0001,-0.0657,0.1266,0.2278,0.5949,1.965,1.49,0.13736,False
,Component Needlessly Large Rod,57,0.0014487228364468167,4.228,3.803,0.031,0.456,0.0,-0.0,-0.0817,0.0702,0.2105,0.5789,1.91,1.8,0.07196,False
,Dragons Claw,177,0.004498665650019062,4.068,3.827,0.054,0.295,0.001,-0.0002,-0.0617,0.0847,0.2599,0.5989,1.996,1.96,0.04944,True
,Component Giants Belt,198,0.005032405642394205,4.051,3.828,0.056,0.278,0.005,-0.0003,-0.0546,0.0909,0.2475,0.6061,1.956,2.0,0.04595,True
populaire,Guinsoos Rageblade,2798,0.07111449993645952,3.864,3.844,0.071,0.091,0.019,-0.0051,-0.0223,0.1058,0.2756,0.6383,1.888,2.48,0.01332,True
,Protectors Vow,236,0.005998220866692083,4.081,3.844,0.071,0.308,0.066,-0.0004,-0.0759,0.0975,0.25,0.5847,1.895,2.49,0.01277,True
populaire,Titans Resolve,9662,0.24557122887279198,3.852,3.846,0.074,0.08,0.039,-0.0182,-0.0137,0.0994,0.2692,0.647,1.842,3.81,0.00014,True
populaire,Hand Of Justice,8242,0.20948023891218706,3.855,3.848,0.076,0.083,0.039,-0.0159,-0.0174,0.1007,0.2708,0.6432,1.863,3.67,0.00024,True
populaire,Bloodthirster,13721,0.34873554454187317,3.855,3.85,0.078,0.083,0.046,-0.0272,-0.0126,0.0993,0.2704,0.648,1.852,4.47,1e-05,True
,Component Negatron Cloak,160,0.004066590418096328,4.338,3.868,0.095,0.565,0.29,-0.0004,-0.1231,0.0625,0.1625,0.5375,1.771,4.03,6e-05,True
,Jeweled Gauntlet,133,0.003380353285042572,4.444,3.869,0.097,0.671,0.316,-0.0003,-0.1719,0.0902,0.218,0.4887,2.09,3.7,0.00022,True
,Component Chain Vest,163,0.004142838988435633,4.368,3.875,0.102,0.596,0.296,-0.0004,-0.1453,0.0798,0.2147,0.5153,1.947,3.9,0.0001,True
,Component Recurve Bow,296,0.007523192273478206,4.203,3.89,0.118,0.43,0.202,-0.0009,-0.0728,0.0709,0.2264,0.5878,1.993,3.7,0.00021,True
,Warmogs Armor,409,0.010395221756258738,4.139,3.898,0.125,0.367,0.177,-0.0013,-0.0836,0.0978,0.22,0.577,1.946,3.79,0.00015,True
,Component Sparring Gloves,249,0.006328631338162409,4.325,3.905,0.133,0.553,0.3,-0.0008,-0.1305,0.0964,0.2289,0.5301,2.029,4.29,2e-05,True
,Spirit Visage,293,0.0074469437031389,4.276,3.909,0.137,0.504,0.277,-0.001,-0.0838,0.0751,0.2116,0.5768,1.978,4.35,1e-05,True
populaire,Infinity Edge,6821,0.17336383276146905,3.928,3.912,0.14,0.156,0.106,-0.0242,-0.0414,0.1045,0.2752,0.6193,1.926,6.18,0.0,True
,Component B F Sword,440,0.0111831236497649,4.259,3.947,0.175,0.487,0.304,-0.002,-0.0947,0.075,0.2114,0.5659,1.946,5.22,0.0,True
,Spear Of Shojin,375,0.009531071292413268,4.325,3.951,0.178,0.553,0.345,-0.0017,-0.1166,0.0693,0.2373,0.544,2.041,5.22,0.0,True
