group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Rapidfire,1171,0.03827672997090838,3.354,3.428,-0.142,-0.216,-0.109,0.0054,0.038,0.1674,0.386,0.7353,1.845,-3.94,8e-05,True
populaire,Emblem Vanguard,929,0.030366423691694178,3.39,3.461,-0.109,-0.18,-0.06,0.0033,0.0412,0.1582,0.3811,0.7384,1.836,-2.95,0.00321,True
populaire,Emblem Brawler,270,0.0088255483280489,3.419,3.524,-0.046,-0.152,0.0,0.0004,0.0287,0.1407,0.3741,0.7259,1.797,-1.38,0.16792,False
pepite,Emblem Juggernaut,108,0.00353021933121956,3.389,3.543,-0.027,-0.181,0.0,0.0001,0.0065,0.2315,0.3611,0.7037,1.919,-0.98,0.32739,False
populaire,Emblem Blackthorn,306,0.010002288105122086,3.533,3.558,-0.012,-0.037,0.0,0.0001,-0.0077,0.1275,0.3725,0.6895,1.849,-0.35,0.72517,False
pepite,Emblem Elderwood,74,0.002418853986205995,3.473,3.56,-0.01,-0.097,0.0,0.0,0.0055,0.2297,0.3514,0.7027,2.008,-0.42,0.67791,False
,Emblem Fae,76,0.0024842284182656164,3.566,3.57,-0.0,-0.004,0.0,0.0,-0.0394,0.2105,0.3816,0.6579,2.028,-0.02,0.98547,False
,Emblem Defender,87,0.0028437877945935346,3.575,3.571,0.001,0.005,0.0,-0.0,0.0269,0.1149,0.3448,0.7241,1.855,0.02,0.98125,False
,Emblem Flora Fatalis,46,0.001503611937371294,3.739,3.582,0.012,0.169,0.0,-0.0,-0.0233,0.1087,0.2391,0.6739,1.762,0.65,0.51556,False
populaire,Emblem Executioner,158,0.0051645801327100975,3.652,3.587,0.017,0.082,0.0,-0.0001,-0.0454,0.1266,0.3228,0.6519,1.817,0.56,0.5723,False
,Emblem Blossom,42,0.0013728630732520511,4.0,3.598,0.028,0.43,0.0,-0.0,-0.102,0.119,0.2381,0.5952,1.759,1.58,0.11351,False
populaire,Emblem Lunar,531,0.017356911711829504,3.655,3.61,0.04,0.085,0.0,-0.0007,-0.0099,0.1337,0.3352,0.6874,1.93,1.01,0.31223,False
populaire,Emblem Hunter,260,0.008498676167750793,3.746,3.623,0.053,0.176,0.0,-0.0004,-0.028,0.1462,0.3115,0.6692,1.931,1.46,0.14293,False
populaire,Emblem Inferno,144,0.0047069591082927464,4.007,3.653,0.083,0.437,0.125,-0.0004,-0.1,0.1111,0.25,0.5972,1.906,2.74,0.00605,True
,Emblem Sprykin,62,0.0020266073938482658,4.484,3.654,0.084,0.914,0.396,-0.0002,-0.1327,0.0484,0.1935,0.5645,2.077,3.46,0.00054,True
populaire,Emblem Primal,198,0.006472068773902526,4.081,3.695,0.125,0.511,0.254,-0.0008,-0.1164,0.0909,0.2273,0.5808,1.838,3.9,0.0001,True
populaire,Emblem Invoker,197,0.006439381557872716,4.284,3.744,0.174,0.714,0.434,-0.0011,-0.144,0.0761,0.2284,0.5533,2.003,4.99,0.0,True
