group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Quicksilver + Steraks Gage,4948,0.06923668928846288,3.389,3.451,-0.215,-0.277,-0.224,0.0149,0.0604,0.1514,0.3757,0.7391,1.803,-10.4,0.0,True
pepite,Giant Slayer + Steraks Gage,2418,0.03383474428041699,3.333,3.456,-0.209,-0.333,-0.259,0.0071,0.0657,0.1675,0.3916,0.7444,1.827,-8.81,0.0,True
populaire,Edge Of Night + Quicksilver,7321,0.1024417547051004,3.458,3.492,-0.174,-0.207,-0.162,0.0178,0.0432,0.1612,0.3639,0.7219,1.864,-9.05,0.0,True
pepite,Hand Of Justice + Quicksilver,2243,0.03138599314349682,3.384,3.494,-0.172,-0.281,-0.207,0.0054,0.0645,0.1436,0.3665,0.7432,1.768,-7.41,0.0,True
populaire,Giant Slayer + Quicksilver,4501,0.0629818792415868,3.451,3.503,-0.163,-0.215,-0.158,0.0103,0.0367,0.1686,0.3744,0.7154,1.894,-7.37,0.0,True
pepite,Deathblade + Steraks Gage,1985,0.027775834324494507,3.403,3.513,-0.153,-0.263,-0.18,0.0042,0.0457,0.1657,0.3748,0.7244,1.846,-6.25,0.0,True
pepite,Deathblade + Quicksilver,1755,0.024557475687399428,3.391,3.515,-0.151,-0.274,-0.186,0.0037,0.0529,0.1726,0.3812,0.7316,1.867,-6.08,0.0,True
populaire,Edge Of Night + Steraks Gage,6034,0.08443293920100749,3.498,3.53,-0.136,-0.168,-0.119,0.0115,0.0366,0.149,0.3542,0.7153,1.855,-6.74,0.0,True
pepite,Deathblade + Edge Of Night,2906,0.040663261736514376,3.481,3.542,-0.124,-0.184,-0.116,0.005,0.0443,0.1459,0.3582,0.723,1.854,-5.25,0.0,True
pepite,Emblem Vanguard + Steraks Gage,399,0.005583152592177989,3.143,3.552,-0.114,-0.523,-0.341,0.0006,0.0782,0.2155,0.4536,0.7569,1.848,-5.64,0.0,True
populaire,Edge Of Night + Giant Slayer,5254,0.0735185055621633,3.523,3.554,-0.112,-0.142,-0.089,0.0082,0.0259,0.1601,0.3565,0.7046,1.905,-5.23,0.0,True
,Emblem Blackthorn + Quicksilver,211,0.002952494227943749,2.791,3.553,-0.112,-0.874,-0.638,0.0003,0.1507,0.2796,0.545,0.8294,1.745,-7.26,0.0,True
,Deathblade + Giant Slayer,995,0.013922899321346114,3.395,3.555,-0.111,-0.271,-0.156,0.0015,0.063,0.1477,0.3789,0.7417,1.828,-4.64,0.0,True
,Hextech Gunblade + Quicksilver,368,0.00514937381935213,3.128,3.556,-0.11,-0.538,-0.355,0.0006,0.1039,0.2092,0.4348,0.7826,1.785,-5.76,0.0,True
,Emblem Rapidfire + Steraks Gage,561,0.00784999650178409,3.28,3.557,-0.109,-0.386,-0.236,0.0009,0.0735,0.1854,0.3975,0.7522,1.806,-5.04,0.0,True
,Bloodthirster + Quicksilver,3386,0.047379836283495416,3.523,3.565,-0.101,-0.143,-0.081,0.0048,0.0401,0.1276,0.3376,0.7188,1.8,-4.51,1e-05,True
,Infinity Edge + Quicksilver,1609,0.02251451759602603,3.474,3.564,-0.101,-0.192,-0.099,0.0023,0.0267,0.1585,0.3748,0.7054,1.883,-4.04,5e-05,True
,Last Whisper + Quicksilver,598,0.008367732456447213,3.333,3.568,-0.098,-0.333,-0.186,0.0008,0.0738,0.1672,0.3896,0.7525,1.829,-4.43,1e-05,True
,Emblem Rapidfire + Edge Of Night,584,0.008171832365493598,3.346,3.573,-0.093,-0.32,-0.173,0.0008,0.0799,0.1695,0.3733,0.7586,1.803,-4.27,2e-05,True
,Emblem Blackthorn + Steraks Gage,228,0.0031903729098159937,3.004,3.575,-0.091,-0.661,-0.42,0.0003,0.1239,0.2675,0.4825,0.8026,1.856,-5.37,0.0,True
,Emblem Blackthorn + Edge Of Night,203,0.002840551318827398,2.98,3.581,-0.085,-0.685,-0.428,0.0002,0.1095,0.2463,0.5074,0.7882,1.867,-5.22,0.0,True
,Emblem Vanguard + Bloodthirster,347,0.00485552368292171,3.271,3.589,-0.077,-0.395,-0.201,0.0004,0.0735,0.1988,0.4006,0.7522,1.838,-3.99,7e-05,True
,Emblem Rapidfire + Quicksilver,364,0.005093402364793955,3.316,3.595,-0.071,-0.35,-0.168,0.0004,0.0658,0.1703,0.3819,0.7445,1.769,-3.76,0.00017,True
,Edge Of Night + Last Whisper,762,0.010662562093332401,3.463,3.595,-0.07,-0.203,-0.066,0.0008,0.0273,0.1549,0.3911,0.706,1.908,-2.91,0.00357,True
,Quicksilver + Strikers Flail,448,0.006268802910515637,3.377,3.597,-0.069,-0.289,-0.123,0.0004,0.0378,0.1629,0.3728,0.7165,1.782,-3.41,0.00064,True
,Krakens Fury + Quicksilver,141,0.0019729937731756803,2.922,3.599,-0.067,-0.744,-0.472,0.0001,0.1511,0.2199,0.4752,0.8298,1.642,-5.37,0.0,True
,Bloodthirster + Deathblade,1759,0.024613447141957602,3.546,3.6,-0.066,-0.119,-0.033,0.0016,0.0348,0.1359,0.3383,0.7135,1.837,-2.69,0.00708,True
,Giant Slayer + Guinsoos Rageblade,388,0.005429231092143007,3.358,3.6,-0.066,-0.308,-0.134,0.0004,0.0455,0.134,0.3892,0.7242,1.739,-3.47,0.00052,True
,Guinsoos Rageblade + Steraks Gage,842,0.011781991184495907,3.495,3.603,-0.063,-0.171,-0.047,0.0007,0.0291,0.1544,0.3409,0.7078,1.814,-2.71,0.00671,True
,Emblem Vanguard + Quicksilver,280,0.0039180018190722735,3.293,3.605,-0.061,-0.373,-0.152,0.0002,0.0499,0.1857,0.4321,0.7286,1.886,-3.3,0.00096,True
,Emblem Vanguard + Edge Of Night,326,0.004561673546491289,3.344,3.606,-0.06,-0.322,-0.123,0.0003,0.0636,0.1595,0.3988,0.7423,1.83,-3.17,0.00151,True
,Quicksilver + Titans Resolve,1317,0.018428601413279226,3.542,3.606,-0.059,-0.124,-0.024,0.0011,0.032,0.139,0.3318,0.7107,1.833,-2.42,0.01535,True
,Red Buff + Steraks Gage,192,0.0026866298187924157,3.177,3.608,-0.058,-0.489,-0.24,0.0002,0.1182,0.1771,0.4219,0.7969,1.753,-3.86,0.00011,True
,Giant Slayer + Last Whisper,423,0.005918981319527041,3.418,3.609,-0.056,-0.247,-0.069,0.0003,0.0636,0.1608,0.3806,0.7423,1.87,-2.71,0.00668,True
,Edge Of Night + Strikers Flail,617,0.008633596865598545,3.483,3.611,-0.055,-0.183,-0.035,0.0005,0.0344,0.1442,0.3598,0.7131,1.864,-2.43,0.0153,True
,Giant Slayer + Hextech Gunblade,264,0.003694116000839572,3.322,3.612,-0.054,-0.344,-0.134,0.0002,0.0751,0.1667,0.3712,0.7538,1.736,-3.21,0.00132,True
,Bloodthirster + Red Buff,253,0.0035401945008045896,3.312,3.613,-0.053,-0.354,-0.136,0.0002,0.1237,0.1383,0.3874,0.8024,1.763,-3.18,0.00146,True
,Emblem Blackthorn + Hand Of Justice,210,0.002938501364304205,3.257,3.613,-0.052,-0.409,-0.138,0.0002,0.0832,0.2333,0.4429,0.7619,2.0,-2.96,0.00311,True
,Emblem Blackthorn + Deathblade,77,0.001077450500244875,2.688,3.616,-0.05,-0.977,-0.568,0.0001,0.1395,0.3377,0.5714,0.8182,1.832,-4.68,0.0,True
,Giant Slayer + Hand Of Justice,1446,0.020233680822780382,3.569,3.617,-0.049,-0.097,-0.0,0.001,0.0267,0.1355,0.3389,0.7054,1.854,-1.96,0.04978,False
,Edge Of Night + Hextech Gunblade,440,0.006156860001399286,3.459,3.617,-0.049,-0.207,-0.028,0.0003,0.0508,0.1614,0.3818,0.7295,1.908,-2.27,0.02345,True
,Emblem Vanguard + Giant Slayer,141,0.0019729937731756803,3.135,3.618,-0.048,-0.531,-0.222,0.0001,0.1014,0.2624,0.4255,0.7801,1.873,-3.36,0.00077,True
,Guinsoos Rageblade + Quicksilver,543,0.007598124956272301,3.497,3.619,-0.046,-0.169,-0.013,0.0004,0.0377,0.1621,0.3499,0.7164,1.839,-2.13,0.03337,True
,Edge Of Night + Krakens Fury,201,0.0028125655915483103,3.294,3.62,-0.046,-0.372,-0.114,0.0001,0.0924,0.1791,0.3881,0.7711,1.863,-2.83,0.00467,True
,Krakens Fury + Steraks Gage,169,0.0023647939550829077,3.231,3.62,-0.046,-0.435,-0.175,0.0001,0.126,0.142,0.4024,0.8047,1.72,-3.28,0.00103,True
,Deathblade + Titans Resolve,936,0.013097320366613027,3.554,3.622,-0.044,-0.111,0.0,0.0006,0.0221,0.1346,0.3344,0.7009,1.829,-1.85,0.06447,False
,Hextech Gunblade + Steraks Gage,455,0.006366752955992444,3.484,3.622,-0.044,-0.182,-0.012,0.0003,0.018,0.1516,0.3604,0.6967,1.842,-2.1,0.03539,True
,Bloodthirster + Hextech Gunblade,260,0.0036381445462813967,3.388,3.623,-0.043,-0.277,-0.059,0.0002,0.0521,0.1385,0.3962,0.7308,1.793,-2.49,0.0128,True
,Emblem Blackthorn + Giant Slayer,75,0.0010494647729657875,2.813,3.623,-0.043,-0.852,-0.43,0.0,0.1346,0.32,0.52,0.8133,1.867,-3.95,8e-05,True
,Edge Of Night + Titans Resolve,3022,0.04228643391870146,3.604,3.624,-0.042,-0.062,0.0,0.0018,0.0169,0.1317,0.3299,0.6956,1.859,-1.78,0.07483,False
,Edge Of Night + Guinsoos Rageblade,718,0.010046876093192473,3.542,3.624,-0.041,-0.124,0.0,0.0004,0.0177,0.1421,0.3496,0.6964,1.846,-1.79,0.07332,False
,Emblem Rapidfire + Bloodthirster,425,0.0059469670468061285,3.487,3.625,-0.041,-0.179,-0.007,0.0002,0.0319,0.1318,0.3576,0.7106,1.805,-2.04,0.04184,True
,Emblem Vanguard + Hand Of Justice,160,0.002238858182327013,3.256,3.625,-0.041,-0.41,-0.14,0.0001,0.1088,0.1437,0.4062,0.7875,1.74,-2.97,0.00295,True
,Deathblade + Last Whisper,344,0.004813545092003079,3.477,3.629,-0.037,-0.189,0.0,0.0002,0.019,0.1512,0.3721,0.6977,1.888,-1.85,0.06388,False
,Bloodthirster + Krakens Fury,196,0.002742601273350591,3.367,3.63,-0.036,-0.298,-0.056,0.0001,0.0662,0.1276,0.3827,0.7449,1.728,-2.41,0.0158,True
,Emblem Vanguard + Infinity Edge,109,0.0015252221367102778,3.174,3.631,-0.035,-0.491,-0.173,0.0001,0.0736,0.1651,0.4312,0.7523,1.696,-3.02,0.00251,True
,Last Whisper + Steraks Gage,813,0.011376198138949136,3.571,3.631,-0.034,-0.095,0.0,0.0004,0.0113,0.1464,0.3616,0.69,1.935,-1.39,0.16346,False
,Emblem Blackthorn + Bloodthirster,260,0.0036381445462813967,3.442,3.631,-0.034,-0.223,0.0,0.0001,0.0213,0.1962,0.3885,0.7,1.946,-1.85,0.06445,False
