group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Riftbeast,4728,0.061548875899865914,2.393,2.698,-0.938,-1.243,-1.203,0.0577,0.2398,0.3012,0.6074,0.9234,1.321,-60.95,0.0,True
pepite,Blackthorn,8527,0.11100407461889947,2.724,2.863,-0.772,-0.911,-0.877,0.0857,0.186,0.2091,0.5381,0.8696,1.493,-51.92,0.0,True
pepite,Battlemage,12739,0.16583568741294244,2.939,3.014,-0.622,-0.697,-0.664,0.1031,0.1371,0.1999,0.4995,0.8207,1.685,-42.42,0.0,True
populaire,Brawler,17780,0.23145918221227071,3.003,3.053,-0.583,-0.633,-0.604,0.1349,0.1232,0.2043,0.4773,0.8068,1.717,-43.42,0.0,True
pepite,Blackthorn,2078,0.02705130374786831,2.656,3.072,-0.563,-0.98,-0.906,0.0152,0.1643,0.2916,0.5914,0.8479,1.697,-25.89,0.0,True
pepite,Slayer,12122,0.15780361117981698,3.02,3.09,-0.546,-0.615,-0.582,0.0862,0.1212,0.1959,0.4757,0.8048,1.725,-36.0,0.0,True
pepite,Alune Unique Trait,12615,0.16422146139526406,3.064,3.126,-0.51,-0.572,-0.538,0.0837,0.1057,0.2209,0.4636,0.7894,1.797,-32.86,0.0,True
populaire,Emerald,28691,0.37349805381621254,3.124,3.15,-0.485,-0.511,-0.487,0.1813,0.099,0.2027,0.4441,0.7827,1.785,-40.69,0.0,True
,Lux Unique Trait,5419,0.07054428056289623,3.054,3.182,-0.453,-0.582,-0.531,0.032,0.0993,0.2321,0.4839,0.783,1.851,-22.32,0.0,True
,Lunar,5707,0.07429345066847182,3.165,3.265,-0.37,-0.47,-0.423,0.0275,0.0965,0.18,0.4258,0.7801,1.747,-19.5,0.0,True
,Lunar,1687,0.02196128461147923,2.956,3.28,-0.356,-0.68,-0.599,0.0078,0.1332,0.2057,0.4855,0.8168,1.671,-16.49,0.0,True
,Greenfather,8627,0.11230586979444654,3.218,3.281,-0.355,-0.418,-0.376,0.0398,0.0753,0.2055,0.4299,0.7589,1.863,-19.71,0.0,True
