group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Alune,10430,0.2568649181135328,2.937,2.984,-0.609,-0.656,-0.618,0.1564,0.1209,0.2352,0.4907,0.8138,1.743,-33.73,0.0,True
pepite,Lux Base,3147,0.07750277059475434,2.874,3.022,-0.572,-0.719,-0.656,0.0443,0.1257,0.2533,0.5132,0.8186,1.741,-22.19,0.0,True
populaire,Taric,19388,0.47747814308582687,3.016,3.039,-0.554,-0.577,-0.547,0.2644,0.113,0.2119,0.4633,0.8059,1.729,-37.12,0.0,True
pepite,Gnar Small,2492,0.061371752247260186,2.993,3.141,-0.453,-0.6,-0.528,0.0278,0.1008,0.2428,0.4807,0.7937,1.783,-16.26,0.0,True
pepite,Ivern,4180,0.1029429873168329,3.053,3.141,-0.453,-0.541,-0.483,0.0466,0.0956,0.2294,0.4639,0.7885,1.794,-18.46,0.0,True
pepite,Rengar,1449,0.03568526043590691,2.908,3.154,-0.439,-0.685,-0.593,0.0157,0.1277,0.245,0.499,0.8206,1.744,-14.65,0.0,True
pepite,Elder Dragon,5641,0.13892377785986948,3.141,3.198,-0.395,-0.452,-0.403,0.0549,0.0855,0.2062,0.4244,0.7784,1.751,-18.0,0.0,True
,Zyra,10778,0.2654352912202931,3.407,3.42,-0.173,-0.186,-0.148,0.0459,0.047,0.1412,0.3616,0.7399,1.782,-9.51,0.0,True
,Maokai,2890,0.07117350080039404,3.408,3.448,-0.145,-0.186,-0.113,0.0103,0.0206,0.1907,0.3945,0.7135,1.919,-5.03,0.0,True
populaire,Aphelios,15760,0.3881295406969585,3.45,3.457,-0.137,-0.144,-0.11,0.053,0.0365,0.1403,0.3591,0.7294,1.815,-8.34,0.0,True
populaire,Hecarim,21285,0.5241965275212412,3.461,3.465,-0.128,-0.133,-0.101,0.067,0.0276,0.1598,0.3691,0.7205,1.886,-8.32,0.0,True
,Teemo,577,0.014210072651151337,3.291,3.468,-0.126,-0.302,-0.153,0.0018,0.0506,0.1629,0.4159,0.7435,1.815,-3.97,7e-05,True
,Kog Maw A D,9765,0.24048762467676393,3.476,3.485,-0.108,-0.117,-0.074,0.026,0.015,0.1765,0.3788,0.7079,1.947,-5.36,0.0,True
,Rek Sai,2201,0.05420514714936584,3.446,3.486,-0.107,-0.147,-0.072,0.0058,0.0404,0.1136,0.3557,0.7333,1.732,-3.86,0.00011,True
populaire,Diana,27949,0.6883142470139145,3.5,3.502,-0.091,-0.093,-0.065,0.0625,0.0188,0.1511,0.3588,0.7117,1.876,-6.4,0.0,True
populaire,Morgana,12803,0.31530599679842386,3.504,3.509,-0.084,-0.089,-0.051,0.0264,0.008,0.176,0.374,0.7009,1.963,-4.53,1e-05,True
,Kennen,1394,0.03433074744489595,3.466,3.513,-0.081,-0.128,-0.029,0.0028,0.0144,0.1528,0.3687,0.7073,1.845,-2.54,0.01109,True
,Azir,2315,0.05701268316709765,3.489,3.516,-0.077,-0.104,-0.029,0.0044,0.0363,0.1145,0.3521,0.7292,1.786,-2.73,0.00643,True
