group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Hand Of Justice + Ionic Spark + Jeweled Gauntlet,264,0.015667655786350147,3.848,4.101,-0.198,-0.451,-0.202,0.0031,0.0573,0.1591,0.3333,0.5947,2.047,-3.55,0.00038,True
populaire,Hand Of Justice + Hand Of Justice + Jeweled Gauntlet,111,0.006587537091988131,3.604,4.127,-0.172,-0.696,-0.331,0.0011,0.1743,0.1171,0.3694,0.7117,1.956,-3.74,0.00019,True
populaire,Hand Of Justice + Jeweled Gauntlet + Rabadons Deathcap,146,0.008664688427299703,3.89,4.176,-0.124,-0.409,-0.084,0.0011,0.0722,0.1233,0.3014,0.6096,1.994,-2.47,0.01358,True
populaire,Edge Of Night + Hand Of Justice + Jeweled Gauntlet,199,0.011810089020771514,4.015,4.194,-0.106,-0.285,0.0,0.0012,0.0254,0.1307,0.3216,0.5628,2.097,-1.9,0.05704,False
pepite,Bloodthirster + Ionic Spark + Titans Resolve,50,0.002967359050445104,3.72,4.225,-0.075,-0.58,0.0,0.0002,0.0826,0.2,0.36,0.62,2.145,-1.91,0.0564,False
pepite,Hand Of Justice + Jeweled Gauntlet + Quicksilver,59,0.0035014836795252227,3.831,4.23,-0.07,-0.469,0.0,0.0002,0.1067,0.1695,0.3729,0.6441,2.279,-1.58,0.11431,False
populaire,Hand Of Justice + Jeweled Gauntlet + Titans Resolve,186,0.011038575667655787,4.14,4.243,-0.057,-0.16,0.0,0.0006,0.0218,0.1237,0.3011,0.5591,2.105,-1.03,0.30309,False
pepite,Bloodthirster + Jeweled Gauntlet + Rabadons Deathcap,42,0.002492581602373887,3.786,4.243,-0.057,-0.514,0.0,0.0001,0.1293,0.1667,0.3333,0.6667,2.133,-1.56,0.11885,False
populaire,Bloodthirster + Hand Of Justice + Jeweled Gauntlet,159,0.00943620178041543,4.132,4.246,-0.054,-0.168,0.0,0.0005,0.0412,0.1384,0.2767,0.5786,2.169,-0.97,0.33222,False
pepite,Hand Of Justice + Ionic Spark + Titans Resolve,49,0.0029080118694362017,3.878,4.246,-0.054,-0.422,0.0,0.0002,0.0749,0.1224,0.3061,0.6122,1.996,-1.48,0.1395,False
