group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Ionic Spark,1231,0.06717965509714036,3.876,3.975,-0.333,-0.432,-0.312,0.0224,0.0857,0.1454,0.3168,0.6223,2.08,-7.04,0.0,True
pepite,Rabadons Deathcap,707,0.03858327876009605,3.827,3.991,-0.316,-0.48,-0.326,0.0122,0.0886,0.1513,0.3168,0.6252,2.047,-6.11,0.0,True
pepite,Hextech Gunblade,397,0.02166557520192098,3.841,4.065,-0.242,-0.466,-0.265,0.0053,0.0806,0.1637,0.2997,0.6171,2.026,-4.53,1e-05,True
pepite,Crownguard,590,0.03219820999781707,3.932,4.076,-0.231,-0.375,-0.204,0.0075,0.0753,0.1441,0.3051,0.6119,2.092,-4.29,2e-05,True
pepite,Adaptive Helm,376,0.02051953721894783,3.88,4.091,-0.216,-0.427,-0.209,0.0044,0.0938,0.1543,0.3271,0.6303,2.139,-3.83,0.00013,True
pepite,Morellonomicon,119,0.00649421523684785,3.521,4.115,-0.193,-0.786,-0.427,0.0013,0.1357,0.2017,0.3866,0.6723,1.991,-4.29,2e-05,True
populaire,Hand Of Justice,3748,0.20454049334206506,4.108,4.126,-0.181,-0.199,-0.126,0.0371,0.0373,0.1203,0.2769,0.5739,2.085,-5.31,0.0,True
pepite,Quicksilver,355,0.01937349923597468,3.983,4.148,-0.16,-0.324,-0.103,0.0031,0.0775,0.1408,0.2958,0.6141,2.11,-2.87,0.00412,True
populaire,Jeweled Gauntlet,3376,0.18423924907225497,4.169,4.183,-0.125,-0.138,-0.061,0.023,0.0212,0.1211,0.2707,0.5578,2.101,-3.51,0.00045,True
,Archangels Staff,354,0.019318925998690242,4.082,4.197,-0.111,-0.226,-0.006,0.0021,0.0341,0.1186,0.2966,0.5706,2.089,-2.01,0.04427,True
,Evenshroud,431,0.02352106526959179,4.121,4.207,-0.101,-0.187,0.0,0.0024,0.069,0.1067,0.2831,0.6056,2.114,-1.81,0.06976,False
populaire,Edge Of Night,1094,0.05970312158917267,4.218,4.241,-0.067,-0.089,0.0,0.004,0.0201,0.1051,0.2578,0.5567,2.091,-1.37,0.17178,False
,Giant Slayer,450,0.02455795677799607,4.187,4.241,-0.067,-0.121,0.0,0.0016,0.0279,0.1156,0.2356,0.5644,2.069,-1.22,0.22139,False
,Emblem Rapidfire,114,0.006221349050425672,4.07,4.251,-0.056,-0.237,0.0,0.0004,0.0599,0.1228,0.2368,0.5965,2.003,-1.26,0.20753,False
populaire,Titans Resolve,2028,0.11067452521283562,4.252,4.26,-0.047,-0.055,0.0,0.0052,0.0093,0.1095,0.2505,0.5459,2.091,-1.13,0.25748,False
,Strikers Flail,386,0.021065269591792186,4.236,4.271,-0.037,-0.072,0.0,0.0008,0.0075,0.1166,0.2565,0.544,2.067,-0.67,0.50023,False
,Wits End,42,0.0022920759659463,3.952,4.271,-0.037,-0.355,0.0,0.0001,0.0587,0.119,0.2857,0.5952,2.011,-1.14,0.25317,False
,Void Staff,115,0.006275922287710107,4.165,4.273,-0.034,-0.142,0.0,0.0002,0.02,0.1391,0.2783,0.5565,2.13,-0.71,0.47531,False
,Seekers Armguard,83,0.004529578694608164,4.265,4.3,-0.008,-0.042,0.0,0.0,0.0177,0.0843,0.2892,0.5542,2.207,-0.17,0.86131,False
populaire,Bloodthirster,2577,0.14063523248199084,4.302,4.302,-0.005,-0.006,0.0,0.0007,-0.0014,0.1087,0.2425,0.5351,2.098,-0.13,0.89287,False
populaire,Sunfire Cape,832,0.045404933420650516,4.331,4.323,0.016,0.023,0.0,-0.0007,0.0091,0.0998,0.2368,0.5457,2.109,0.31,0.75775,False
,Nashors Tooth,176,0.009604889762060686,4.375,4.329,0.022,0.068,0.0,-0.0002,0.0089,0.0909,0.2386,0.5455,2.11,0.42,0.67255,False
,Blue Buff,63,0.00343811394891945,4.54,4.342,0.034,0.232,0.0,-0.0001,-0.0286,0.0794,0.1905,0.5079,1.999,0.92,0.35734,False
,Spear Of Shojin,132,0.007203667321545514,4.5,4.358,0.051,0.193,0.0,-0.0004,-0.029,0.0682,0.1894,0.5076,1.956,1.13,0.2601,False
,Component Sparring Gloves,41,0.002237502728661864,4.854,4.362,0.055,0.546,0.0,-0.0001,-0.1219,0.0732,0.1707,0.4146,2.17,1.61,0.10746,False
,Emblem Spellweaver,83,0.004529578694608164,4.687,4.378,0.07,0.379,0.0,-0.0003,-0.0908,0.0843,0.1928,0.4458,2.088,1.65,0.09873,False
,Steadfast Heart,366,0.01997380484610347,4.473,4.39,0.083,0.165,0.0,-0.0016,0.0017,0.082,0.224,0.5383,2.134,1.47,0.14252,False
,Guinsoos Rageblade,562,0.03067015935385287,4.447,4.392,0.084,0.139,0.0,-0.0026,-0.017,0.0783,0.1975,0.5196,2.03,1.6,0.10986,False
,Component Needlessly Large Rod,54,0.0029469548133595285,4.981,4.394,0.087,0.674,0.134,-0.0003,-0.2032,0.0741,0.1481,0.3333,2.023,2.44,0.01451,True
,Bramble Vest,304,0.016590264134468458,4.503,4.396,0.089,0.196,0.0,-0.0015,-0.053,0.0921,0.2105,0.4836,2.06,1.64,0.10037,False
,Component Giants Belt,62,0.0033835407116350144,5.129,4.426,0.119,0.822,0.296,-0.0004,-0.1817,0.0484,0.1613,0.3548,2.106,3.07,0.00217,True
,Protectors Vow,523,0.02854180309975988,4.514,4.429,0.122,0.207,0.023,-0.0035,-0.0337,0.088,0.2199,0.5029,2.119,2.2,0.02772,True
,Steraks Gage,238,0.0129884304736957,4.714,4.468,0.16,0.407,0.138,-0.0021,-0.0912,0.084,0.1975,0.4454,2.099,2.97,0.00297,True
,Dragons Claw,457,0.02493996943898712,4.654,4.5,0.192,0.347,0.152,-0.0048,-0.1011,0.0919,0.2144,0.4354,2.099,3.49,0.00049,True
populaire,Spirit Visage,886,0.04835188823401004,4.694,4.581,0.274,0.387,0.244,-0.0132,-0.0806,0.0745,0.1941,0.456,2.116,5.31,0.0,True
populaire,Warmogs Armor,1083,0.05910281597904388,4.794,4.671,0.364,0.487,0.362,-0.0215,-0.1035,0.0674,0.157,0.4331,2.023,7.67,0.0,True
populaire,Gargoyle Stoneplate,1506,0.08218729535036018,4.877,4.766,0.458,0.57,0.462,-0.0377,-0.1123,0.0584,0.1567,0.4243,2.04,10.38,0.0,True
