group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Wits End,168,0.0091683038637852,4.054,4.228,-0.08,-0.254,0.0,0.0007,0.0468,0.1071,0.2917,0.5833,2.08,-1.57,0.11526,False
populaire,Infinity Force,160,0.008731717965509714,4.388,4.332,0.024,0.08,0.0,-0.0002,-0.0178,0.1375,0.2437,0.5188,2.214,0.46,0.64873,False
populaire,Zhonyas Paradox,107,0.005839336389434621,4.449,4.339,0.032,0.141,0.0,-0.0002,-0.0319,0.0841,0.215,0.5047,2.088,0.7,0.48574,False
,Dawncore,40,0.0021829294913774284,4.65,4.341,0.034,0.343,0.0,-0.0001,-0.0366,0.0,0.15,0.5,1.905,1.14,0.256,False
,Rapid Fire Cannon,47,0.0025649421523684787,4.66,4.347,0.04,0.352,0.0,-0.0001,-0.0472,0.0638,0.1064,0.4894,1.905,1.27,0.2058,False
,Hellfire Hatchet,49,0.00267408862693735,4.694,4.353,0.046,0.386,0.0,-0.0001,-0.0876,0.102,0.1837,0.449,2.082,1.3,0.19451,False
populaire,Mittens,56,0.0030561012879283997,4.661,4.354,0.047,0.353,0.0,-0.0001,-0.0544,0.0536,0.1786,0.4821,2.124,1.24,0.21391,False
,Artifact Talisman Of Ascension,45,0.002455795677799607,4.889,4.371,0.064,0.581,0.0,-0.0002,-0.1143,0.0667,0.1111,0.4222,2.025,1.92,0.05436,True
populaire,Hullcrusher,52,0.0028378083387906572,4.865,4.377,0.069,0.558,0.011,-0.0002,-0.1327,0.0962,0.0962,0.4038,2.01,2.0,0.04566,True
,Lich Bane,49,0.00267408862693735,4.898,4.377,0.07,0.59,0.001,-0.0002,-0.1488,0.0612,0.1837,0.3878,2.102,1.96,0.04955,True
,Lightshield Crest,50,0.0027286618642217856,5.04,4.395,0.088,0.733,0.206,-0.0002,-0.1766,0.04,0.12,0.36,1.897,2.73,0.00641,True
,Aegis Of Dusk,50,0.0027286618642217856,5.06,4.398,0.09,0.753,0.138,-0.0002,-0.1366,0.1,0.16,0.4,2.213,2.4,0.01632,True
populaire,Forbidden Idol,112,0.0061122025758567995,4.786,4.419,0.112,0.478,0.096,-0.0007,-0.0633,0.0357,0.1786,0.4732,2.059,2.45,0.01428,True
populaire,Seekers Armguard,270,0.014734774066797643,4.589,4.427,0.119,0.281,0.027,-0.0018,-0.0366,0.063,0.2037,0.5,2.12,2.17,0.03036,True
populaire,Moguls Mail,73,0.003983846321763807,5.123,4.443,0.136,0.816,0.356,-0.0005,-0.1804,0.0411,0.1233,0.3562,2.0,3.48,0.00051,True
populaire,The Indomitable,53,0.002892381576075093,5.604,4.471,0.164,1.296,0.777,-0.0005,-0.2535,0.0377,0.0943,0.283,1.926,4.89,0.0,True
populaire,Deaths Defiance,84,0.0045841519318926,5.286,4.49,0.182,0.978,0.551,-0.0008,-0.2151,0.0476,0.119,0.3214,1.991,4.49,1e-05,True
