group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Adaptive Helm,1008,0.0550098231827112,3.904,4.011,-0.296,-0.404,-0.271,0.0163,0.0894,0.1458,0.3145,0.626,2.096,-5.95,0.0,True
populaire,Ionic Spark,2137,0.11662300807683912,3.984,4.031,-0.276,-0.324,-0.23,0.0322,0.0568,0.132,0.3028,0.5934,2.084,-6.79,0.0,True
pepite,Crownguard,1274,0.0695263043003711,3.958,4.036,-0.271,-0.349,-0.23,0.0188,0.078,0.1397,0.3038,0.6146,2.099,-5.74,0.0,True
pepite,Hextech Gunblade,994,0.0542457978607291,3.943,4.041,-0.267,-0.365,-0.234,0.0145,0.0711,0.1388,0.2978,0.6076,2.053,-5.45,0.0,True
pepite,Rabadons Deathcap,1363,0.07438332241868588,4.007,4.071,-0.237,-0.3,-0.185,0.0176,0.0636,0.1313,0.2927,0.6001,2.097,-5.09,0.0,True
pepite,Evenshroud,934,0.05097140362366295,3.991,4.08,-0.227,-0.316,-0.179,0.0116,0.0801,0.1328,0.2976,0.6167,2.088,-4.51,1e-05,True
pepite,Morellonomicon,582,0.031761624099541585,3.986,4.11,-0.197,-0.321,-0.146,0.0063,0.0528,0.1426,0.3162,0.5893,2.122,-3.6,0.00032,True
,Archangels Staff,859,0.046878410827330276,4.1,4.162,-0.145,-0.207,-0.062,0.0068,0.042,0.1222,0.2945,0.5786,2.118,-2.8,0.00505,True
,Quicksilver,852,0.04649639816633923,4.108,4.168,-0.139,-0.199,-0.052,0.0065,0.0479,0.1221,0.2911,0.5845,2.148,-2.65,0.00801,True
,Void Staff,574,0.0313250382012661,4.084,4.171,-0.137,-0.224,-0.05,0.0043,0.068,0.1272,0.2631,0.6045,2.089,-2.53,0.0115,True
populaire,Hand Of Justice,5161,0.2816524776249727,4.168,4.177,-0.13,-0.139,-0.074,0.0366,0.0261,0.1149,0.268,0.5627,2.093,-4.21,3e-05,True
,Tacticians Crown,115,0.006275922287710107,3.8,4.186,-0.121,-0.507,-0.135,0.0008,0.0808,0.1565,0.313,0.6174,2.031,-2.67,0.00758,True
,Red Buff,242,0.013206723422833442,4.025,4.195,-0.112,-0.283,-0.018,0.0015,0.0626,0.1157,0.2975,0.5992,2.085,-2.09,0.03618,True
,Tacticians Cape,41,0.002237502728661864,3.293,4.205,-0.102,-1.015,-0.372,0.0002,0.1708,0.2927,0.439,0.7073,2.098,-3.09,0.00198,True
populaire,Edge Of Night,1839,0.10036018336607727,4.192,4.212,-0.096,-0.115,-0.015,0.0096,0.0197,0.106,0.2681,0.5563,2.09,-2.25,0.02473,True
,Giant Slayer,1020,0.05566470203012443,4.181,4.215,-0.093,-0.126,0.0,0.0052,0.0262,0.1186,0.2559,0.5627,2.09,-1.87,0.06096,True
,Strikers Flail,733,0.04000218292949138,4.173,4.218,-0.089,-0.134,0.0,0.0036,0.0269,0.1105,0.2633,0.5634,2.061,-1.73,0.08429,False
populaire,Titans Resolve,3101,0.16923160881903515,4.219,4.229,-0.079,-0.088,-0.009,0.0133,0.0213,0.1109,0.249,0.5579,2.084,-2.17,0.02975,True
