group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Rapidfire,525,0.02865094957432875,4.055,4.159,-0.149,-0.252,-0.07,0.0043,0.0558,0.1295,0.2876,0.5924,2.096,-2.72,0.00656,True
pepite,Emblem Brawler,219,0.01195153896529142,3.973,4.182,-0.125,-0.335,-0.063,0.0015,0.0525,0.1324,0.3014,0.589,2.04,-2.41,0.01582,True
populaire,Emblem Fae,232,0.012660991049989086,3.996,4.187,-0.121,-0.312,-0.038,0.0015,0.0755,0.1638,0.2931,0.6121,2.114,-2.23,0.02562,True
populaire,Emblem Juggernaut,264,0.014407334643091027,4.049,4.199,-0.108,-0.258,-0.005,0.0016,0.043,0.1364,0.2917,0.5795,2.086,-2.0,0.04584,False
pepite,Emblem Executioner,215,0.011733246016153678,4.121,4.238,-0.069,-0.187,0.0,0.0008,0.0216,0.1721,0.3163,0.5581,2.267,-1.2,0.22999,False
populaire,Emblem Invoker,278,0.015171359965073128,4.317,4.311,0.004,0.009,0.0,-0.0001,-0.015,0.1079,0.2518,0.5216,2.122,0.07,0.94355,False
populaire,Emblem Flora Fatalis,241,0.013152150185549006,4.32,4.312,0.005,0.012,0.0,-0.0001,0.007,0.1162,0.2448,0.5436,2.168,0.09,0.93173,False
populaire,Emblem Spellweaver,513,0.027996070726915522,4.329,4.32,0.013,0.022,0.0,-0.0004,-0.0141,0.117,0.2671,0.5224,2.173,0.23,0.82124,False
populaire,Emblem Blackthorn,242,0.013206723422833442,4.343,4.322,0.014,0.036,0.0,-0.0002,-0.0242,0.1446,0.2727,0.5124,2.225,0.25,0.80511,False
populaire,Emblem Defender,290,0.015826238812486355,4.348,4.325,0.018,0.041,0.0,-0.0003,0.0186,0.1103,0.2276,0.5552,2.173,0.32,0.75095,False
populaire,Emblem Elderwood,243,0.013261296660117878,4.362,4.329,0.022,0.055,0.0,-0.0003,-0.0016,0.1523,0.2469,0.535,2.292,0.37,0.71152,False
,Emblem Inferno,199,0.010860074219602707,4.452,4.358,0.051,0.145,0.0,-0.0006,-0.0391,0.1005,0.2462,0.4975,2.138,0.95,0.34187,False
,Emblem Sprykin,111,0.006057629338572364,4.541,4.362,0.054,0.233,0.0,-0.0003,-0.014,0.0811,0.1622,0.5225,1.99,1.23,0.21879,False
,Emblem Primal,197,0.010750927745033835,4.518,4.381,0.074,0.21,0.0,-0.0008,-0.0645,0.0812,0.2386,0.4721,2.098,1.4,0.16176,False
,Emblem Blossom,185,0.010096048897620606,4.535,4.384,0.076,0.228,0.0,-0.0008,-0.0501,0.1189,0.2541,0.4865,2.225,1.39,0.16597,False
,Emblem Flora Fatalis Augment,89,0.004857018118314778,4.787,4.401,0.094,0.479,0.064,-0.0005,-0.0984,0.0562,0.1685,0.4382,1.991,2.26,0.02362,True
,Emblem Hunter,99,0.0054027504911591355,4.879,4.429,0.122,0.571,0.172,-0.0007,-0.1022,0.0404,0.1313,0.4343,2.021,2.8,0.00505,True
populaire,Emblem Coven,374,0.020410390744378958,4.567,4.438,0.131,0.259,0.027,-0.0027,-0.0767,0.139,0.2433,0.4599,2.268,2.19,0.02837,True
