group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Hand Of Justice + Ionic Spark,485,0.02932994678277697,3.718,3.953,-0.346,-0.582,-0.4,0.0101,0.1041,0.1526,0.3423,0.6412,2.009,-6.28,0.0,True
pepite,Hand Of Justice + Rabadons Deathcap,338,0.020440251572327043,3.778,4.036,-0.264,-0.521,-0.304,0.0054,0.096,0.145,0.3343,0.6331,2.019,-4.69,0.0,True
pepite,Crownguard + Ionic Spark,93,0.005624092888243832,3.14,4.045,-0.255,-1.16,-0.736,0.0014,0.2371,0.2366,0.4839,0.7742,2.077,-5.37,0.0,True
pepite,Jeweled Gauntlet + Rabadons Deathcap,321,0.019412191582002903,3.875,4.091,-0.209,-0.424,-0.198,0.0041,0.0703,0.1526,0.3022,0.6075,2.047,-3.67,0.00024,True
pepite,Ionic Spark + Jeweled Gauntlet,383,0.023161586840832124,3.932,4.102,-0.197,-0.367,-0.159,0.0046,0.0582,0.1514,0.3003,0.5953,2.052,-3.46,0.00054,True
pepite,Bloodthirster + Ionic Spark,208,0.012578616352201259,3.837,4.121,-0.179,-0.463,-0.174,0.0022,0.0783,0.1683,0.3413,0.6154,2.11,-3.14,0.00167,True
populaire,Hand Of Justice + Jeweled Gauntlet,1851,0.11193759071117562,4.092,4.123,-0.176,-0.208,-0.107,0.0197,0.0366,0.127,0.2853,0.5737,2.095,-4.04,5e-05,True
pepite,Bloodthirster + Rabadons Deathcap,154,0.009313014029995162,3.76,4.128,-0.171,-0.54,-0.209,0.0016,0.1122,0.1494,0.3442,0.6494,2.086,-3.2,0.0014,True
,Crownguard + Titans Resolve,50,0.003023705853894533,3.12,4.145,-0.155,-1.179,-0.654,0.0005,0.2229,0.28,0.46,0.76,1.894,-4.4,1e-05,True
,Evenshroud + Sunfire Cape,117,0.007075471698113208,3.735,4.152,-0.147,-0.564,-0.188,0.001,0.1552,0.1538,0.3419,0.6923,2.069,-2.94,0.00328,True
,Hextech Gunblade + Titans Resolve,84,0.0050798258345428155,3.571,4.152,-0.147,-0.728,-0.316,0.0007,0.1414,0.1786,0.3214,0.6786,1.923,-3.46,0.00054,True
,Crownguard + Hand Of Justice,64,0.0038703434929850023,3.453,4.162,-0.137,-0.846,-0.317,0.0005,0.166,0.2344,0.4375,0.7031,2.157,-3.13,0.00173,True
,Hand Of Justice + Quicksilver,151,0.00913159167876149,3.874,4.166,-0.133,-0.425,-0.086,0.0012,0.1119,0.1457,0.3179,0.649,2.12,-2.45,0.01413,True
,Hand Of Justice + Morellonomicon,70,0.004233188195452347,3.557,4.17,-0.13,-0.742,-0.255,0.0005,0.0914,0.2286,0.4143,0.6286,2.075,-2.99,0.00282,True
,Ionic Spark + Protectors Vow,42,0.0025399129172714078,3.167,4.172,-0.128,-1.133,-0.621,0.0003,0.2486,0.2143,0.4048,0.7857,1.689,-4.34,1e-05,True
,Bloodthirster + Hextech Gunblade,64,0.0038703434929850023,3.547,4.177,-0.122,-0.753,-0.332,0.0005,0.1035,0.1094,0.3438,0.6406,1.713,-3.5,0.00046,True
,Adaptive Helm + Ionic Spark,42,0.0025399129172714078,3.214,4.177,-0.122,-1.085,-0.575,0.0003,0.201,0.1905,0.3571,0.7381,1.684,-4.17,3e-05,True
,Archangels Staff + Hand Of Justice,124,0.007498790517658442,3.863,4.18,-0.119,-0.437,-0.05,0.0009,0.0596,0.1694,0.3629,0.5968,2.186,-2.22,0.0267,True
,Edge Of Night + Ionic Spark,63,0.003809869375907112,3.556,4.18,-0.119,-0.744,-0.317,0.0005,0.193,0.1429,0.2698,0.7302,1.725,-3.41,0.00064,True
,Adaptive Helm + Sunfire Cape,44,0.002660861151427189,3.295,4.182,-0.118,-1.004,-0.404,0.0003,0.1901,0.2273,0.4545,0.7273,2.029,-3.28,0.00105,True
,Bloodthirster + Crownguard,74,0.004475084663763909,3.662,4.183,-0.117,-0.637,-0.205,0.0005,0.1115,0.1892,0.3108,0.6486,1.891,-2.89,0.00384,True
,Edge Of Night + Rabadons Deathcap,73,0.004414610546686019,3.658,4.183,-0.116,-0.642,-0.206,0.0005,0.1067,0.1507,0.3151,0.6438,1.896,-2.88,0.00392,True
,Jeweled Gauntlet + Quicksilver,137,0.00828495403967102,3.934,4.193,-0.107,-0.365,0.0,0.0009,0.0687,0.1533,0.3358,0.6058,2.189,-1.95,0.05177,False
,Giant Slayer + Hand Of Justice,176,0.010643444605708756,4.0,4.195,-0.104,-0.299,-0.003,0.0011,0.0708,0.1193,0.2443,0.608,1.994,-1.98,0.04768,False
