group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Rival,792,0.047895500725689405,3.227,3.543,-0.756,-1.072,-0.939,0.0362,0.2141,0.2058,0.428,0.7513,1.856,-15.77,0.0,True
populaire,Emerald,4380,0.2648766328011611,3.501,3.557,-0.742,-0.798,-0.73,0.1966,0.1542,0.195,0.3979,0.6913,2.03,-22.91,0.0,True
populaire,Riftbeast,4400,0.2660861151427189,3.645,3.691,-0.609,-0.655,-0.587,0.162,0.1367,0.1605,0.3511,0.6739,2.005,-19.01,0.0,True
pepite,Lunar,350,0.02116594097726173,3.166,3.717,-0.583,-1.134,-0.928,0.0123,0.2114,0.24,0.4629,0.7486,1.941,-10.79,0.0,True
pepite,Executioner,443,0.026790033865505564,3.323,3.74,-0.559,-0.977,-0.781,0.015,0.1762,0.2506,0.4402,0.7133,2.068,-9.8,0.0,True
populaire,Rival,4031,0.24377116594097725,3.697,3.743,-0.556,-0.602,-0.53,0.1357,0.1151,0.1732,0.3637,0.6522,2.1,-16.29,0.0,True
pepite,Eclipse,1304,0.07885824866956942,3.633,3.768,-0.531,-0.666,-0.555,0.0419,0.1377,0.1503,0.3489,0.6748,1.951,-11.79,0.0,True
populaire,Alune Unique Trait,4752,0.28737300435413643,3.733,3.77,-0.53,-0.567,-0.5,0.1522,0.1068,0.1662,0.3411,0.6439,2.039,-16.72,0.0,True
pepite,Executioner,215,0.013001935171746493,3.014,3.793,-0.506,-1.286,-1.03,0.0066,0.2443,0.2837,0.4791,0.7814,1.896,-9.86,0.0,True
populaire,Vanguard,4634,0.2802370585389453,3.759,3.795,-0.504,-0.54,-0.472,0.1413,0.1018,0.1698,0.3492,0.639,2.099,-15.45,0.0,True
pepite,Lunar,2808,0.16981132075471697,3.748,3.806,-0.494,-0.552,-0.471,0.0839,0.1025,0.1514,0.3308,0.6396,1.993,-13.44,0.0,True
,Vanguard,639,0.03864296081277213,3.56,3.812,-0.487,-0.739,-0.592,0.0188,0.1608,0.1393,0.3474,0.698,1.856,-9.82,0.0,True
populaire,Rapidfire,5223,0.31585631349782295,3.805,3.834,-0.465,-0.495,-0.43,0.1469,0.0951,0.1581,0.3347,0.6322,2.079,-14.91,0.0,True
,Lunar,782,0.0472907595549105,3.65,3.843,-0.457,-0.65,-0.506,0.0216,0.1304,0.1586,0.3606,0.6675,1.999,-8.86,0.0,True
,Lux Unique Trait,1570,0.09494436381228834,3.751,3.846,-0.453,-0.549,-0.437,0.043,0.0928,0.1898,0.3669,0.6299,2.165,-9.61,0.0,True
,Rapidfire,1224,0.07402031930333818,3.794,3.902,-0.398,-0.505,-0.388,0.0294,0.105,0.1413,0.3203,0.6422,2.016,-8.43,0.0,True
,Elderwood,1236,0.07474600870827286,3.815,3.917,-0.382,-0.485,-0.363,0.0286,0.0956,0.157,0.3447,0.6327,2.113,-7.78,0.0,True
,Invoker,155,0.009373488147073053,3.316,3.986,-0.314,-0.983,-0.668,0.0029,0.2048,0.2,0.4194,0.7419,1.99,-6.12,0.0,True
,Blackthorn,186,0.011248185776487663,3.441,3.99,-0.309,-0.859,-0.552,0.0035,0.151,0.2366,0.4194,0.6882,2.122,-5.49,0.0,True
,Zyra Unique Trait,886,0.05358006773101113,3.947,4.043,-0.257,-0.353,-0.207,0.0138,0.078,0.1433,0.316,0.6151,2.157,-4.74,0.0,True
,Rapidfire,87,0.0052612481857764876,3.092,4.048,-0.251,-1.208,-0.831,0.0013,0.2445,0.2644,0.4368,0.7816,1.785,-6.29,0.0,True
,Greenfather,1451,0.08774794388001936,4.001,4.057,-0.243,-0.298,-0.182,0.0213,0.0501,0.1592,0.3232,0.5872,2.176,-5.01,0.0,True
,Slayer,1180,0.07135945815191098,4.04,4.097,-0.203,-0.26,-0.149,0.0145,0.073,0.0729,0.239,0.6102,1.855,-4.6,0.0,True
,Rapidfire,267,0.01614658925979681,3.861,4.104,-0.196,-0.438,-0.192,0.0032,0.1108,0.1273,0.3184,0.6479,2.035,-3.49,0.00049,True
populaire,Lunar,7321,0.44273101112723756,4.109,4.117,-0.182,-0.19,-0.132,0.0807,0.0371,0.125,0.2807,0.5742,2.101,-6.44,0.0,True
,Brawler,1046,0.06325592646347364,4.062,4.119,-0.18,-0.237,-0.104,0.0114,0.0518,0.1338,0.2954,0.5889,2.133,-3.49,0.00048,True
,Caustic,1137,0.06875907111756169,4.079,4.129,-0.171,-0.22,-0.097,0.0117,0.0662,0.0994,0.2744,0.6033,2.055,-3.49,0.00049,True
,Invoker,298,0.018021286889211417,3.95,4.134,-0.166,-0.35,-0.12,0.003,0.0703,0.1376,0.2919,0.6074,2.004,-2.98,0.00285,True
,Fae,334,0.02019835510401548,3.979,4.138,-0.161,-0.32,-0.108,0.0033,0.0766,0.1168,0.2635,0.6138,1.954,-2.96,0.00305,True
,Summoner,1143,0.06912191582002902,4.092,4.138,-0.161,-0.208,-0.077,0.0111,0.0499,0.1347,0.2966,0.5871,2.182,-3.12,0.00183,True
,Invoker,2282,0.1380019351717465,4.124,4.147,-0.153,-0.175,-0.083,0.0211,0.0295,0.1201,0.2822,0.5666,2.099,-3.73,0.00019,True
,Spellweaver,420,0.02539912917271408,4.029,4.148,-0.152,-0.271,-0.07,0.0038,0.0533,0.1238,0.2881,0.5905,2.071,-2.65,0.00816,True
,Juggernaut,159,0.009615384615384616,3.855,4.155,-0.144,-0.444,-0.138,0.0014,0.0981,0.1195,0.3019,0.6352,1.961,-2.84,0.00452,True
populaire,Spellweaver,3924,0.23730043541364296,4.147,4.159,-0.141,-0.153,-0.078,0.0334,0.0261,0.1384,0.2824,0.5632,2.154,-4.0,6e-05,True
,Coven,290,0.01753749395258829,4.01,4.164,-0.135,-0.289,-0.019,0.0024,0.0042,0.2379,0.3379,0.5414,2.327,-2.1,0.03571,True
,Primal,851,0.051463473633284955,4.118,4.168,-0.131,-0.182,-0.042,0.0067,0.0551,0.0893,0.2656,0.5922,2.032,-2.54,0.01101,True
