group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Rengar,4268,0.23291857672997163,3.405,3.476,-0.831,-0.903,-0.835,0.1937,0.1741,0.2045,0.4194,0.7106,2.023,-26.01,0.0,True
populaire,Taric,4909,0.2679000218292949,3.5,3.556,-0.751,-0.808,-0.743,0.2013,0.156,0.1921,0.3987,0.6926,2.026,-24.55,0.0,True
populaire,Alune,5272,0.2877101069635451,3.742,3.779,-0.529,-0.565,-0.502,0.1521,0.1072,0.1643,0.3405,0.6438,2.045,-17.54,0.0,True
populaire,Crimson Raptor,4173,0.22773411918795022,3.765,3.809,-0.499,-0.543,-0.472,0.1136,0.1083,0.1646,0.3482,0.6449,2.107,-14.99,0.0,True
populaire,Brambleback,5993,0.32705741104562325,3.825,3.853,-0.455,-0.483,-0.423,0.1488,0.1037,0.1362,0.3172,0.6402,2.023,-15.84,0.0,True
pepite,Lux Base,1715,0.09359310194280725,3.772,3.866,-0.441,-0.535,-0.428,0.0413,0.0903,0.1878,0.3627,0.6268,2.169,-9.8,0.0,True
populaire,Aphelios,9341,0.509768609473914,3.888,3.904,-0.404,-0.419,-0.368,0.2057,0.0837,0.1392,0.3129,0.6203,2.053,-15.88,0.0,True
pepite,Kennen,1432,0.07814887579131194,3.807,3.909,-0.399,-0.501,-0.386,0.0312,0.0919,0.1746,0.3464,0.6285,2.134,-8.56,0.0,True
populaire,Sentinel,8457,0.46152586771447285,3.917,3.933,-0.374,-0.39,-0.337,0.1727,0.08,0.137,0.3065,0.6165,2.064,-14.26,0.0,True
pepite,Ezreal,1154,0.06297751582623881,3.816,3.935,-0.373,-0.491,-0.364,0.0235,0.0995,0.1672,0.344,0.636,2.144,-7.55,0.0,True
pepite,Kha Zix,2277,0.12426326129666011,3.91,3.965,-0.342,-0.397,-0.307,0.0425,0.0827,0.1339,0.3061,0.6192,2.061,-8.65,0.0,True
populaire,Hecarim,8094,0.44171578258022265,3.996,4.01,-0.298,-0.311,-0.256,0.1315,0.0608,0.1399,0.3066,0.5974,2.129,-10.96,0.0,True
pepite,Gnar Small,893,0.04873390089500109,3.906,4.023,-0.285,-0.402,-0.257,0.0139,0.0827,0.1601,0.3236,0.6193,2.147,-5.46,0.0,True
pepite,Ivern,1593,0.0869351669941061,3.984,4.045,-0.263,-0.323,-0.212,0.0228,0.0529,0.1607,0.3271,0.5895,2.173,-5.7,0.0,True
,Le Blanc,1244,0.06788910718183802,3.989,4.061,-0.246,-0.319,-0.194,0.0167,0.0663,0.1471,0.3199,0.6029,2.173,-5.01,0.0,True
,Zyra,984,0.053700065487884745,3.996,4.08,-0.227,-0.312,-0.172,0.0122,0.0701,0.1433,0.3079,0.6067,2.175,-4.38,1e-05,True
,Nidalee A P,755,0.041202794149748964,4.052,4.135,-0.172,-0.256,-0.113,0.0071,0.078,0.0728,0.2623,0.6146,1.952,-3.52,0.00044,True
,Kog Maw A D,1276,0.06963545077493997,4.107,4.152,-0.155,-0.2,-0.083,0.0108,0.0622,0.0956,0.2735,0.5987,2.061,-3.35,0.00082,True
,Krug,715,0.03901986465837153,4.225,4.253,-0.054,-0.082,0.0,0.0021,0.0243,0.0797,0.2517,0.5608,2.032,-1.06,0.28894,False
,Malphite,1062,0.05795677799607073,4.245,4.261,-0.047,-0.063,0.0,0.0027,0.003,0.1102,0.2476,0.5395,2.079,-0.95,0.34021,False
,Kayle,2684,0.14647456887142546,4.268,4.272,-0.035,-0.04,0.0,0.0051,0.0074,0.1084,0.2493,0.544,2.096,-0.92,0.35715,False
,Leona,2619,0.14292730844793713,4.29,4.292,-0.015,-0.017,0.0,0.0022,0.0018,0.1069,0.2486,0.5384,2.108,-0.39,0.69499,False
,Murkwolf,2528,0.13796114385505348,4.293,4.295,-0.013,-0.015,0.0,0.0018,0.0196,0.0657,0.2168,0.5562,1.959,-0.35,0.7255,False
,Sejuani,2685,0.14652914210870988,4.293,4.295,-0.012,-0.014,0.0,0.0018,0.0031,0.105,0.2447,0.5397,2.097,-0.32,0.74729,False
,Sentry,751,0.04098450120061122,4.329,4.322,0.014,0.021,0.0,-0.0006,-0.0093,0.1185,0.265,0.5273,2.185,0.26,0.79201,False
,Sivir,610,0.03328967474350578,4.349,4.334,0.026,0.042,0.0,-0.0009,0.0028,0.0885,0.2295,0.5393,2.081,0.49,0.62638,False
,Elder Dragon,523,0.02854180309975988,4.371,4.345,0.037,0.063,0.0,-0.0011,-0.0184,0.1071,0.2352,0.5182,2.097,0.68,0.49507,False
,Teemo,234,0.012770137524557957,4.402,4.344,0.037,0.094,0.0,-0.0005,-0.0152,0.094,0.235,0.5214,2.164,0.66,0.50796,False
,Vi,1208,0.06592447063959835,4.376,4.36,0.052,0.068,0.0,-0.0035,0.0007,0.072,0.2177,0.5373,2.04,1.13,0.26049,False
,Ashe,691,0.03771010696354508,4.388,4.36,0.053,0.08,0.0,-0.002,-0.0069,0.1143,0.233,0.5297,2.145,0.97,0.33343,False
,Maokai,1480,0.08076839118096485,4.376,4.363,0.055,0.069,0.0,-0.0045,-0.0095,0.0966,0.2318,0.527,2.106,1.21,0.2263,False
,Soraka,1108,0.06046714691115477,4.391,4.37,0.063,0.083,0.0,-0.0038,-0.0339,0.1155,0.2527,0.5027,2.155,1.25,0.21105,False
,Shen,1452,0.07924034053700066,4.402,4.383,0.075,0.094,0.0,-0.006,-0.0111,0.095,0.228,0.5255,2.11,1.63,0.10218,False
,Xayah,1269,0.06925343811394892,4.429,4.402,0.094,0.121,0.002,-0.0065,-0.0173,0.0922,0.227,0.5193,2.101,1.99,0.04699,True
,Varus,1295,0.07067234228334425,4.434,4.406,0.099,0.127,0.007,-0.007,-0.0261,0.0996,0.227,0.5104,2.123,2.07,0.03818,True
,Amumu,2001,0.10920104780615586,4.427,4.408,0.101,0.119,0.023,-0.011,-0.0288,0.095,0.2239,0.5077,2.088,2.42,0.01539,True
,Azir,1507,0.08224186858764462,4.437,4.411,0.104,0.129,0.016,-0.0085,-0.0216,0.0995,0.2329,0.5149,2.157,2.24,0.02526,True
,Warwick,2611,0.14249072254966164,4.429,4.414,0.106,0.121,0.038,-0.0151,-0.0065,0.0655,0.2011,0.5301,2.003,2.87,0.00412,True
populaire,Morgana,3729,0.20350360183366079,4.431,4.42,0.113,0.124,0.049,-0.023,-0.0313,0.1067,0.2306,0.5052,2.127,3.25,0.00117,True
,Gromp A P,345,0.01882776686313032,4.554,4.427,0.119,0.246,0.038,-0.0022,-0.0177,0.0377,0.1623,0.5188,1.953,2.32,0.02056,True
,Yunara,272,0.014843920541366514,4.614,4.438,0.131,0.307,0.047,-0.0019,-0.0623,0.0882,0.2132,0.4743,2.166,2.32,0.0205,True
,Rakan,3595,0.1961907880375464,4.472,4.457,0.149,0.164,0.09,-0.0293,-0.0292,0.0871,0.2103,0.5074,2.084,4.31,2e-05,True
,Master Yi A D,479,0.026140580659244708,4.576,4.46,0.152,0.269,0.087,-0.004,-0.0731,0.0585,0.1962,0.4635,2.002,2.9,0.00378,True
,Cinderling,185,0.010096048897620606,4.762,4.46,0.153,0.455,0.176,-0.0015,-0.0717,0.0162,0.1514,0.4649,1.925,3.19,0.00141,True
,Draven,856,0.04671469111547697,4.528,4.462,0.154,0.221,0.074,-0.0072,-0.0412,0.1028,0.2208,0.4953,2.14,2.95,0.00319,True
,Rek Sai,760,0.041475660336171144,4.557,4.476,0.168,0.249,0.093,-0.007,-0.0484,0.0908,0.2197,0.4882,2.159,3.12,0.00181,True
,Kobuko,231,0.01260641781270465,4.749,4.478,0.171,0.441,0.173,-0.0022,-0.0863,0.0779,0.1645,0.4502,2.072,3.22,0.00129,True
,Scuttlecrab,549,0.029960707269155205,4.592,4.478,0.171,0.285,0.114,-0.0051,-0.0502,0.051,0.1803,0.4863,1.999,3.28,0.00104,True
,Akali A D,2489,0.1358327876009605,4.539,4.509,0.202,0.231,0.148,-0.0274,-0.0331,0.0546,0.1792,0.5034,1.975,5.43,0.0,True
,Lillia,1494,0.08153241650294696,4.582,4.528,0.221,0.275,0.164,-0.018,-0.0573,0.087,0.2068,0.4793,2.097,4.87,0.0,True
,Ahri,1098,0.05992141453831041,4.617,4.54,0.232,0.31,0.183,-0.0139,-0.0757,0.0829,0.2004,0.4608,2.087,4.78,0.0,True
,Ornn,726,0.03962017026850033,4.676,4.553,0.245,0.369,0.209,-0.0097,-0.0669,0.0909,0.1983,0.4697,2.154,4.53,1e-05,True
,Karma,465,0.025376555337262605,4.774,4.568,0.261,0.467,0.272,-0.0066,-0.1,0.0753,0.1849,0.4366,2.119,4.69,0.0,True
