group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Last Whisper + Red Buff + Spear Of Shojin,2440,0.022502582263538438,2.814,3.104,-0.327,-0.617,-0.546,0.0074,0.1264,0.2746,0.5393,0.8246,1.769,-16.98,0.0,True
pepite,Blue Buff + Last Whisper + Red Buff,834,0.007691456396635679,2.801,3.256,-0.175,-0.63,-0.508,0.0013,0.1124,0.2758,0.5683,0.8106,1.78,-10.17,0.0,True
populaire,Giant Slayer + Last Whisper + Spear Of Shojin,2391,0.022050686144311642,3.203,3.312,-0.119,-0.228,-0.145,0.0026,0.0438,0.2752,0.4592,0.7419,2.03,-5.42,0.0,True
populaire,Deathblade + Giant Slayer + Spear Of Shojin,1641,0.015133908809207614,3.158,3.314,-0.117,-0.272,-0.178,0.0018,0.0496,0.2541,0.4528,0.7477,1.926,-5.68,0.0,True
pepite,Deathblade + Giant Slayer + Last Whisper,476,0.004389848015346023,2.809,3.319,-0.112,-0.622,-0.453,0.0005,0.1044,0.3256,0.5462,0.8025,1.874,-7.22,0.0,True
pepite,Last Whisper + Red Buff + Strikers Flail,371,0.0034214991884314594,2.682,3.321,-0.109,-0.749,-0.584,0.0004,0.1752,0.2965,0.531,0.8733,1.617,-8.89,0.0,True
pepite,Deathblade + Last Whisper + Red Buff,584,0.005385863951601003,2.95,3.329,-0.102,-0.481,-0.328,0.0005,0.0981,0.2705,0.5154,0.7962,1.879,-6.16,0.0,True
pepite,Deathblade + Red Buff + Spear Of Shojin,1060,0.009775711966947027,3.15,3.339,-0.092,-0.281,-0.165,0.0009,0.0566,0.2387,0.4679,0.7547,1.918,-4.74,0.0,True
pepite,Giant Slayer + Last Whisper + Red Buff,277,0.002554596429098421,2.617,3.339,-0.092,-0.814,-0.621,0.0002,0.1935,0.3213,0.5487,0.8917,1.629,-8.29,0.0,True
,Deathblade + Last Whisper + Strikers Flail,782,0.007211893168068467,3.13,3.351,-0.08,-0.3,-0.157,0.0006,0.0448,0.2852,0.4949,0.743,2.034,-4.12,4e-05,True
populaire,Infinity Edge + Spear Of Shojin + Strikers Flail,2225,0.020519772760808616,3.289,3.359,-0.072,-0.142,-0.058,0.0015,0.0236,0.2454,0.4378,0.7218,2.005,-3.3,0.00096,True
,Hextech Gunblade + Last Whisper + Spear Of Shojin,464,0.004279179577984358,3.03,3.36,-0.071,-0.401,-0.209,0.0003,0.0561,0.3405,0.5129,0.7543,2.1,-4.1,4e-05,True
,Blue Buff + Deathblade + Last Whisper,1183,0.010910063449904087,3.251,3.367,-0.063,-0.18,-0.064,0.0007,0.0271,0.268,0.4438,0.7253,2.024,-3.04,0.00238,True
,Giant Slayer + Spear Of Shojin + Strikers Flail,1276,0.011767743839456987,3.27,3.371,-0.059,-0.16,-0.053,0.0007,0.0385,0.2296,0.4271,0.7367,1.951,-2.92,0.0035,True
,Giant Slayer + Red Buff + Spear Of Shojin,530,0.0048878559834735135,3.132,3.372,-0.059,-0.299,-0.141,0.0003,0.0603,0.2208,0.4642,0.7585,1.845,-3.72,0.0002,True
populaire,Last Whisper + Spear Of Shojin + Strikers Flail,3564,0.03286852589641434,3.348,3.379,-0.052,-0.083,-0.013,0.0017,0.0069,0.2573,0.4377,0.7051,2.093,-2.34,0.01942,True
,Deathblade + Hextech Gunblade + Spear Of Shojin,281,0.002591485908218976,3.0,3.381,-0.049,-0.431,-0.208,0.0001,0.1061,0.2883,0.4591,0.8043,1.9,-3.8,0.00015,True
,Giant Slayer + Hextech Gunblade + Spear Of Shojin,180,0.0016600265604249668,2.794,3.382,-0.049,-0.636,-0.377,0.0001,0.1185,0.2889,0.5333,0.8167,1.772,-4.81,0.0,True
,Deathblade + Infinity Edge + Last Whisper,587,0.0054135310609414195,3.204,3.383,-0.048,-0.226,-0.061,0.0003,0.0293,0.2675,0.4736,0.7274,2.034,-2.69,0.00713,True
populaire,Deathblade + Spear Of Shojin + Strikers Flail,3149,0.02904124243765678,3.353,3.385,-0.046,-0.078,-0.005,0.0013,0.011,0.2471,0.4265,0.7091,2.059,-2.1,0.03591,True
,Infinity Edge + Last Whisper + Strikers Flail,426,0.003928729526339088,3.157,3.386,-0.045,-0.274,-0.084,0.0002,0.0577,0.2629,0.4554,0.7559,1.993,-2.83,0.0047,True
,Infinity Edge + Last Whisper + Red Buff,365,0.003366164969750627,3.132,3.388,-0.043,-0.299,-0.116,0.0001,0.0744,0.2301,0.4219,0.7726,1.784,-3.2,0.00138,True
populaire,Deathblade + Infinity Edge + Spear Of Shojin,2985,0.02752877379371403,3.361,3.39,-0.041,-0.07,0.0,0.0011,0.0137,0.2352,0.4134,0.7119,2.007,-1.88,0.05998,False
,Blue Buff + Giant Slayer + Last Whisper,445,0.004103954552161723,3.209,3.393,-0.038,-0.222,-0.035,0.0002,0.0277,0.2494,0.4764,0.7258,2.01,-2.32,0.02013,True
,Blue Buff + Last Whisper + Spear Of Shojin,310,0.0028589346318429985,3.142,3.395,-0.036,-0.289,-0.078,0.0001,0.0341,0.2484,0.4581,0.7323,1.889,-2.69,0.00716,True
,Deathblade + Red Buff + Strikers Flail,256,0.0023609266637155085,3.113,3.397,-0.034,-0.318,-0.079,0.0001,0.0753,0.2539,0.4805,0.7734,1.942,-2.61,0.00898,True
,Last Whisper + Morellonomicon + Spear Of Shojin,146,0.0013464659879002508,2.904,3.398,-0.033,-0.527,-0.246,0.0,0.0964,0.274,0.4863,0.7945,1.729,-3.68,0.00024,True
,Red Buff + Spear Of Shojin + Strikers Flail,656,0.00604987457577099,3.299,3.4,-0.031,-0.132,0.0,0.0002,0.0259,0.2302,0.4649,0.7241,2.092,-1.61,0.10688,False
,Deathblade + Giant Slayer + Infinity Edge,289,0.0026652648664600856,3.173,3.401,-0.03,-0.258,-0.038,0.0001,0.0562,0.2249,0.4671,0.7543,1.9,-2.3,0.02125,True
,Deathblade + Infinity Edge + Strikers Flail,280,0.0025822635384388374,3.179,3.402,-0.029,-0.252,-0.018,0.0001,0.059,0.2571,0.4643,0.7571,1.999,-2.11,0.03495,True
,Hextech Gunblade + Last Whisper + Red Buff,115,0.001060572524715951,2.87,3.403,-0.028,-0.561,-0.24,0.0,0.1192,0.2522,0.513,0.8174,1.757,-3.42,0.00062,True
,Deathblade + Hextech Gunblade + Last Whisper,120,0.0011066843736166445,2.925,3.404,-0.027,-0.506,-0.171,0.0,0.0935,0.2833,0.5167,0.7917,1.872,-2.96,0.00309,True
,Deathblade + Infinity Edge + Red Buff,275,0.0025361516895381435,3.2,3.405,-0.026,-0.231,-0.006,0.0001,0.0618,0.2073,0.4436,0.76,1.899,-2.01,0.04413,False
,Hextech Gunblade + Spear Of Shojin + Strikers Flail,213,0.001964364763169544,3.146,3.405,-0.026,-0.285,0.0,0.0001,0.0483,0.3052,0.5023,0.7465,2.141,-1.94,0.052,False
,Deathblade + Giant Slayer + Red Buff,196,0.0018075844769071862,3.117,3.405,-0.026,-0.314,-0.052,0.0,0.0825,0.2398,0.449,0.7806,1.866,-2.35,0.01877,True
,Hextech Gunblade + Last Whisper + Strikers Flail,99,0.0009130146082337317,2.838,3.405,-0.026,-0.592,-0.254,0.0,0.1301,0.2626,0.5253,0.8283,1.716,-3.43,0.0006,True
,Hand Of Justice + Last Whisper + Red Buff,72,0.0006640106241699867,2.625,3.405,-0.026,-0.806,-0.426,0.0,0.1768,0.2917,0.5694,0.875,1.645,-4.15,3e-05,True
,Deathblade + Giant Slayer + Strikers Flail,272,0.0025084845801977276,3.21,3.406,-0.025,-0.221,0.0,0.0001,0.0298,0.2279,0.4779,0.7279,1.968,-1.85,0.06395,False
,Hextech Gunblade + Red Buff + Spear Of Shojin,131,0.0012081304411981702,2.985,3.405,-0.025,-0.446,-0.135,0.0,0.1415,0.2595,0.4504,0.8397,1.816,-2.81,0.00496,True
,Deathblade + Last Whisper + Nashors Tooth,109,0.0010052383060351188,2.908,3.406,-0.025,-0.523,-0.16,0.0,0.0725,0.3028,0.5413,0.7706,1.928,-2.83,0.00467,True
,Blue Buff + Deathblade + Hextech Gunblade,62,0.0005717869263685997,2.516,3.405,-0.025,-0.915,-0.531,0.0,0.1728,0.3226,0.5968,0.871,1.542,-4.67,0.0,True
,Giant Slayer + Infinity Edge + Red Buff,183,0.001687693669765383,3.126,3.407,-0.024,-0.305,-0.033,0.0,0.0833,0.2404,0.4262,0.7814,1.879,-2.19,0.02817,True
,Giant Slayer + Red Buff + Strikers Flail,138,0.0012726870296591412,3.036,3.407,-0.024,-0.395,-0.118,0.0,0.1279,0.1957,0.442,0.8261,1.657,-2.8,0.00518,True
,Hextech Gunblade + Infinity Edge + Last Whisper,69,0.0006363435148295706,2.652,3.407,-0.024,-0.779,-0.381,0.0,0.1569,0.3768,0.5362,0.8551,1.684,-3.84,0.00012,True
,Krakens Fury + Last Whisper + Red Buff,68,0.0006271211450494319,2.647,3.407,-0.024,-0.784,-0.415,0.0,0.1842,0.3235,0.5147,0.8824,1.551,-4.17,3e-05,True
,Giant Slayer + Last Whisper + Strikers Flail,323,0.0029788254389848017,3.257,3.408,-0.023,-0.174,0.0,0.0001,0.0077,0.2724,0.4613,0.7059,2.068,-1.51,0.13131,False
,Last Whisper + Spear Of Shojin + Spear Of Shojin,262,0.0024162608823963404,3.214,3.407,-0.023,-0.217,0.0,0.0001,0.027,0.271,0.4656,0.7252,2.028,-1.73,0.08354,False
,Blue Buff + Deathblade + Deathblade,261,0.002407038512616202,3.215,3.408,-0.023,-0.216,0.0,0.0001,0.0107,0.272,0.4674,0.7088,1.998,-1.75,0.08067,False
,Deathblade + Hand Of Justice + Spear Of Shojin,183,0.001687693669765383,3.137,3.408,-0.023,-0.294,-0.022,0.0,0.0778,0.2404,0.4536,0.776,1.875,-2.12,0.03396,True
