group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Red Buff,8658,0.1256840913379883,3.386,3.446,-0.375,-0.434,-0.389,0.0471,0.0942,0.2191,0.4183,0.713,2.027,-18.66,0.0,True
pepite,Hextech Gunblade,1868,0.027116872559408887,3.399,3.578,-0.242,-0.421,-0.326,0.0066,0.0911,0.2297,0.4229,0.7099,2.071,-8.66,0.0,True
populaire,Strikers Flail,12752,0.18511475314645723,3.618,3.637,-0.183,-0.203,-0.163,0.0339,0.0351,0.212,0.3846,0.6539,2.134,-9.85,0.0,True
pepite,Quicksilver,563,0.008172804738194435,3.25,3.655,-0.165,-0.57,-0.406,0.0014,0.1094,0.238,0.4529,0.7282,1.978,-6.8,0.0,True
populaire,Giant Slayer,11206,0.16267220230232118,3.663,3.68,-0.141,-0.158,-0.116,0.0229,0.0321,0.196,0.3703,0.6509,2.107,-7.33,0.0,True
populaire,Blue Buff,8299,0.12047265812127107,3.664,3.686,-0.134,-0.156,-0.109,0.0161,0.0309,0.1891,0.3649,0.6497,2.078,-6.45,0.0,True
pepite,Hand Of Justice,1475,0.021411877422445453,3.611,3.712,-0.108,-0.21,-0.103,0.0023,0.0497,0.1898,0.3661,0.6685,2.059,-3.86,0.00011,True
pepite,Nashors Tooth,866,0.012571312439212043,3.554,3.718,-0.103,-0.266,-0.123,0.0013,0.0382,0.2344,0.3938,0.657,2.135,-3.65,0.00027,True
populaire,Last Whisper,26523,0.3850218473732344,3.717,3.722,-0.098,-0.103,-0.073,0.0378,0.0171,0.2077,0.3699,0.6359,2.176,-6.58,0.0,True
pepite,Adaptive Helm,574,0.008332486535921146,3.53,3.735,-0.086,-0.291,-0.128,0.0007,0.0746,0.1882,0.3659,0.6934,1.981,-3.5,0.00047,True
populaire,Deathblade,22946,0.33309623005792094,3.739,3.743,-0.077,-0.082,-0.049,0.0257,0.0099,0.2029,0.3649,0.6286,2.165,-4.95,0.0,True
pepite,Morellonomicon,285,0.004137210213828443,3.474,3.761,-0.059,-0.347,-0.102,0.0002,0.0584,0.2421,0.3965,0.6772,2.105,-2.77,0.00552,True
,Gold Collector,602,0.008738949293770958,3.693,3.782,-0.039,-0.128,0.0,0.0003,0.0257,0.2159,0.3837,0.6445,2.196,-1.42,0.15523,False
,Tacticians Crown,172,0.002496842655363131,3.599,3.796,-0.025,-0.222,0.0,0.0001,0.0614,0.1802,0.3547,0.6802,1.99,-1.46,0.14478,False
,Edge Of Night,137,0.001988764208050866,3.642,3.804,-0.016,-0.178,0.0,0.0,0.0235,0.2482,0.4161,0.6423,2.301,-0.91,0.36535,False
populaire,Spear Of Shojin,35917,0.5213901026318464,3.806,3.807,-0.014,-0.014,0.0,0.0072,0.0008,0.1946,0.3511,0.6196,2.177,-1.01,0.31178,False
,Emblem Flora Fatalis,299,0.0043404415927533494,3.753,3.808,-0.012,-0.068,0.0,0.0001,0.0033,0.2074,0.3645,0.6221,2.199,-0.53,0.59387,False
,Emblem Blossom,228,0.003309768171062755,3.741,3.809,-0.011,-0.079,0.0,0.0,-0.0048,0.2018,0.386,0.614,2.178,-0.55,0.58344,False
,Emblem Fae,138,0.0020032807351169305,3.79,3.818,-0.003,-0.031,0.0,0.0,0.0189,0.1957,0.3188,0.6377,2.076,-0.17,0.86268,False
,Giant Slayer Radiant,72,0.0010451899487566594,3.806,3.82,-0.001,-0.015,0.0,0.0,-0.0077,0.1944,0.3333,0.6111,2.139,-0.06,0.95287,False
,Emblem Hunter,257,0.0037307474559786316,3.829,3.822,0.001,0.008,0.0,-0.0,-0.0235,0.1946,0.3541,0.5953,2.168,0.06,0.95096,False
,Deathblade Radiant,290,0.004209792849158767,3.838,3.823,0.003,0.017,0.0,-0.0,0.026,0.1621,0.3276,0.6448,2.133,0.14,0.8893,False
,Emblem Blackthorn,83,0.0012048717464833714,3.88,3.824,0.003,0.059,0.0,-0.0,0.0439,0.1325,0.253,0.6627,1.916,0.28,0.77905,False
,Emblem Primal,62,0.0009000246780960123,3.903,3.824,0.004,0.083,0.0,-0.0,-0.022,0.1774,0.371,0.5968,2.212,0.29,0.7684,False
,Ludens Tempest,101,0.0014661692336725362,3.901,3.826,0.006,0.081,0.0,-0.0,-0.0247,0.2178,0.3267,0.5941,2.205,0.37,0.71377,False
,Dawncore,702,0.010190602000377429,3.84,3.827,0.007,0.02,0.0,-0.0001,-0.0205,0.1752,0.3476,0.5983,2.13,0.25,0.8046,False
,Infinity Edge Radiant,107,0.0015532683960689244,3.944,3.829,0.009,0.123,0.0,-0.0,-0.0207,0.1589,0.3178,0.5981,2.17,0.59,0.5564,False
,Mittens,41,0.0005951776097086533,4.22,3.832,0.012,0.399,0.0,-0.0,-0.1066,0.122,0.3171,0.5122,2.136,1.2,0.2317,False
,Emblem Rapidfire,305,0.004427540755149738,3.902,3.835,0.015,0.081,0.0,-0.0001,0.0009,0.1607,0.3213,0.6197,2.131,0.66,0.50683,False
,Emblem Lunar,41,0.0005951776097086533,4.366,3.836,0.016,0.545,0.0,-0.0,-0.0822,0.0976,0.2195,0.5366,1.948,1.79,0.07306,False
,Strikers Flail Radiant,105,0.001524235341936795,4.067,3.838,0.017,0.246,0.0,-0.0,-0.0474,0.1905,0.3238,0.5714,2.311,1.09,0.27519,False
