group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
,Wits End,45,0.0007334126505533191,3.956,3.383,0.021,0.593,0.104,-0.0,-0.112,0.0889,0.2222,0.6,1.673,2.38,0.01745,True
,Lich Bane,86,0.0014016330655018988,3.779,3.39,0.027,0.417,0.0,-0.0,-0.0724,0.1512,0.3372,0.6395,2.048,1.88,0.05947,True
populaire,Ludens Tempest,210,0.0034225923692488224,3.567,3.392,0.03,0.204,0.0,-0.0001,-0.0548,0.2095,0.3952,0.6571,2.088,1.41,0.15719,False
populaire,Gold Collector,867,0.014130417067327282,3.437,3.393,0.031,0.075,0.0,-0.0004,-0.0072,0.2364,0.4002,0.7047,2.082,1.05,0.29438,False
,Statikk Shiv,67,0.0010919699463793862,3.97,3.394,0.031,0.608,0.147,-0.0,-0.1149,0.1045,0.2687,0.597,1.924,2.58,0.00977,True
,Titanic Hydra,62,0.0010104796518734618,4.032,3.395,0.032,0.67,0.154,-0.0,-0.1474,0.129,0.2742,0.5645,2.071,2.55,0.01093,True
,Artifact Talisman Of Ascension,82,0.0013364408298971592,3.878,3.395,0.032,0.516,0.084,-0.0,-0.0778,0.122,0.3049,0.6341,1.99,2.34,0.01907,True
,Silvermere Dawn,67,0.0010919699463793862,4.134,3.402,0.04,0.772,0.255,-0.0,-0.1448,0.1642,0.2537,0.5672,2.157,2.93,0.00342,True
populaire,Infinity Force,322,0.005247974966181528,3.565,3.405,0.042,0.203,0.0,-0.0002,-0.0505,0.2081,0.382,0.6615,2.083,1.74,0.08152,True
populaire,Mittens,158,0.002575093306387209,3.854,3.419,0.056,0.492,0.172,-0.0001,-0.0854,0.1582,0.3165,0.6266,2.046,3.02,0.00255,True
populaire,Dawncore,924,0.015059406424694818,3.535,3.436,0.074,0.172,0.042,-0.0011,-0.0399,0.1926,0.3788,0.6721,2.006,2.59,0.00964,True
populaire,Rapid Fire Cannon,164,0.0026728816597943184,3.994,3.437,0.074,0.631,0.325,-0.0002,-0.1327,0.1463,0.2683,0.5793,2.002,4.03,5e-05,True
populaire,Fishbones,380,0.00619326238245025,3.705,3.444,0.081,0.343,0.148,-0.0005,-0.0356,0.1316,0.3316,0.6763,1.932,3.45,0.00057,True
populaire,Gamblers Blade,223,0.0036344671349642257,3.928,3.45,0.087,0.566,0.282,-0.0003,-0.0976,0.157,0.3229,0.6143,2.156,3.91,9e-05,True
populaire,Navori Flickerblade,330,0.005378359437391006,4.048,3.508,0.145,0.686,0.466,-0.0008,-0.1089,0.1152,0.2697,0.603,2.031,6.12,0.0,True
populaire,Manazane,806,0.013136235474355005,3.908,3.579,0.216,0.546,0.401,-0.0028,-0.1015,0.1464,0.3015,0.6104,2.076,7.41,0.0,True
