group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Hextech Gunblade,3537,0.04005707878911426,3.288,3.376,-0.177,-0.265,-0.198,0.0071,0.0444,0.2468,0.4337,0.719,2.001,-7.71,0.0,True
populaire,Red Buff,11643,0.13185879794788163,3.358,3.384,-0.169,-0.194,-0.156,0.0223,0.0479,0.2092,0.4141,0.7225,1.969,-9.95,0.0,True
populaire,Giant Slayer,17377,0.19679724572192211,3.44,3.451,-0.102,-0.112,-0.079,0.02,0.0248,0.2155,0.3987,0.6994,2.02,-6.66,0.0,True
populaire,Strikers Flail,20037,0.2269221621988924,3.462,3.47,-0.083,-0.09,-0.058,0.0188,0.0156,0.2249,0.4039,0.6902,2.073,-5.56,0.0,True
populaire,Last Whisper,35669,0.4039570097056592,3.48,3.483,-0.069,-0.073,-0.047,0.0281,0.0095,0.2312,0.407,0.6841,2.103,-5.54,0.0,True
pepite,Morellonomicon,1117,0.012650199889013466,3.375,3.484,-0.069,-0.177,-0.063,0.0009,0.0505,0.2005,0.4002,0.7252,1.943,-3.03,0.00244,True
pepite,Adaptive Helm,1498,0.0169650845422938,3.425,3.494,-0.059,-0.128,-0.024,0.001,0.033,0.2143,0.4012,0.7076,2.034,-2.41,0.01575,True
populaire,Deathblade,32038,0.3628353661989377,3.497,3.5,-0.053,-0.056,-0.029,0.0191,0.0097,0.2222,0.3975,0.6843,2.082,-4.1,4e-05,True
pepite,Hand Of Justice,3039,0.03441715081711005,3.508,3.525,-0.028,-0.044,0.0,0.001,0.0144,0.2011,0.3814,0.689,2.029,-1.18,0.23791,False
pepite,Edge Of Night,642,0.007270750518125913,3.456,3.527,-0.026,-0.096,0.0,0.0002,0.0325,0.1947,0.4065,0.7072,2.024,-1.2,0.23025,False
populaire,Spear Of Shojin,50538,0.572350762749295,3.539,3.539,-0.013,-0.014,0.0,0.0076,0.0001,0.2173,0.3898,0.6747,2.092,-1.18,0.23889,False
pepite,Tacticians Cape,64,0.0007248100204985334,3.203,3.54,-0.012,-0.349,0.0,0.0,0.0598,0.2344,0.5,0.7344,2.009,-1.39,0.16422,False
,Quicksilver,1574,0.017825796441635806,3.529,3.542,-0.011,-0.023,0.0,0.0002,0.0141,0.2014,0.3615,0.6887,2.01,-0.46,0.64745,False
,Nashors Tooth,1986,0.022491760948595115,3.572,3.563,0.01,0.019,0.0,-0.0002,-0.0014,0.1974,0.3731,0.6732,2.036,0.42,0.67485,False
populaire,Blue Buff,12231,0.1385179900112119,3.565,3.564,0.011,0.013,0.0,-0.0015,0.0006,0.1916,0.3726,0.6753,2.025,0.64,0.52049,False
,Steraks Gage,265,0.00300116649112674,3.645,3.565,0.012,0.093,0.0,-0.0,-0.0067,0.2,0.3547,0.6679,2.069,0.73,0.46664,False
,Component Needlessly Large Rod,149,0.001687448328973148,3.799,3.572,0.019,0.246,0.0,-0.0,-0.0572,0.1477,0.3289,0.6174,2.007,1.5,0.13482,False
,Void Staff,501,0.005673903441715081,3.651,3.574,0.022,0.098,0.0,-0.0001,-0.006,0.1657,0.3473,0.6687,2.018,1.08,0.27801,False
,Titans Resolve,297,0.0033635715013760063,3.778,3.585,0.032,0.225,0.0,-0.0001,-0.045,0.1414,0.3502,0.6296,2.023,1.91,0.05551,True
,Tacticians Crown,676,0.007655805841515759,3.701,3.594,0.041,0.149,0.0,-0.0003,-0.0134,0.1568,0.3269,0.6612,1.982,1.94,0.05228,True
populaire,Infinity Edge,29113,0.32970928323084064,3.597,3.594,0.042,0.044,0.017,-0.0138,-0.0083,0.2,0.3695,0.6663,2.059,3.18,0.00149,True
,Rabadons Deathcap,186,0.002106479122073863,4.043,3.599,0.047,0.49,0.214,-0.0001,-0.0671,0.0806,0.2473,0.6075,1.92,3.48,0.0005,True
,Archangels Staff,191,0.002163104904925311,4.183,3.614,0.062,0.631,0.337,-0.0001,-0.1301,0.1099,0.267,0.5445,2.07,4.21,3e-05,True
,Bloodthirster,444,0.005028369517208575,4.063,3.655,0.103,0.51,0.317,-0.0005,-0.1206,0.1532,0.277,0.5541,2.072,5.18,0.0,True
,Component Tear Of The Goddess,597,0.006761118472462882,4.025,3.672,0.119,0.473,0.303,-0.0008,-0.08,0.1223,0.2931,0.5946,2.108,5.46,0.0,True
populaire,Krakens Fury,4305,0.04875479903509666,3.735,3.682,0.129,0.183,0.118,-0.0063,-0.0328,0.1851,0.3473,0.6418,2.108,5.55,0.0,True
,Component Recurve Bow,790,0.008946873690528772,4.0,3.691,0.138,0.447,0.293,-0.0012,-0.0771,0.157,0.3114,0.5975,2.204,5.68,0.0,True
,Jeweled Gauntlet,676,0.007655805841515759,4.228,3.74,0.187,0.675,0.517,-0.0014,-0.1391,0.1198,0.253,0.5355,2.091,8.36,0.0,True
,Component Sparring Gloves,795,0.00900349947338022,4.206,3.756,0.203,0.654,0.501,-0.0018,-0.1136,0.1409,0.2654,0.561,2.194,8.37,0.0,True
,Component B F Sword,1312,0.014858605420219934,4.062,3.77,0.217,0.509,0.391,-0.0032,-0.0923,0.1486,0.3003,0.5823,2.171,8.44,0.0,True
populaire,Guinsoos Rageblade,10038,0.11368192165256685,4.102,4.019,0.467,0.549,0.505,-0.0531,-0.104,0.1358,0.2769,0.5706,2.111,24.72,0.0,True
