group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Emblem Rapidfire,704,0.013573962671602654,3.298,3.43,-0.09,-0.221,-0.081,0.0012,0.0633,0.2102,0.402,0.7443,1.888,-3.09,0.00202,True
populaire,Emblem Hunter,536,0.010334721579515656,3.267,3.434,-0.086,-0.253,-0.09,0.0009,0.0522,0.2369,0.4179,0.7332,1.912,-3.05,0.00232,True
populaire,Emblem Fae,347,0.006690575350917785,3.297,3.464,-0.056,-0.223,-0.019,0.0004,0.0568,0.219,0.4265,0.7378,1.933,-2.14,0.03232,False
populaire,Emblem Lunar,248,0.004781736850223662,3.327,3.483,-0.037,-0.193,0.0,0.0002,0.0206,0.2218,0.4315,0.7016,1.95,-1.56,0.11966,False
pepite,Emblem Spellweaver,128,0.0024679932130186643,3.25,3.49,-0.03,-0.27,0.0,0.0001,0.0612,0.2109,0.4531,0.7422,1.928,-1.58,0.11399,False
,Emblem Brawler,51,0.000983341045812124,3.647,3.526,0.006,0.127,0.0,-0.0,0.0249,0.1569,0.2941,0.7059,1.747,0.52,0.60311,False
,Emblem Slayer,132,0.0025451180009254974,3.614,3.53,0.011,0.094,0.0,-0.0,-0.0067,0.1591,0.3636,0.6742,1.964,0.55,0.58357,False
,Emblem Sprykin,88,0.0016967453339503317,3.682,3.532,0.013,0.162,0.0,-0.0,-0.0219,0.1591,0.3636,0.6591,2.009,0.76,0.44964,False
,Emblem Defender,46,0.0008869350609285824,3.913,3.536,0.017,0.393,0.0,-0.0,-0.1158,0.1957,0.3043,0.5652,2.145,1.24,0.21389,False
populaire,Emblem Blossom,392,0.007558229214869659,3.584,3.537,0.018,0.064,0.0,-0.0001,0.0053,0.1735,0.375,0.6862,2.046,0.62,0.53476,False
populaire,Emblem Invoker,168,0.003239241092086997,3.661,3.539,0.02,0.141,0.0,-0.0001,-0.0381,0.1905,0.3274,0.6429,1.976,0.92,0.356,False
populaire,Emblem Primal,204,0.003933364183248496,3.662,3.543,0.023,0.142,0.0,-0.0001,0.0102,0.1373,0.3627,0.6912,2.05,0.99,0.32362,False
,Emblem Blackthorn,154,0.0029693043344130804,3.903,3.569,0.049,0.383,0.059,-0.0001,-0.0251,0.1169,0.2987,0.6558,2.044,2.32,0.02032,True
populaire,Emblem Flora Fatalis,653,0.012590621625790529,3.649,3.57,0.05,0.13,0.0,-0.0006,-0.0317,0.1975,0.3798,0.6493,2.131,1.54,0.12253,False
populaire,Emblem Inferno,750,0.014460897732531236,3.66,3.579,0.059,0.14,0.0,-0.0009,-0.0303,0.2147,0.3627,0.6507,2.131,1.79,0.07351,False
populaire,Emblem Flora Fatalis Augment,841,0.016215486657411692,3.835,3.661,0.141,0.315,0.164,-0.0023,-0.0662,0.2021,0.3448,0.6147,2.214,4.1,4e-05,True
