group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Last Whisper Radiant,132,0.0015768348623853212,3.674,3.574,0.008,0.108,0.0,-0.0,0.0021,0.1742,0.3636,0.6742,2.076,0.6,0.54967,False
populaire,Hand Of Justice Radiant,41,0.0004897744648318042,4.024,3.577,0.011,0.458,0.0,-0.0,-0.0868,0.0976,0.2195,0.5854,1.88,1.56,0.1187,False
populaire,Red Buff Radiant,80,0.00095565749235474,3.837,3.578,0.012,0.271,0.0,-0.0,-0.0971,0.1875,0.3625,0.575,2.171,1.12,0.26352,False
populaire,Guinsoos Rageblade Radiant,64,0.0007645259938837921,4.234,3.591,0.025,0.668,0.16,-0.0,-0.1096,0.0938,0.2656,0.5625,2.075,2.58,0.00999,True
populaire,Infinity Edge Radiant,364,0.004348241590214067,3.714,3.593,0.026,0.148,0.0,-0.0001,-0.0403,0.1923,0.3352,0.6319,2.08,1.36,0.17478,False
populaire,Giant Slayer Radiant,223,0.0026638952599388377,3.865,3.601,0.035,0.299,0.028,-0.0001,-0.0488,0.139,0.3363,0.6233,2.062,2.17,0.03033,True
populaire,Blue Buff Radiant,165,0.0019710435779816513,4.133,3.617,0.051,0.567,0.217,-0.0001,-0.1267,0.1758,0.3212,0.5455,2.292,3.18,0.00149,True
populaire,Strikers Flail Radiant,306,0.003655389908256881,3.967,3.628,0.062,0.401,0.164,-0.0002,-0.0774,0.1667,0.3072,0.5948,2.117,3.31,0.00093,True
populaire,Deathblade Radiant,548,0.0065462538226299695,3.847,3.635,0.069,0.281,0.101,-0.0005,-0.0535,0.1843,0.3376,0.6186,2.136,3.07,0.00217,True
populaire,Spear Of Shojin Radiant,468,0.00559059633027523,3.9,3.639,0.073,0.334,0.143,-0.0004,-0.0696,0.1538,0.3077,0.6026,2.093,3.44,0.00059,True
