group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Last Whisper + Red Buff,3640,0.0528447612549179,2.709,2.888,-0.474,-0.654,-0.596,0.0251,0.1343,0.3008,0.5596,0.8462,1.733,-21.98,0.0,True
populaire,Red Buff + Spear Of Shojin,4396,0.06382021166940086,3.012,3.095,-0.267,-0.351,-0.293,0.0171,0.0766,0.2577,0.4927,0.7884,1.884,-11.93,0.0,True
pepite,Blue Buff + Red Buff,1697,0.02463669226637244,2.945,3.132,-0.23,-0.417,-0.331,0.0057,0.0849,0.2552,0.5032,0.7967,1.791,-9.45,0.0,True
pepite,Giant Slayer + Red Buff,1250,0.018147239441936094,2.921,3.152,-0.21,-0.442,-0.341,0.0038,0.1082,0.2608,0.4944,0.82,1.799,-8.58,0.0,True
pepite,Blue Buff + Last Whisper,3284,0.0476764274618545,3.078,3.162,-0.201,-0.285,-0.217,0.0096,0.051,0.2667,0.4906,0.7628,1.934,-8.23,0.0,True
pepite,Deathblade + Red Buff,2055,0.029834061642542938,3.029,3.163,-0.2,-0.333,-0.25,0.006,0.0653,0.2652,0.491,0.7771,1.891,-7.86,0.0,True
pepite,Red Buff + Strikers Flail,1221,0.017726223486883175,2.94,3.164,-0.198,-0.422,-0.319,0.0035,0.0916,0.2637,0.4971,0.8034,1.824,-8.01,0.0,True
,Hextech Gunblade + Last Whisper,701,0.010176971879037761,2.777,3.165,-0.197,-0.585,-0.448,0.002,0.107,0.3181,0.5592,0.8188,1.837,-8.38,0.0,True
,Giant Slayer + Last Whisper,3278,0.04758932071253321,3.118,3.19,-0.172,-0.245,-0.175,0.0082,0.0438,0.2736,0.479,0.7556,1.981,-6.9,0.0,True
,Hextech Gunblade + Spear Of Shojin,1005,0.01459038051131662,2.968,3.196,-0.166,-0.394,-0.275,0.0024,0.0812,0.2846,0.5025,0.793,1.918,-6.47,0.0,True
,Deathblade + Giant Slayer,2552,0.037049404044656724,3.145,3.222,-0.141,-0.217,-0.141,0.0052,0.0397,0.2559,0.4632,0.7516,1.93,-5.57,0.0,True
populaire,Last Whisper + Strikers Flail,4484,0.06509777732611315,3.198,3.236,-0.126,-0.165,-0.104,0.0082,0.0259,0.262,0.461,0.7377,2.006,-5.34,0.0,True
,Deathblade + Hextech Gunblade,466,0.006765290863953775,2.886,3.242,-0.12,-0.476,-0.308,0.0008,0.1079,0.2897,0.515,0.8197,1.847,-5.55,0.0,True
,Hextech Gunblade + Red Buff,294,0.004268230716743369,2.724,3.25,-0.112,-0.638,-0.441,0.0005,0.1351,0.2925,0.5476,0.8469,1.719,-6.35,0.0,True
,Giant Slayer + Strikers Flail,1813,0.02632075608658411,3.18,3.259,-0.104,-0.183,-0.093,0.0027,0.03,0.2355,0.4584,0.7419,1.915,-4.01,6e-05,True
,Hextech Gunblade + Strikers Flail,338,0.004907013545099519,2.87,3.266,-0.097,-0.493,-0.298,0.0005,0.1166,0.2633,0.5325,0.8284,1.819,-4.97,0.0,True
,Blue Buff + Hextech Gunblade,228,0.0033100564742091433,2.702,3.269,-0.094,-0.661,-0.455,0.0003,0.1566,0.2851,0.5263,0.8684,1.578,-6.31,0.0,True
,Quicksilver + Spear Of Shojin,354,0.005139298209956301,2.91,3.27,-0.093,-0.453,-0.267,0.0005,0.0989,0.2542,0.5,0.8107,1.775,-4.79,0.0,True
,Deathblade + Strikers Flail,3881,0.05634354901932318,3.239,3.271,-0.091,-0.124,-0.059,0.0051,0.0145,0.2517,0.4548,0.7264,2.005,-3.74,0.00018,True
,Hand Of Justice + Last Whisper,429,0.006228132576472467,3.009,3.279,-0.084,-0.353,-0.179,0.0005,0.0807,0.2727,0.4662,0.7925,1.836,-3.97,7e-05,True
,Giant Slayer + Hextech Gunblade,323,0.004689246671796286,2.96,3.286,-0.077,-0.403,-0.188,0.0004,0.0653,0.3034,0.5325,0.7771,1.969,-3.67,0.00024,True
,Last Whisper + Morellonomicon,167,0.002424471189442662,2.731,3.294,-0.068,-0.632,-0.364,0.0002,0.1265,0.3114,0.5629,0.8383,1.766,-4.62,0.0,True
,Deathblade + Hand Of Justice,347,0.005037673669081459,3.032,3.296,-0.067,-0.331,-0.133,0.0003,0.0547,0.2622,0.4986,0.7666,1.877,-3.27,0.00106,True
populaire,Giant Slayer + Spear Of Shojin,6181,0.08973446959248559,3.282,3.296,-0.066,-0.081,-0.029,0.006,0.0165,0.2356,0.4399,0.7284,1.989,-3.07,0.00216,True
,Hand Of Justice + Spear Of Shojin,734,0.010656059000304873,3.173,3.297,-0.066,-0.19,-0.054,0.0007,0.0606,0.2139,0.4346,0.7725,1.857,-2.75,0.00599,True
