group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
pepite,Elderwood,3663,0.05783258075720736,2.196,2.537,-0.985,-1.325,-1.276,0.057,0.2346,0.4232,0.6866,0.9146,1.431,-52.93,0.0,True
pepite,Lux Unique Trait,10943,0.1727714799962108,2.683,2.77,-0.751,-0.838,-0.8,0.1298,0.1397,0.3731,0.5817,0.8197,1.866,-42.66,0.0,True
pepite,Rival,1469,0.02319302788215605,2.329,2.881,-0.641,-1.193,-1.119,0.0149,0.2261,0.3431,0.6583,0.9061,1.419,-31.46,0.0,True
pepite,Elderwood,383,0.006046922858315703,1.06,2.95,-0.571,-2.462,-2.426,0.0035,0.32,0.9582,0.9843,1.0,0.313,-136.69,0.0,True
pepite,Executioner,11892,0.18775458650415233,2.98,3.032,-0.49,-0.542,-0.506,0.092,0.12,0.2416,0.4871,0.7999,1.784,-29.6,0.0,True
pepite,Slayer,2538,0.04007073163030093,2.939,3.133,-0.388,-0.582,-0.507,0.0156,0.1179,0.2675,0.5248,0.7979,1.89,-15.16,0.0,True
populaire,Inferno,21079,0.3328017935520541,3.12,3.142,-0.379,-0.402,-0.37,0.1263,0.0639,0.3024,0.4788,0.7439,2.035,-24.73,0.0,True
,Blossom,7715,0.1218068142347406,3.096,3.156,-0.366,-0.426,-0.383,0.0446,0.1113,0.2074,0.4542,0.7913,1.789,-19.4,0.0,True
populaire,Brawler,42128,0.6651299377940573,3.151,3.162,-0.36,-0.371,-0.346,0.2394,0.0705,0.2647,0.4581,0.7505,1.956,-29.43,0.0,True
populaire,Greenfather,20065,0.3167924468723357,3.146,3.168,-0.354,-0.376,-0.343,0.1121,0.0551,0.3122,0.481,0.7351,2.087,-22.28,0.0,True
populaire,Emerald,25164,0.3972970412706432,3.154,3.171,-0.35,-0.368,-0.338,0.1392,0.0573,0.2958,0.4732,0.7372,2.044,-24.06,0.0,True
,Draven Unique Trait,13717,0.21656825286557832,3.153,3.184,-0.337,-0.369,-0.329,0.0731,0.0462,0.3265,0.487,0.7262,2.125,-18.5,0.0,True
,Alune Unique Trait,3444,0.05437494079383624,3.064,3.187,-0.335,-0.458,-0.39,0.0182,0.0831,0.275,0.4939,0.7631,1.963,-13.28,0.0,True
,Rapidfire,4630,0.07309987685117939,3.117,3.204,-0.318,-0.405,-0.347,0.0232,0.0831,0.2508,0.4756,0.7631,1.94,-13.64,0.0,True
,Lunar,860,0.013577946888124033,2.81,3.234,-0.288,-0.711,-0.589,0.0039,0.1328,0.2884,0.5523,0.8128,1.811,-11.41,0.0,True
,Lunar,3632,0.0573431431368215,3.143,3.241,-0.281,-0.379,-0.313,0.0161,0.0794,0.2492,0.4727,0.7594,1.966,-11.26,0.0,True
populaire,Maokai Unique Trait,21954,0.3466165650952035,3.241,3.256,-0.266,-0.281,-0.249,0.0922,0.036,0.2966,0.4606,0.716,2.106,-17.12,0.0,True
populaire,Spellweaver,19036,0.30054627553759194,3.251,3.268,-0.254,-0.271,-0.239,0.0764,0.0633,0.218,0.4366,0.7433,1.929,-16.7,0.0,True
populaire,Elderwood,29165,0.46046607092109004,3.308,3.317,-0.205,-0.213,-0.185,0.0942,0.0372,0.2532,0.44,0.7172,2.06,-14.62,0.0,True
populaire,Juggernaut,23563,0.3720199564242635,3.325,3.335,-0.187,-0.197,-0.165,0.0696,0.0217,0.2819,0.4442,0.7017,2.128,-12.22,0.0,True
,Executioner,14862,0.23464586819918531,3.357,3.37,-0.152,-0.164,-0.128,0.0356,0.0306,0.2399,0.4143,0.7105,2.019,-8.89,0.0,True
,Rival,2038,0.03217657646278695,3.284,3.375,-0.147,-0.238,-0.151,0.0047,0.0575,0.2188,0.4259,0.7375,1.948,-5.41,0.0,True
,Brawler,1584,0.025008683570684264,3.285,3.39,-0.131,-0.236,-0.142,0.0033,0.0694,0.1989,0.4141,0.7494,1.879,-4.93,0.0,True
,Fae,911,0.014383150715210458,3.225,3.398,-0.124,-0.297,-0.175,0.0018,0.0719,0.2217,0.4182,0.7519,1.854,-4.79,0.0,True
,Lunar,197,0.0031102971360005053,2.64,3.403,-0.119,-0.882,-0.643,0.0004,0.1525,0.3147,0.6041,0.8325,1.709,-7.23,0.0,True
